id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/10/value,qualifier/9/value,qualifier/12/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value
1759512896,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-29T09:18:30.346Z,2019-04-29T09:20:09Z,1874569431,30,"w751k9p25kmtsveitxdlz6j9, 19npqca9guxs7p2yl5sbjmbx1, 8kmne7pn10uwqe6g1kc4w69cl, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 6679bfd6bjylogbe4ebese85x, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, dqpv2janh4g4qkiqx7h7vs8gl, 3sn815dsm0i0rnw9nigjyb0et, 3xnfnzrw6optq8l2qzx2t5045, 16gnoas9x34hm887omkmeee39, da8ymxqy00lunda8tq9oltuj9, deeqv8g0p0ugnc178ge9esq1h, 8z3ceakcqfvv039p2fbm4rvmd, b0nghbl6lryahfln8n33mkwa2",1194016115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",1362768960,197,723,1107446806,59,"1, 17, 2, 10, 6, 16, 15, 7, 11, 20, 23, 4, 3, 9, 21, 22, 34",1433215214,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1758458039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",1832726174,194,96380,1171199151,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256550757,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2019-04-29T09:19:07.435Z,2019-04-29T09:21:21Z,1757262422,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1155547939,59,"1, 8, 3, 4, 5, 20, 10, 21, 15, 27, 7, 9, 11, 22, 2, 6, 12, 16",1356445990,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",1347577461,130,7,1619224078,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1525031195,30,"e74z4kxtt4idpght8etnepcd1, 6cjoh22tb54qmsiqau1uxpc2y, 8ojm3gdn5n6t8vw7by016uvh1, 1bxa1c4eopzwml9zia9gjnd1x, aau5rsq7q1752co1k5awet3h1, an1ovi7c16xed4jqub6oxgclx, 8p2fyxa079izyn33vkzdrn179, 7ucl8ew0on0yzcj6prwmnev9x, a1654m0k2rptsqkxj96s955n9, 7julfat1nytmjyt6ylz8xkh5h, 7m31qpkmuh3amb6navttdlvpx, 7djdok1lsff59fqiac317rc2x, 7um4xb0p8zr4o11lsyd9n0hqt, bnm42hmla83v1ptdqrwenbs6i, inh1nxqeze71x02fl5km7j3e, bynole76t7uwm9ursyey7zl5h, 49tbu841s20wivafeostkffmd, aope7yfid6ez33sha2ip7t04p",1523634828,194,96403,1400028254,197,5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041592928,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-29T09:21:36.602Z,2019-04-29T09:21:37Z,1416660631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703758349,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2019-04-29T09:21:36.602Z,2019-04-29T09:21:36Z,1753997289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511414692,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50,2019-04-29T09:21:37.444Z,2019-04-29T09:21:40Z,2051861658,56,Back,1553785983,140,31.3,1213704665,141,64.9,1136783854,212,22.1,1335379948,279,S,1888639156,213,2.7,,,,,,,7ucl8ew0on0yzcj6prwmnev9x,E. Simpkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783299415,4,1,1,0,3,dcdnoyf6kzhj46iyfm7xq43fy,1,26.9,58.1,2019-04-29T09:21:40.588Z,2019-04-29T09:21:44Z,1807960427,213,4.8,1876076391,56,Back,1694618534,140,27.9,1585346465,141,26.4,1287411148,212,21.6,,,,,,,,,,an1ovi7c16xed4jqub6oxgclx,V. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645658912,5,1,1,0,7,dcdnoyf6kzhj46iyfm7xq43fy,1,30.6,19.1,2019-04-29T09:21:44.548Z,2019-04-29T09:21:49Z,1084813522,140,70.0,1917458334,141,6.1,1460061213,155,,2016607270,56,Right,1210050894,1,,1921324052,213,6.1,1784339827,212,42.3,,,,aau5rsq7q1752co1k5awet3h1,F. Whelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486824781,6,1,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,1,70,6.1,2019-04-29T09:21:49.292Z,2019-04-29T09:23:06Z,1856556239,3,,1955575194,140,68.2,2070658136,56,Right,1452899772,141,19.1,1228286014,212,9.0,1596016578,213,1.8,,,,,,,a1654m0k2rptsqkxj96s955n9,K. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217745563,7,1,1,0,14,dcdnoyf6kzhj46iyfm7xq43fy,1,70.4,23.1,2019-04-29T09:21:51.452Z,2019-04-29T09:23:07Z,2014310235,56,Center,1319559918,213,1.5,1267811745,141,39.2,1718905982,140,71.2,1834257150,212,11.0,,,,,,,,,,7ucl8ew0on0yzcj6prwmnev9x,E. Simpkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057275468,3,43,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-29T09:21:51.602Z,2019-04-29T09:22:41Z,1894444697,144,50,1614446139,285,0,1205322266,233,7,1158471484,56,Back,,,,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,
