id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
1553042551,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-09-20T13:11:27.247Z,2018-09-20T13:12:33Z,1480761733,59,"18, 12, 3, 19, 20, 16, 8, 10, 11, 23, 7, 1, 6, 15, 17",1771997592,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5",1979881722,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1387685343,197,723,1751555650,30,"czmpp6e2oo276u9prac16le51, cavj1k0ukpd9c1ppg5ab4ycph, 16gnoas9x34hm887omkmeee39, e8ivbfq0irn8f2p8krhkikzx1, dqpv2janh4g4qkiqx7h7vs8gl, egt40316gg12vn8a4mbax3kr9, 1dbhha29epjmo8g4xfm5taaj9, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 28yvc8jmyyfavb0hetafjdadx, w751k9p25kmtsveitxdlz6j9, 6zaowm8oua2nzpobekogff1lh, 6679bfd6bjylogbe4ebese85x, 19npqca9guxs7p2yl5sbjmbx1",1346644072,194,96380,1193735867,130,4,1468095846,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112510676,1,34,16,0,0,ewnp4j1j79y9gmqfborxzvp8r,1,0,0,2018-09-20T13:11:31.787Z,2018-09-20T14:14:42Z,1612085688,197,5220,1205474344,30,"czz8zqjv03gdbbxiadp90pq6t, bo7pk830egg7ir7j9bqn656ju, dbhhyaovwnnjjtej8p4fhjsnp, agqevl4jstey6ttz5pipieaxh, 8nw64rrnt30kuokt5un6sztn9, b4sf206qxtrp5gusl35f7xgid, 10bzke6qefk3ajgynhy3bn561, 553m6zmz6s3c0xdhhr503xmtx, emyaq3f8kbforzqj8puyg8bmd, 5edq3whmws0xn7ae295bwwj4l, 9jrza1ttxz176owybk6i36pnu, 9b6pkjt8qzmq8mqjtrfgsprrp, 1wkl61ju9uzl09rj9zz160b56, e92cz3r5uemkojs8wi0b34uz9, 7re8d1i2a2nbo3id4xwpbajmx, df6elo2vas642bo0qatrjxwbt, 5n7cpu9fdw7tohsj664ygs296",2060829515,59,"1, 25, 3, 8, 6, 5, 12, 28, 7, 9, 30, 10, 24, 13, 26, 27, 29",1763973867,194,170912,2038934972,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1117556438,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",1123322003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",1549833706,130,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154851924,2,32,1,0,0,ewnp4j1j79y9gmqfborxzvp8r,1,0,0,2018-09-20T13:12:45.315Z,2018-09-20T13:12:45Z,1812501100,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987384913,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-09-20T13:12:45.315Z,2018-09-20T13:12:45Z,1686970782,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868354063,3,1,1,0,4,ewnp4j1j79y9gmqfborxzvp8r,1,50.3,49.9,2018-09-20T13:12:49.884Z,2018-09-20T13:13:02Z,2052068248,56,Back,1405280806,279,S,2077689872,140,37.6,1478953967,213,3.1,1702458257,141,51.5,1077752676,212,13.4,,,,,,,5edq3whmws0xn7ae295bwwj4l,A. Heatherson,,,,,,,,,,,,,,,,,,,,,,,,,,
1962869152,4,1,1,0,5,ewnp4j1j79y9gmqfborxzvp8r,1,36.8,53.4,2018-09-20T13:12:50.836Z,2018-09-20T13:12:52Z,1114884771,141,64.9,1641777731,212,13.0,1382300090,213,2.5,1369080004,140,26.9,1529762142,56,Back,,,,,,,,,,agqevl4jstey6ttz5pipieaxh,B. Horwood,,,,,,,,,,,,,,,,,,,,,,,,,,
1770099554,5,1,1,0,7,ewnp4j1j79y9gmqfborxzvp8r,1,26.9,64.9,2018-09-20T13:12:52.372Z,2018-09-20T13:12:53Z,1097897803,212,18.6,1725569621,141,90.9,1977227316,140,32.5,1558155487,56,Back,1192164452,213,1.2,,,,,,,,,,b4sf206qxtrp5gusl35f7xgid,N. Cousins,,,,,,,,,,,,,,,,,,,,,,,,,,
1747583255,6,1,1,0,8,ewnp4j1j79y9gmqfborxzvp8r,0,32.5,90.9,2018-09-20T13:12:53.852Z,2018-09-20T13:12:55Z,1540599878,213,6.2,1104559837,140,69.2,1640305583,157,,2102538790,1,,1788688414,212,38.6,1745857071,56,Left,1144180200,141,87.7,,,,dbhhyaovwnnjjtej8p4fhjsnp,M. Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
1433152775,3,49,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,37,24.9,2018-09-20T13:12:55.164Z,2018-09-20T13:12:55Z,,,,,,,,,,,,,,,,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,
1398160399,4,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,36.8,24.9,2018-09-20T13:12:55.546Z,2018-09-20T13:12:56Z,1537488533,56,Back,1106028151,213,0.2,2079611896,141,26.4,2021083146,212,6.7,1834649295,140,43.1,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,
1131152235,5,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,43.1,26.4,2018-09-20T13:12:56.626Z,2018-09-20T13:12:59Z,1753012728,56,Back,1698753953,213,2.5,1775445019,141,40.7,2052761718,140,31.1,2028978105,212,15.9,1264462527,156,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,
1679650452,6,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,31.3,45.2,2018-09-20T13:13:00.697Z,2018-09-20T13:13:05Z,1921692405,56,Back,1303412434,213,1.5,1943731945,140,34.3,2131171600,212,27.7,1502406859,141,85.7,,,,,,,,,,egt40316gg12vn8a4mbax3kr9,Louise Quinn,,,,,,,,,,,,,,,,,,,,,,,,,,
