id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value
1427228725,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2018-10-14T12:23:55.466Z,2018-10-14T13:03:28Z,1482239892,30,"apnae1pkhwjx0hwhg6x0rwst1, 9ohn9m84cy89huz745lirkted, tjj9bi5fxsbn2xtdprqsaswl, 589yqifloa5j7qwp2gnemyml1, anghujtc4achyb9mflowgg9n9, eincxi6xa1nrhr9qldtxboyqd, 7im1atd7ziav111a9o6mh9gid, drwlmmiguqz2mfzsh6gjmklx, 8m3okb64mh1m7dfmp0km4wct1, c7yhj2xdx8l773wfswykl9hat, 4svbxnixjkvjlajfpc3377k5x, 9rwosl795t1spjfjt808ibv85, 2s15k44faiinj3gz5tswtv4d1, amox5xqwe8gybft16wa7qbufp, 8le8qxc6oyr0kgn4x0aw1mo5x, 5shor8es56o12syt7wdllu385, ctzcuzproy4kwpa5wweruw3px, cij18xj0bx2zyx3mi9xwykn9x",1454241199,194,96471,1850328003,197,735,1865530261,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",1905096028,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1428246700,130,4,1446872046,59,"28, 7, 20, 2, 4, 16, 10, 24, 14, 23, 17, 1, 3, 5, 8, 11, 15, 22",1919735749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134892913,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-10-14T12:23:58.884Z,2018-10-14T13:11:33Z,1185604076,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1374495154,59,"18, 17, 3, 19, 6, 20, 7, 10, 11, 8, 23, 1, 12, 15, 16, 24",1567691383,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",1815976802,30,"czmpp6e2oo276u9prac16le51, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, dqpv2janh4g4qkiqx7h7vs8gl, 28yvc8jmyyfavb0hetafjdadx, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 1dbhha29epjmo8g4xfm5taaj9, 3sn815dsm0i0rnw9nigjyb0et, w751k9p25kmtsveitxdlz6j9, cavj1k0ukpd9c1ppg5ab4ycph, 6679bfd6bjylogbe4ebese85x, egt40316gg12vn8a4mbax3kr9, 3ki0ckpv13k6am75k1q7nujqi",1557171603,130,8,1840558329,194,96380,1660272554,197,723,1582108905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107548282,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2018-10-14T13:00:30.271Z,2018-10-14T13:00:30Z,1104478133,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449410340,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-10-14T13:00:30.315Z,2018-10-14T13:00:30Z,1410387217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603735813,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,49.6,50.4,2018-10-14T13:00:31.430Z,2018-10-14T13:00:32Z,1883020243,279,S,1699745293,56,Back,1114459507,212,14.1,2002717762,213,2.9,1278331149,141,54.8,2088466136,140,36.5,,,,,,,8m3okb64mh1m7dfmp0km4wct1,F. Kirby,,,,,,,,,,,,,,,,,,,,,,,,,,
1292434745,4,1,1,0,2,spi3g782q7m4evjxn1sv6cfa,1,35.3,54.3,2018-10-14T13:00:32.499Z,2018-10-14T13:00:36Z,1668797321,213,4.4,1992943341,56,Back,1741984363,141,14.3,1424421904,212,28.9,1793179249,140,26.1,,,,,,,,,,589yqifloa5j7qwp2gnemyml1,M. Þórisdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,
1296521294,5,1,1,0,5,spi3g782q7m4evjxn1sv6cfa,1,26.1,14.1,2018-10-14T13:00:35.979Z,2018-10-14T13:00:38Z,1155401533,140,28.8,1459661409,213,5.1,1813996609,141,3.1,1871968928,212,8.0,1609800694,56,Back,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,
1234044177,6,1,1,0,7,spi3g782q7m4evjxn1sv6cfa,0,31.5,3.8,2018-10-14T13:00:38.179Z,2018-10-14T13:00:40Z,1408591898,155,,1176536600,212,28.6,1345760229,141,17.9,1650964443,213,0.3,1748007360,56,Right,1444564504,140,57.2,,,,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
1127851679,3,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,47.7,74.5,2018-10-14T13:00:41.259Z,2018-10-14T13:00:43Z,1146852157,212,9.2,1436341597,141,74.4,2094185189,56,Center,1733691504,140,56.5,1319694372,213,6.3,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,
1339791180,4,49,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,56.1,71.8,2018-10-14T13:00:43.167Z,2018-10-14T13:00:43Z,,,,,,,,,,,,,,,,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,
