id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value
1897723417,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2019-04-22T10:11:29.552Z,2019-04-22T10:11:29Z,1841675681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",1591450310,130,8,1119819160,30,"8ctokja53x311jvllpdh6v4yd, 40drqeciuqe2j07g5cnc6xf55, 6f8lpm5ckuv4z0tbur533qpxx, emo8wffj0agou65ijs2seiaqd, e6s5iphbrws04dxrvw0xqd7f9, 2rgi9p67p1vf384rkqvspum6t, dle50mcyb7xfk7eop3d0qs2c5, z8vdz64bgqus4c85451nsrf9, 5677k11mj3dmsnqse80eumk0l, 23b90lntnrwvb0k45u7dva0np, 7f7tbbjqhhyydjj4wurm28xcl, er8vxlms62yp0otbjpz84xgb9, c3gmslk5auqaktd5zij62ieol, 8471w6ay5ndzkgy2g5ii26n6d, 1e77qga2ugvko6dbkw82yc9g5, 6sq9uor68fca8nz7tes0vfdgp, 7m4siglmj27pe2v7dm9f8thbd",1957076319,194,178249,1140371178,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2104769618,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",1456889249,59,"1, 14, 3, 13, 20, 5, 7, 12, 10, 8, 16, 24, 25, 17, 22, 2, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636404461,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-22T10:16:04.498Z,2019-04-22T10:16:04Z,1387487967,197,723,1234955789,59,"1, 17, 2, 20, 6, 16, 23, 10, 11, 7, 15, 4, 3, 9, 21, 22, 34",1425665441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",1118431851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1141109186,194,96380,1145927459,30,"w751k9p25kmtsveitxdlz6j9, 19npqca9guxs7p2yl5sbjmbx1, 8kmne7pn10uwqe6g1kc4w69cl, dqpv2janh4g4qkiqx7h7vs8gl, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 3sn815dsm0i0rnw9nigjyb0et, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 28yvc8jmyyfavb0hetafjdadx, 6679bfd6bjylogbe4ebese85x, 3xnfnzrw6optq8l2qzx2t5045, 16gnoas9x34hm887omkmeee39, da8ymxqy00lunda8tq9oltuj9, deeqv8g0p0ugnc178ge9esq1h, 8z3ceakcqfvv039p2fbm4rvmd, b0nghbl6lryahfln8n33mkwa2",1780070862,130,8,1609313309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,
1749718537,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2019-04-22T10:16:56.679Z,2019-04-22T10:16:56Z,1280028526,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919229093,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-22T10:16:56.679Z,2019-04-22T10:16:57Z,1122585858,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276942561,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50,50,2019-04-22T10:16:58.160Z,2019-04-22T10:16:59Z,1819637233,212,2.3,1298458961,279,S,1622886623,213,4.6,1087804086,140,49.7,2095224867,141,46.6,1090363795,56,Back,2010043044,278,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,
1171199615,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,53.4,46.9,2019-04-22T10:16:59.569Z,2019-04-22T10:17:01Z,1470565296,141,31.8,1302714567,212,12.5,1449290199,56,Center,1907681644,213,5.3,1791137729,140,60.2,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,
1247504106,5,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,64.1,25.5,2019-04-22T10:17:01.144Z,2019-04-22T10:17:04Z,1654110581,213,5.5,1586511013,56,Right,1196293427,140,77.3,1191998320,141,4.3,1287450987,212,20.0,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,
1347718541,6,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,1,73.9,5.2,2019-04-22T10:17:03.984Z,2019-04-22T10:17:06Z,1741032063,56,Right,1541256298,212,16.8,2078609278,140,57.9,1805264890,141,5.2,1115855365,213,3.1,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,
2029516208,7,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,55.3,5.2,2019-04-22T10:17:06.112Z,2019-04-22T10:17:08Z,1874774117,212,21.8,1881406180,213,2.8,1661857081,140,35.8,1811342824,141,16.4,1084325801,56,Back,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,
1873158789,8,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,40.4,21.6,2019-04-22T10:17:08.833Z,2019-04-22T10:17:13Z,1657590390,56,Back,1631694575,212,28.4,1756826520,141,63.3,1557598605,140,42.2,1295680746,213,1.5,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,
1290834078,9,1,1,0,16,5rurqie3qt1qav9ir5mkqinn,1,43.1,62.9,2019-04-22T10:17:13.577Z,2019-04-22T10:17:17Z,1643069664,213,4.2,2125907903,212,19.5,1387389163,56,Back,1222169922,141,37.3,1703187465,140,34.8,,,,,,,,,,egt40316gg12vn8a4mbax3kr9,Louise Quinn,,,,,,,,,,,,,,,,,,,,,,,
