id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value
1748378385,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-03-15T14:02:29.857Z,2019-06-28T08:25:57Z,1984270108,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",1170995613,194,96380,1326954314,130,4,1367642888,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1260858017,59,"18, 17, 2, 20, 6, 16, 10, 7, 11, 15, 23, 27, 4, 1, 9, 12, 22, 24",1119027716,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1712426861,30,"czmpp6e2oo276u9prac16le51, 19npqca9guxs7p2yl5sbjmbx1, 8kmne7pn10uwqe6g1kc4w69cl, dqpv2janh4g4qkiqx7h7vs8gl, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 5m2ilglr6tlmgs2d4qzk5wno5, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, 6679bfd6bjylogbe4ebese85x, 3sn815dsm0i0rnw9nigjyb0et, 1bgf6fem5s6mvhmi3tyb4x756, 3xnfnzrw6optq8l2qzx2t5045, w751k9p25kmtsveitxdlz6j9, da8ymxqy00lunda8tq9oltuj9, cavj1k0ukpd9c1ppg5ab4ycph, 8z3ceakcqfvv039p2fbm4rvmd, 3ki0ckpv13k6am75k1q7nujqi",1681425018,197,723,,,,,,,,,,,,,,,,,,,,,,,,
1331974138,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2019-03-15T14:08:37.405Z,2019-03-15T14:29:42Z,2140846278,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2075029664,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",1855095374,59,"1, 2, 7, 5, 6, 3, 8, 20, 15, 14, 10, 9, 23, 13, 16, 17, 18, 27",1765612421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1988170721,30,"el8c138wsa0bnop68caop5uxh, 5wtbp5lk9z9wykiu3mjjop785, 8lf62k2iwmb23gywex08s6m09, dvvoff2dssapkar9vfrk7k05x, 9jq5k7h3itkm7dnb8qw9vqvh1, 9parlijxpxnfis96jwy9p37bp, en5gss0im4eenrtt3zctkpm8l, 3n7kn75zu8eatv2vavfbi2l05, 3awdf1korplhzqtibwkezarit, avttb0ne86ra4pqruk0d8al05, 6fk1hr2kmwlzu06fldmg2yhux, 54gpq6nklo8fmrdeqh9hojsut, 5ye5h1o9ndhfeqdi8mh4f9une, 5llfshqnnnclh5o2t1b1ckqtx, aeqzzuu4bp7trwyjezfigr9ih, enqn8azrcz6vks9d21ze9w2c5, ed27z13z8afzyy7tnx1lfg549, 7fg8vd3vm111e6adprdnlfppl",1514429425,194,171730,1666723428,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842155906,2,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2019-03-15T14:09:02.765Z,2019-03-15T14:09:03Z,1575124963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061216219,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-03-15T14:09:02.765Z,2019-03-15T14:09:02Z,1707114818,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859618647,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50,50,2019-03-15T14:09:04.350Z,2019-03-15T14:09:07Z,1560066546,141,73.3,1309929117,212,19.5,2078596126,279,S,1496241928,140,39.1,2112056612,56,Back,2045251706,213,2.2,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,
1983603501,4,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,0,41.1,66.1,2019-03-15T14:09:07.189Z,2019-03-15T14:09:09Z,2062774194,56,Right,1263269128,1,,1093831268,141,20.3,1637164216,213,5.5,1894773398,157,,1255640106,140,73.0,2136252622,212,45.7,,,,8kmne7pn10uwqe6g1kc4w69cl,K. Veje,,,,,,,,,,,,,,,,,,,,,,
2127566731,3,1,1,0,6,9m7z1upwp3svfn611ejq7d36v,0,32.3,76.4,2019-03-15T14:09:08.807Z,2019-05-27T07:21:57Z,1500283497,3,,1142801616,56,Back,1488481768,141,65.2,2079192272,213,5.7,2032535403,212,13.4,1599494179,140,42.8,,,,,,,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,
1321516784,5,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,58.3,38.3,2019-03-15T14:09:12.428Z,2019-03-15T14:09:15Z,1737325769,141,43.7,1138452376,213,2.8,1651090002,56,Back,1103563210,140,48.6,1889881916,212,10.8,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,
2049164246,6,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,55,35.7,2019-03-15T14:09:15.388Z,2019-03-15T14:09:17Z,1184005538,56,Center,1658861560,141,25.2,1105805802,212,22.0,1961069353,140,74.8,1350425510,213,6.0,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,
1722977588,7,1,1,0,14,5rurqie3qt1qav9ir5mkqinn,1,74.8,25.2,2019-03-15T14:09:17.396Z,2019-03-15T14:09:19Z,1544548302,56,Right,1788502300,213,5.1,1733027919,212,14.4,1352242040,141,5.8,1658515384,140,80.3,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,
