id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/11/value,assist
1916663102,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2018-12-02T12:16:51.312Z,2018-12-02T12:34:26Z,2090384399,197,1154,2033135112,130,8,1833248119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2030029379,30,"20ccu2ngcfo3cvczhzk682ju1, 5wjfxb57gtzmp7m29wotyafv9, 1cyzpbgl74lage7toh7f1tgb9, 8h7r4d4z2gjne58xwu3koiok5, 5vuw3lywsh90t394m8h6g5ihh, d9zt8e8lnk9a22we6o6wqyndh, 6nttp222bjmjbgol4xgck8yj9, aozm5rtnqkoutfk1mijjx7f11, c705ailfiov40xwoysz0ggct1, c4tkrrhs6o8ii0wnmi5y66cwl, dgkmt7f5k9oqruxzsi3x9em6t, 2sqm0kt94mwo34oru6o16ydw5, 7n19puu9d2kbrhtjmt2wk4tzp, 9e65qlc7dfjkajyhzhak8sc7p, bo5e35lsptja0pnlvk1y38dex, 18kiz7s5jlyotkb4p0sbbxyol, 8evgc5zhtfnqatt15vr3ttwwl",1156719173,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",1252051736,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2011721764,194,14772,1732271219,59,"26, 4, 3, 24, 6, 5, 25, 8, 17, 12, 19, 1, 2, 11, 14, 22, 23",,,,,,,,,,,,,,,,,,,,,,
1292450808,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-12-02T12:16:52.502Z,2018-12-02T13:36:58Z,1143008641,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",1665391227,197,723,1561441978,130,4,1184857370,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",1427475937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1461677862,59,"18, 17, 20, 15, 6, 16, 7, 19, 11, 28, 23, 27, 1, 3, 24, 29",1093811054,194,112571,1714552938,30,"czmpp6e2oo276u9prac16le51, 19npqca9guxs7p2yl5sbjmbx1, dqpv2janh4g4qkiqx7h7vs8gl, 6679bfd6bjylogbe4ebese85x, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 28yvc8jmyyfavb0hetafjdadx, e8ivbfq0irn8f2p8krhkikzx1, wupxscyf4x7rsjidpmp0wnv9, 1fbgnp4kng3l3qdbuu03wpbhm, 3sn815dsm0i0rnw9nigjyb0et, 1bgf6fem5s6mvhmi3tyb4x756, w751k9p25kmtsveitxdlz6j9, 16gnoas9x34hm887omkmeee39, 3ki0ckpv13k6am75k1q7nujqi, dfz9914613wdb44a5xa87cvoq",,,,,,,,,,,,,,,,,,,,,,
2102551132,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2018-12-02T12:31:51.861Z,2018-12-02T12:31:52Z,1122497479,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322979711,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-12-02T12:31:51.861Z,2018-12-02T12:31:52Z,1212530527,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372556761,3,1,1,0,1,36tr17foeaf9ejjmt2txuoy3y,1,50.1,49.9,2018-12-02T12:31:53.219Z,2018-12-02T12:31:56Z,1657970497,213,3.0,1484356076,56,Back,1187711709,140,39.1,2039231174,141,51.9,1813815452,279,S,1472188498,212,11.6,,,,,,,c705ailfiov40xwoysz0ggct1,N. Parris,,,,,,,,,,,,,,,,,,,,
1521119044,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,39,51.8,2018-12-02T12:31:56.130Z,2018-12-02T12:31:58Z,1924785023,56,Back,1971092355,140,27.9,1614756449,141,34.0,2057177288,212,16.8,1242347669,213,3.9,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,
1100521804,5,1,1,0,6,36tr17foeaf9ejjmt2txuoy3y,1,27.9,34,2018-12-02T12:31:57.938Z,2018-12-02T12:31:59Z,2066427407,141,53.7,1387174093,56,Back,1121247576,213,1.6,1954396600,140,28.1,1325426920,212,13.4,,,,,,,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,
1536650977,6,1,1,0,7,36tr17foeaf9ejjmt2txuoy3y,1,28.3,56.3,2018-12-02T12:31:59.779Z,2018-12-02T12:32:01Z,1686554737,213,1.4,1582578463,140,31.6,1435862989,141,86.6,1897125591,56,Back,1917290559,212,20.9,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,
1244333795,7,1,1,0,9,36tr17foeaf9ejjmt2txuoy3y,1,31.6,87.4,2018-12-02T12:32:01.459Z,2018-12-02T12:32:04Z,1400167018,141,72.7,1974299504,212,10.0,1940333644,140,32.5,1841228653,56,Back,1604387210,213,4.8,,,,,,,,,,1cyzpbgl74lage7toh7f1tgb9,D. Stokes,,,,,,,,,,,,,,,,,,,,
1779868613,8,1,1,0,12,36tr17foeaf9ejjmt2txuoy3y,1,32.5,73.5,2018-12-02T12:32:04.691Z,2018-12-02T12:32:11Z,1591942412,212,29.4,1173420428,140,9.0,1529357553,56,Back,1985865398,141,49.9,1460250835,213,3.7,,,,,,,,,,aozm5rtnqkoutfk1mijjx7f11,J. Scott,,,,,,,,,,,,,,,,,,,,
