id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId
1514322668,1,34,16,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2018-11-04T11:59:08.368Z,2018-11-04T12:50:26Z,1639700347,197,730,2047027520,59,"30, 23, 6, 37, 25, 3, 14, 7, 15, 18, 8, 2, 11, 21, 29",1430278683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5",1297740583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1429458230,194,96484,1916627923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",1508250087,130,8,2078262409,30,"6fi5hacjc8lj8zej0d2lfq66t, 7im4tbityqzp0jc19ds4s2f2t, 2zdgbwd6y5u4pd08upf1sda6t, cs8bo5xvtd2bq7kd91flepwwl, 3u2e56fhs12qok7truspt65zp, d2fg07wz032fvb5xyi35b4c0l, ep9qu0ntpit5kaoiemycf8mvp, d9cewkta4tz35v0p71n5mcvkl, 3rh7yurfuhun7zvoymgjb7g7p, 7l34xmrhlyosdxfc7j3rru609, 3tz0jq7tbg6u1dm6qlx53u6s5, 3sakismb4qhkeila1hhzcq579, 48h95xp99lczilib8dvoq2hux, 79ecym8dg7y8fcz3ght0zaj56, 6bejfvxorcqyawi2fmk2kbco9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691162725,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-11-04T11:59:09.437Z,2018-11-04T12:45:38Z,2052826338,197,723,1566272725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",1491884366,30,"czmpp6e2oo276u9prac16le51, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, 28yvc8jmyyfavb0hetafjdadx, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, wupxscyf4x7rsjidpmp0wnv9, 1dbhha29epjmo8g4xfm5taaj9, 3sn815dsm0i0rnw9nigjyb0et, w751k9p25kmtsveitxdlz6j9, cavj1k0ukpd9c1ppg5ab4ycph, dqpv2janh4g4qkiqx7h7vs8gl, deeqv8g0p0ugnc178ge9esq1h, 3ki0ckpv13k6am75k1q7nujqi",1331862486,130,8,2024234855,194,96373,1802498832,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",1198914468,59,"18, 17, 3, 7, 6, 16, 15, 19, 11, 8, 23, 1, 12, 20, 21, 24",1087351728,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474536968,2,32,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2018-11-04T12:33:32.414Z,2018-11-04T12:33:32Z,1480556904,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092215547,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-11-04T12:33:32.414Z,2018-11-04T12:33:32Z,1926241295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736763762,3,1,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,50,50,2018-11-04T12:33:33.153Z,2018-11-04T12:33:35Z,1960060560,213,3.2,2030022098,140,43.1,1268988725,278,,2088312249,212,7.2,2074127587,56,Back,2045099535,279,S,1649891984,141,49.9,,,,ep9qu0ntpit5kaoiemycf8mvp,E. Follis,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244272835,4,1,1,0,3,4s6f6ktui5q36clvqisqr6lvo,1,39.6,59.4,2018-11-04T12:33:35.615Z,2018-11-04T12:34:00Z,1508587220,140,32.2,1734761485,141,93.2,1088878710,56,Back,1720645207,213,1.9,1670951780,212,24.3,,,,,,,,,,d9cewkta4tz35v0p71n5mcvkl,C. Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275966241,5,1,1,0,6,4s6f6ktui5q36clvqisqr6lvo,1,31,83.8,2018-11-04T12:33:39.303Z,2018-11-04T12:33:43Z,1426196609,140,21.1,1357029707,141,67.6,2012745048,212,15.1,1747034308,213,4.0,2065304570,56,Back,,,,,,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468760237,6,1,1,0,10,4s6f6ktui5q36clvqisqr6lvo,1,18.3,62,2018-11-04T12:33:42.807Z,2018-11-04T12:33:46Z,1104459601,140,17.2,1731958413,56,Back,1287528874,141,34.6,1238663190,213,4.7,2022296823,212,18.7,,,,,,,,,,3u2e56fhs12qok7truspt65zp,A. Mannion,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693639720,7,1,1,0,13,4s6f6ktui5q36clvqisqr6lvo,1,18.5,31.9,2018-11-04T12:33:46.870Z,2018-11-04T12:33:47Z,1731889679,141,5.2,1875842587,213,4.9,1315915888,212,18.5,1657559324,140,22.1,1577952535,56,Back,,,,,,,,,,d2fg07wz032fvb5xyi35b4c0l,M. Sargeant,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655530310,8,1,1,0,15,4s6f6ktui5q36clvqisqr6lvo,1,22.8,6.5,2018-11-04T12:33:47.831Z,2018-11-04T12:33:51Z,1776580058,141,22.5,1632208817,56,Back,2017950286,140,30.8,2055853437,212,13.7,1222284402,213,0.9,,,,,,,,,,7im4tbityqzp0jc19ds4s2f2t,H. Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,
