id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,assist
1448638228,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-01T11:51:36.432Z,2019-04-01T12:56:32Z,1979210270,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1673323210,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",1637862102,197,723,2069073889,30,"czmpp6e2oo276u9prac16le51, 19npqca9guxs7p2yl5sbjmbx1, 8kmne7pn10uwqe6g1kc4w69cl, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 6679bfd6bjylogbe4ebese85x, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, dqpv2janh4g4qkiqx7h7vs8gl, 3sn815dsm0i0rnw9nigjyb0et, 3xnfnzrw6optq8l2qzx2t5045, w751k9p25kmtsveitxdlz6j9, da8ymxqy00lunda8tq9oltuj9, deeqv8g0p0ugnc178ge9esq1h, 8z3ceakcqfvv039p2fbm4rvmd",1894310698,130,7,1930739931,194,96380,1980500867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",1681823236,59,"18, 17, 2, 10, 6, 16, 15, 7, 11, 20, 23, 4, 1, 9, 21, 22",,,,,,,,,,,,,,,,,,,,,,,,
1652370240,1,34,16,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2019-04-01T11:53:25.576Z,2019-04-01T12:24:03Z,1442948098,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",1896346037,130,8,1906850912,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1688909922,194,96484,1668781253,30,"6bejfvxorcqyawi2fmk2kbco9, 7im4tbityqzp0jc19ds4s2f2t, 2zdgbwd6y5u4pd08upf1sda6t, d9cewkta4tz35v0p71n5mcvkl, d2fg07wz032fvb5xyi35b4c0l, 3u2e56fhs12qok7truspt65zp, 3rh7yurfuhun7zvoymgjb7g7p, 1haq2mkmbebj3jbt0z2jom4lx, 5wob73qv36q7d73zzzu57x8lx, cs8bo5xvtd2bq7kd91flepwwl, ep9qu0ntpit5kaoiemycf8mvp, bkywzeyvbdzarj1h41txgorf9, 3sakismb4qhkeila1hhzcq579, 3tz0jq7tbg6u1dm6qlx53u6s5, 48h95xp99lczilib8dvoq2hux, akrrd6cqvl0ii64zdt9u3gtlh, 7l34xmrhlyosdxfc7j3rru609, enjtkmi8hjldw767n70b6mxg5",1774651062,59,"29, 23, 6, 7, 3, 25, 15, 4, 9, 37, 14, 1, 2, 8, 11, 13, 18, 20",1552795103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1098650447,197,729,,,,,,,,,,,,,,,,,,,,,,,,
1855969228,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-01T11:55:14.976Z,2019-04-01T11:55:15Z,2032546045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572356487,2,32,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2019-04-01T11:55:14.976Z,2019-04-01T11:55:15Z,1251078550,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819396832,3,1,1,0,1,4s6f6ktui5q36clvqisqr6lvo,1,50.1,49.9,2019-04-01T11:55:16.400Z,2019-04-01T11:55:18Z,1383267244,279,S,1325200187,213,2.9,1737143945,212,11.0,1301472295,56,Back,1255444412,140,39.9,1507177195,141,53.7,,,,,,,cs8bo5xvtd2bq7kd91flepwwl,L. Staniforth,,,,,,,,,,,,,,,,,,,,,,
1364632302,4,1,1,0,3,4s6f6ktui5q36clvqisqr6lvo,1,37.8,58.8,2019-04-01T11:55:18.187Z,2019-04-01T11:55:21Z,2039044167,141,88.4,1704336224,213,1.8,1688319484,56,Back,1926156115,212,20.5,1744929228,140,33.9,,,,,,,,,,1haq2mkmbebj3jbt0z2jom4lx,H. Ladd,,,,,,,,,,,,,,,,,,,,,,
1881590055,5,1,1,0,6,4s6f6ktui5q36clvqisqr6lvo,1,34.3,88.9,2019-04-01T11:55:21.107Z,2019-04-01T11:55:23Z,1277901339,56,Back,1084559713,212,10.6,1812091536,140,38.9,1845113685,141,75.1,1633579745,213,5.2,,,,,,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,
1963397009,6,1,1,0,8,4s6f6ktui5q36clvqisqr6lvo,1,38.6,70.9,2019-04-01T11:55:23.499Z,2019-04-01T11:56:50Z,2018123686,140,35.0,1579442267,56,Back,1416561661,141,63.3,1852048131,212,6.4,1214116772,213,4.1,,,,,,,,,,1haq2mkmbebj3jbt0z2jom4lx,H. Ladd,,,,,,,,,,,,,,,,,,,,,,
1864366367,3,43,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-04-01T11:55:23.509Z,2019-04-01T11:55:52Z,1677254102,144,7,1305359672,56,Center,1950170207,285,0,1346494644,233,6,,,,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,
1521140411,7,1,1,0,9,4s6f6ktui5q36clvqisqr6lvo,1,34.5,59.1,2019-04-01T11:55:24.964Z,2019-04-01T11:55:27Z,1582425511,213,3.9,1532954230,140,23.8,2045487318,212,14.9,1859701039,141,44.6,1101172153,56,Back,,,,,,,,,,d9cewkta4tz35v0p71n5mcvkl,C. Arthur,,,,,,,,,,,,,,,,,,,,,,
