id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/11/value,assist
523948420,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2017-10-29T13:46:26.215Z,2017-10-31T13:26:26Z,1995455950,130,5,1438215684,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",1162517396,59,"13, 7, 3, 20, 4, 6, 18, 17, 9, 8, 11, 1, 5, 12, 14, 16",1598741548,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",1354381518,194,178249,1560448254,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1472326899,197,726,2007175430,30,"4879hxo3l76ezzh653ivqf6j9, dle50mcyb7xfk7eop3d0qs2c5, 6f8lpm5ckuv4z0tbur533qpxx, e6s5iphbrws04dxrvw0xqd7f9, 9bluldps4u93urd4x9p0xk4id, 8e7wbpcbwxvdz0fojwuyov3rp, 7mnh4tu11ggamtweus78bbtg5, 8471w6ay5ndzkgy2g5ii26n6d, enjtkmi8hjldw767n70b6mxg5, 1yw6wewg11jdd7yp4x7tzc3px, 8gxse7h6ucubo3weq7sp9dnf9, 8ctokja53x311jvllpdh6v4yd, 2rgi9p67p1vf384rkqvspum6t, z8vdz64bgqus4c85451nsrf9, 8idr42aztvxbgxmkjh1v8f0lx, 6sq9uor68fca8nz7tes0vfdgp",,,,,,,,,,,,,,,,,,,,,,
366960801,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-10-29T13:51:25.594Z,2017-10-31T13:13:31Z,2026891003,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",2023706270,59,"1, 17, 3, 6, 16, 19, 8, 21, 11, 23, 18, 2, 9, 13, 14, 20, 22, 24",1489453038,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1291027581,194,96373,1786354254,197,723,1304365205,30,"w751k9p25kmtsveitxdlz6j9, 3beshocpsefo41ue002l0mx1x, 16gnoas9x34hm887omkmeee39, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 8n2xsdc43sii4t0hsci397aad, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 19npqca9guxs7p2yl5sbjmbx1, 8kpduocqm0cr5nt7v76vqc0r9, da8ymxqy00lunda8tq9oltuj9, 7e8f4kfwcucaj4239xz0rai1h, 92k3ea1daqrl2ri1jn49v0vyt, dqpv2janh4g4qkiqx7h7vs8gl, 9n2d2dv38kp2exb7z3xh2ykiy, 40drqeciuqe2j07g5cnc6xf55",2122018264,130,13,2063232469,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,
1932187740,2,43,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2017-10-29T14:01:20.440Z,2017-10-31T13:02:30Z,1190609768,127,Left to Right,1877655797,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79282164,2,43,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-10-29T14:01:20.480Z,2017-10-31T13:02:33Z,1025521483,127,Right to Left,625584962,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124025156,164,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-10-31T13:18:10.578Z,2017-10-31T13:18:11Z,1599868823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497903977,182,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2017-10-31T13:18:10.578Z,2017-10-31T13:18:10Z,1400045050,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169055041,183,1,1,0,1,7kt37xy93vjy6wac8vq6fqz3g,1,50,50,2017-10-31T13:18:11.920Z,2017-10-31T13:18:13Z,2029707149,141,54.3,1925572131,56,Back,1879385843,278,,1845633714,140,46.7,1588238255,213,2.4,1354400801,279,S,1713461743,212,4.5,,,,1yw6wewg11jdd7yp4x7tzc3px,J. Brett,,,,,,,,,,,,,,,,,,,,
1894939063,184,1,1,0,2,7kt37xy93vjy6wac8vq6fqz3g,0,46.7,54.3,2017-10-31T13:18:13.464Z,2017-10-31T13:18:18Z,1445914584,157,,1739579952,140,100.0,1318269399,56,Left,1431939391,1,,1222656440,213,0.4,1125995548,212,63.5,1959467644,141,94.8,,,,e6s5iphbrws04dxrvw0xqd7f9,M. Finnigan,,,,,,,,,,,,,,,,,,,,
1482420458,165,5,1,0,7,5rurqie3qt1qav9ir5mkqinn,1,-1.4,7,2017-10-31T13:18:18.428Z,2017-10-31T14:08:19Z,1324925804,233,185,1757726618,56,Back,,,,,,,,,,,,,,,,,,,w751k9p25kmtsveitxdlz6j9,S. van Veenendaal,,,,,,,,,,,,,,,,,,,,
1198301178,185,5,1,0,7,7kt37xy93vjy6wac8vq6fqz3g,0,101.4,93,2017-10-31T13:18:18.428Z,2017-10-31T13:18:19Z,1990315932,233,165,1795701287,56,Left,,,,,,,,,,,,,,,,,,,e6s5iphbrws04dxrvw0xqd7f9,M. Finnigan,,,,,,,,,,,,,,,,,,,,
