id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,assist,qualifier/14/id,qualifier/14/qualifierId
327661955,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-02-11T13:45:03.821Z,2018-02-12T17:18:06Z,1183650062,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",1680739218,197,723,1275136564,194,96373,2004480591,130,4,1551233587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2042270703,59,"1, 18, 3, 20, 6, 16, 8, 21, 23, 9, 15, 27, 2, 10, 13, 17, 22",1411838428,30,"w751k9p25kmtsveitxdlz6j9, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, dqpv2janh4g4qkiqx7h7vs8gl, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, 3sn815dsm0i0rnw9nigjyb0et, da8ymxqy00lunda8tq9oltuj9, 6679bfd6bjylogbe4ebese85x, d2p1tysnc81sr0q6qeo7l5m95, 8kpduocqm0cr5nt7v76vqc0r9, 5m2ilglr6tlmgs2d4qzk5wno5, 7e8f4kfwcucaj4239xz0rai1h, 3beshocpsefo41ue002l0mx1x, 9n2d2dv38kp2exb7z3xh2ykiy",1458657630,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
721935838,1,34,16,0,0,ewnp4j1j79y9gmqfborxzvp8r,1,0,0,2018-02-11T13:57:31.450Z,2018-02-11T14:14:45Z,1776325035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",295623975,30,"czz8zqjv03gdbbxiadp90pq6t, 3ojg1onnpowrf66cv42vxjlk9, df6elo2vas642bo0qatrjxwbt, 1qy3lvs9b2obn70ogxi8nrpih, b4sf206qxtrp5gusl35f7xgid, 9parlijxpxnfis96jwy9p37bp, 2sal5d0ar7y2p3atjldaatot1, 5edq3whmws0xn7ae295bwwj4l, 9uj496a8mzv2kt2u0qqoy3y09, 1wkl61ju9uzl09rj9zz160b56, 35377g0ejiax5v41nvm2jljhl, avi9mj1qz9ihh89gek7x76g6i, e92cz3r5uemkojs8wi0b34uz9, y3fmltjduawwkky47pl1eane, 7o2dix1tkybkr4d2d95yl9v1m, 1mgcgur5t8sosalc2yyisayqy, 84ww5q5cohnuyks0zghfw197t",146024945,130,4,304769864,194,170912,635658918,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",886127322,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",65836804,59,"1, 14, 3, 8, 5, 2, 15, 9, 18, 20, 28, 25, 13, 17, 19, 22, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,
1207446009,2,43,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-02-11T14:01:52.848Z,2018-02-12T17:13:03Z,42077205,127,Right to Left,1369028340,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115274786,2,43,1,0,0,ewnp4j1j79y9gmqfborxzvp8r,1,0,0,2018-02-11T14:01:52.905Z,2018-02-12T17:13:00Z,1612307283,127,Left to Right,435421311,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886631845,185,32,1,0,0,ewnp4j1j79y9gmqfborxzvp8r,1,0,0,2018-02-12T17:15:33.266Z,2018-02-12T17:15:33Z,1835957414,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647985641,223,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-02-12T17:15:33.266Z,2018-02-12T17:15:33Z,1262051901,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224437884,224,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50,50.1,2018-02-12T17:15:34.266Z,2018-02-12T17:15:52Z,1238631547,279,S,2003969450,213,3.1,1849323623,141,50.1,1148925447,56,Back,1435362604,212,13.4,1435751541,140,37.2,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,
2028719431,225,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,36.8,49.7,2018-02-12T17:15:35.789Z,2018-02-12T17:15:39Z,2140918050,140,30.3,1516875727,212,29.0,1608815429,213,1.8,1576629978,56,Back,1371146809,141,91.2,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,
1708542839,226,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,0,30.3,91.1,2018-02-12T17:15:38.266Z,2018-02-12T17:15:48Z,1131069418,1,,1103960525,140,69.9,1805087127,155,,1806428279,212,42.2,1603857093,141,100.0,2067795730,213,0.2,1986502036,56,Left,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
2043366194,186,43,1,0,9,ewnp4j1j79y9gmqfborxzvp8r,1,0,0,2018-02-12T17:15:42.522Z,2018-02-12T17:15:48Z,1776951323,144,49,,,,,,,,,,,,,,,,,,,,,,3ojg1onnpowrf66cv42vxjlk9,H. Miles,,,,,,,,,,,,,,,,,,,,,,
