id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
1648352964,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2018-05-20T11:13:28.720Z,2018-05-21T14:29:31Z,1604151881,130,8,1099211802,194,171727,1447633297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1204067208,59,"22, 2, 4, 7, 6, 21, 10, 20, 29, 8, 11, 5, 9, 12, 13, 14, 16, 18",1263909988,197,734,1253768151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2126480139,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",1396394247,30,"el8c138wsa0bnop68caop5uxh, 5wtbp5lk9z9wykiu3mjjop785, 871cll4se1mtci0na61o632dx, d9cewkta4tz35v0p71n5mcvkl, 9jq5k7h3itkm7dnb8qw9vqvh1, bl6mkergo04815vpi73fgtwb9, emyaq3f8kbforzqj8puyg8bmd, 3n7kn75zu8eatv2vavfbi2l05, dap46fr0gvf1snvx144wjmqxh, en5gss0im4eenrtt3zctkpm8l, 10d8jj5vwrmib55tth0isfvft, dvvoff2dssapkar9vfrk7k05x, 153m45p2fkc2q8x9zq105g45, 67nk9m4tqqwodh4mmdko5x90p, bqh5tawl8k9uti88kbaxxafah, 9hg49yzetkhd28qq5lvya91bd, 6dgcji5tks2ninrirba2mvgt1, ed27z13z8afzyy7tnx1lfg549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892428721,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-05-20T11:16:08.387Z,2018-05-21T14:32:11Z,1291981946,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5",1811798470,197,725,1857797915,59,"13, 18, 3, 20, 6, 16, 8, 10, 9, 23, 7, 1, 15, 28, 29",1739611159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1958046352,194,96380,1696012088,30,"7e8f4kfwcucaj4239xz0rai1h, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, dqpv2janh4g4qkiqx7h7vs8gl, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 1dbhha29epjmo8g4xfm5taaj9, 5m2ilglr6tlmgs2d4qzk5wno5, da8ymxqy00lunda8tq9oltuj9, 3sn815dsm0i0rnw9nigjyb0et, 28yvc8jmyyfavb0hetafjdadx, w751k9p25kmtsveitxdlz6j9, 6679bfd6bjylogbe4ebese85x, a1v4wcs80zp79nq6u2efnzgfd, 54hjbtj3pm6a4qruhfsz6z3zd",2095342113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",1743242364,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738433695,2,43,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2018-05-20T11:32:55.889Z,2018-05-21T14:08:49Z,1741303415,127,Right to Left,440122098,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792785560,2,43,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-05-20T11:32:56.314Z,2018-05-21T14:08:48Z,102766285,127,Left to Right,681107560,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155465508,158,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2018-05-21T14:33:19.943Z,2018-05-21T14:33:20Z,1372109998,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951411293,163,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-05-21T14:33:19.943Z,2018-05-21T14:33:20Z,1226133835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763817018,164,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50,50,2018-05-21T14:33:20.536Z,2018-05-21T14:33:22Z,1789070048,141,51.2,1210479074,212,8.0,2060104852,56,Back,1805359743,140,42.4,1644758616,278,,1480369018,213,3.0,1151758942,279,S,,,,da8ymxqy00lunda8tq9oltuj9,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730018324,165,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,44.6,48.8,2018-05-21T14:33:22.852Z,2018-05-21T14:33:26Z,2018203364,141,20.7,1359242955,212,24.6,1435037331,56,Back,1493372701,213,4.0,2138937325,140,29.9,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614993576,166,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,33.7,18,2018-05-21T14:33:26.731Z,2018-05-21T14:33:30Z,1733595165,56,Right,1958378973,213,6.1,1278045219,140,69.1,1140456302,155,,1446709055,212,37.6,1891352127,1,,1145888605,141,9.5,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271549877,159,43,1,0,9,9m7z1upwp3svfn611ejq7d36v,1,0,0,2018-05-21T14:33:29.407Z,2018-05-21T14:33:50Z,1264689020,144,12,1113952078,213,4.7,1704566150,141,72.0,1957987369,212,0,1700651503,56,Back,1671511592,140,20.6,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
