id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/10/value,qualifier/13/value
1721531963,1,34,16,0,0,2fornxej3uxyo1v7wczz20l1e,1,0,0,2018-05-17T12:16:57.458Z,2018-05-17T12:49:08Z,1513067352,59,"1, 16, 5, 11, 14, 6, 18, 20, 7, 37, 17, 38, 4, 9, 25, 28, 31, 32",2110388246,197,2275,1335425566,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",1106323193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2115527050,194,96448,1414891582,30,"cn8ti0qxxvg0z0vvmwkocggr9, b6278bn4kfeo2t62qoutcasx5, an6lixrurjzb6umm1oyna2g9h, egntdpd5mpnv6i8n8uv4yolhx, 3qnvim9hgz943kisxtn23fi6t, an1ovi7c16xed4jqub6oxgclx, c8pt5w4ezmxukz7u1811z8e7d, 1e77qga2ugvko6dbkw82yc9g5, 8pikv13ymcx8qwinht3am0atx, cs8bo5xvtd2bq7kd91flepwwl, 8ff0dlgqg6zz96u1ss53sjqhh, 2y8npwllxpgngiozgrwny0zmy, elqvjb7km07d7yf32e74bpyad, 23fmzrlinr2get6khz6my8u6t, 50w0nw780k9a7mn5p8cg0j2ay, csnwwtpqjbzhnq0wbq9e9fg89, 8zk6kcs75hjevbu61h9n2fkr9, 3ssd98djrkk9b3yhpmr6sft1x",1287294386,130,8,1603424984,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,
2085029515,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-05-17T12:18:22.591Z,2018-05-17T12:54:00Z,1823600088,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1739543023,130,4,1320149717,30,"7e8f4kfwcucaj4239xz0rai1h, 19npqca9guxs7p2yl5sbjmbx1, 6679bfd6bjylogbe4ebese85x, dqpv2janh4g4qkiqx7h7vs8gl, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 1dbhha29epjmo8g4xfm5taaj9, 5m2ilglr6tlmgs2d4qzk5wno5, da8ymxqy00lunda8tq9oltuj9, 3sn815dsm0i0rnw9nigjyb0et, 28yvc8jmyyfavb0hetafjdadx, 2q6iqh3bcybsn8437j28xcdwq, 16gnoas9x34hm887omkmeee39, 3beshocpsefo41ue002l0mx1x, a1v4wcs80zp79nq6u2efnzgfd, 54hjbtj3pm6a4qruhfsz6z3zd",2135987380,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",1732890374,194,96380,1913734555,197,725,1888182321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",1953444967,59,"13, 18, 15, 20, 6, 16, 8, 10, 9, 23, 7, 32, 3, 17, 28, 29",,,,,,,,,,,,,,,,,,,,,,
1535675276,2,32,1,0,0,2fornxej3uxyo1v7wczz20l1e,1,0,0,2018-05-17T12:27:07.187Z,2018-05-17T12:27:07Z,1938224615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935761069,3,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-05-17T12:27:07.187Z,2018-05-17T12:27:07Z,1570836959,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483529425,4,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50.1,49.4,2018-05-17T12:27:08.506Z,2018-05-17T12:27:19Z,1969193362,279,S,1569065763,141,49.4,1176730519,213,3.1,1490260876,140,41.5,1097775229,278,,1526787905,212,9.0,2096026481,56,Back,,,,da8ymxqy00lunda8tq9oltuj9,D. Carter,,,,,,,,,,,,,,,,,,,,
1398327338,5,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,41.5,49.4,2018-05-17T12:27:10.150Z,2018-05-17T12:27:13Z,1430283723,213,3.9,1981762840,56,Back,1117698564,141,34.8,1711943632,212,14.5,1868271148,140,31.5,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,
2112414300,6,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,28.4,35.2,2018-05-17T12:27:13.670Z,2018-05-17T12:27:19Z,1940406359,56,Back,1997192155,141,90.8,1890893563,212,37.8,2024874157,213,1.6,1198148510,140,28.1,1176907245,1,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,
1469111308,7,1,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,47.3,93.5,2018-05-17T12:27:20.550Z,2018-05-17T12:27:26Z,2011893696,213,0.2,1847168082,140,57.4,2025821179,141,96.8,1911982107,56,Left,1373529618,212,10.8,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,
1718128101,3,4,1,0,18,2fornxej3uxyo1v7wczz20l1e,0,34,7.6,2018-05-17T12:27:26.167Z,2018-05-17T12:27:29Z,1958908057,13,,1187262661,285,,1436247263,56,Back,2132231908,152,,2016936190,233,8,1811585720,265,,,,,,,,1e77qga2ugvko6dbkw82yc9g5,D. Bruinenberg,,,,,,,,,,,,,,,,,,,,
1140943223,8,4,1,0,18,5rurqie3qt1qav9ir5mkqinn,1,66,92.4,2018-05-17T12:27:26.167Z,2018-05-17T12:27:28Z,1430978516,286,,1720437997,56,Left,1079410888,13,,1986049281,152,,1728862381,265,,1199530277,233,3,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,
1764168743,9,1,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,64.9,94.7,2018-05-17T12:27:27.630Z,2018-05-17T12:27:29Z,1568285672,152,,1521412702,140,74.0,1407401818,5,,2005848377,141,85.7,1470002149,212,11.3,1754141435,56,Left,1139676292,213,5.7,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,
1871414067,10,1,1,0,22,5rurqie3qt1qav9ir5mkqinn,0,71.6,85.4,2018-05-17T12:27:29.773Z,2018-05-17T12:27:33Z,1232627149,213,2.2,1196379560,233,4,2110191380,141,90.2,1569931048,140,69.5,1098238989,56,Left,1738333113,236,,1384409943,286,,1354067891,212,3.9,da8ymxqy00lunda8tq9oltuj9,D. Carter,,,,,,,,,,,,,,,,,,,,
1528412367,4,74,1,0,22,2fornxej3uxyo1v7wczz20l1e,1,34.4,17.1,2018-05-17T12:27:29.783Z,2018-05-17T14:04:17Z,1553781656,285,,1985331366,233,10,1767474165,56,Back,,,,,,,,,,,,,,,,1e77qga2ugvko6dbkw82yc9g5,D. Bruinenberg,,,,,,,,,,,,,,,,,,,,
1260590326,11,1,1,0,24,5rurqie3qt1qav9ir5mkqinn,1,67.4,93.6,2018-05-17T12:27:31.430Z,2018-05-17T12:27:33Z,1913655798,141,96.0,1079108233,56,Left,1121188272,140,73.8,2132538473,212,6.9,1941642552,213,0.2,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,
1805868696,12,1,1,0,26,5rurqie3qt1qav9ir5mkqinn,1,73.6,96,2018-05-17T12:27:33.541Z,2018-05-17T12:27:35Z,1576984649,213,3.2,1920288279,212,26.3,1555567827,141,93.2,1444175871,140,48.6,1410256889,56,Back,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,
