id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value
532038588,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-09-24T12:34:29.699Z,2017-09-26T11:02:42Z,1767443105,194,96373,1816725486,59,"1, 25, 17, 8, 5, 20, 9, 6, 14, 21, 23, 2, 3, 13, 16, 18, 19, 24",1379497890,130,8,1612255875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1307585048,197,723,1959057332,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",1666274227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2089951586,30,"w751k9p25kmtsveitxdlz6j9, cavj1k0ukpd9c1ppg5ab4ycph, 3beshocpsefo41ue002l0mx1x, 1dbhha29epjmo8g4xfm5taaj9, 47myw1a3t04b3t14sn4x4mt3p, dqpv2janh4g4qkiqx7h7vs8gl, da8ymxqy00lunda8tq9oltuj9, 6zaowm8oua2nzpobekogff1lh, 92k3ea1daqrl2ri1jn49v0vyt, 28yvc8jmyyfavb0hetafjdadx, 3sn815dsm0i0rnw9nigjyb0et, 8kpduocqm0cr5nt7v76vqc0r9, 16gnoas9x34hm887omkmeee39, 7e8f4kfwcucaj4239xz0rai1h, egt40316gg12vn8a4mbax3kr9, 19npqca9guxs7p2yl5sbjmbx1, 8n2xsdc43sii4t0hsci397aad, 40drqeciuqe2j07g5cnc6xf55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973309975,1,34,16,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2017-09-24T12:36:42.955Z,2017-09-26T10:12:38Z,1767765019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1708656140,30,"6fi5hacjc8lj8zej0d2lfq66t, d2fg07wz032fvb5xyi35b4c0l, 3sakismb4qhkeila1hhzcq579, akrrd6cqvl0ii64zdt9u3gtlh, 3u2e56fhs12qok7truspt65zp, 2zdgbwd6y5u4pd08upf1sda6t, ep9qu0ntpit5kaoiemycf8mvp, emo8wffj0agou65ijs2seiaqd, 5wob73qv36q7d73zzzu57x8lx, 603a4qspj7wrjibc5012wbu1h, 9ohn9m84cy89huz745lirkted, 8jchg9q4iftmmrzvbwp1vze1h, 3rh7yurfuhun7zvoymgjb7g7p, 9ss3qkqa6h7rf4ocipbu5evo5, blggb9kn616flvmp863lp9vit, 1haq2mkmbebj3jbt0z2jom4lx, 48h95xp99lczilib8dvoq2hux, 57evg5do7x9gpg9dn17p1tu22",2096545526,130,8,2010657803,194,96484,1791950291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1381454954,197,729,1429901972,59,"30, 3, 2, 13, 25, 6, 14, 12, 9, 11, 4, 7, 15, 19, 20, 26, 27, 28",2122855534,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161785826,2,43,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-09-24T13:01:13.889Z,2017-09-26T10:04:10Z,1423751728,144,32,1163170155,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753252443,2,43,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2017-09-24T13:01:13.930Z,2017-09-26T10:04:16Z,1312429947,127,Left to Right,890235781,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635285240,192,32,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2017-09-26T10:21:55.138Z,2017-09-26T11:12:49Z,1325217551,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441066255,203,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-09-26T10:21:55.138Z,2017-09-26T11:04:01Z,1908936970,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273799620,204,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,49.9,50.4,2017-09-26T10:21:56.545Z,2017-09-26T10:58:37Z,1615882360,279,S,1885856484,213,2.9,1509274741,56,Back,1250618305,278,,1224937774,140,42.3,1860320203,212,8.3,2024018668,141,53.9,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530466384,205,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,0,42.8,51.9,2017-09-26T10:21:57.138Z,2017-09-26T10:58:35Z,1996071373,141,0.0,1705210968,155,,1445983433,140,73.2,1509341343,56,Right,1410915075,1,,2027340451,213,5.4,1207965460,212,48.1,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988333245,193,5,1,0,6,4s6f6ktui5q36clvqisqr6lvo,1,25.7,101.4,2017-09-26T10:22:01.142Z,2017-09-26T11:13:57Z,1978156652,56,Back,1184848584,233,206,,,,,,,,,,,,,,,,,,,5wob73qv36q7d73zzzu57x8lx,E. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323462263,206,5,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,74.3,-1.4,2017-09-26T10:22:01.142Z,2017-09-26T10:58:37Z,1202318869,56,Right,1955796925,233,193,,,,,,,,,,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898365862,194,1,1,0,11,4s6f6ktui5q36clvqisqr6lvo,1,24.6,100,2017-09-26T10:22:06.631Z,2017-09-26T11:13:57Z,1370170046,212,21.7,1365863720,107,,1427957751,56,Back,1258015464,141,81.8,1234505965,1,,1958807073,140,8.4,1620236267,213,3.8,,,,3sakismb4qhkeila1hhzcq579,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424925518,195,1,1,0,14,4s6f6ktui5q36clvqisqr6lvo,1,8.4,81.8,2017-09-26T10:22:09.502Z,2017-09-26T11:13:56Z,1799302415,212,23.2,2067701729,213,4.4,1523081814,56,Back,1636383350,141,49.1,1949197224,140,2.1,,,,,,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293732154,196,1,1,0,18,4s6f6ktui5q36clvqisqr6lvo,1,2.1,49.1,2017-09-26T10:22:13.374Z,2017-09-26T11:13:56Z,1618876721,213,5.6,1249863853,157,,1812792286,212,44.8,1423868623,140,34.0,1212005571,1,,1685501116,141,5.3,1703827176,56,Back,,,,6fi5hacjc8lj8zej0d2lfq66t,A. Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837121185,3,43,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,0,0,2017-09-24T13:01:34.370Z,2017-09-26T10:03:50Z,1699366729,56,Right,1914002349,233,3,1405995008,144,5,,,,,,,,,,,,,,,,47myw1a3t04b3t14sn4x4mt3p,J. Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221793172,3,43,1,0,20,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2017-09-24T13:01:34.370Z,2017-09-26T10:03:41Z,557290585,144,5,106749118,56,Right,526632177,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935076015,207,1,1,0,23,5rurqie3qt1qav9ir5mkqinn,0,70.1,97.2,2017-09-26T10:22:18.138Z,2017-09-26T10:58:47Z,1294888100,140,85.0,1689450610,212,15.6,1842519469,141,97.2,1692181997,213,0,1927624314,56,Left,1512042272,155,,,,,,,,3beshocpsefo41ue002l0mx1x,H. O'Reilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970957492,4,43,1,0,26,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2017-09-24T13:01:40.820Z,2017-09-26T10:03:41Z,2134773087,144,1,1320535784,141,0.0,992115100,107,0,1080463869,140,76.1,1627754184,212,0,608092761,213,4.7,966500921,56,Right,,,,3sakismb4qhkeila1hhzcq579,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074944420,197,1,1,0,26,4s6f6ktui5q36clvqisqr6lvo,1,30,7,2017-09-26T10:22:21.559Z,2017-09-26T11:13:56Z,1654998172,56,Back,1183250748,140,11.5,1149666643,212,19.4,1876150627,213,3.1,1404650998,141,8.0,1207623231,155,,,,,,,,ep9qu0ntpit5kaoiemycf8mvp,E. Follis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291798461,198,1,1,0,27,4s6f6ktui5q36clvqisqr6lvo,1,11.5,8,2017-09-26T10:22:22.471Z,2017-09-26T11:13:56Z,2116434364,140,29.0,2126629921,212,18.5,1828622387,213,6.2,1079140034,56,Back,1874062315,1,,1570703287,157,,1322291976,141,5.0,,,,d2fg07wz032fvb5xyi35b4c0l,M. Sargeant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071759657,199,3,1,0,30,4s6f6ktui5q36clvqisqr6lvo,0,26.2,4.8,2017-09-26T10:22:25.295Z,2017-09-26T11:13:56Z,1425294333,56,Back,1236137132,285,,2007703985,233,208,,,,,,,,,,,,,,,,ep9qu0ntpit5kaoiemycf8mvp,E. Follis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074423815,208,7,1,0,30,5rurqie3qt1qav9ir5mkqinn,1,73.8,95.2,2017-09-26T10:22:26.300Z,2017-09-26T10:58:44Z,1971016626,233,199,2092354350,286,,1639623989,56,Left,,,,,,,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
