id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value
1727771807,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-01-07T12:47:58.197Z,2018-01-07T13:32:02Z,1909208517,197,723,1295339106,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1524773296,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",1296746888,194,96373,1298990233,59,"1, 18, 3, 20, 19, 6, 8, 21, 11, 9, 23, 2, 13, 15, 16, 17, 22, 24",1471130898,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1964359799,30,"w751k9p25kmtsveitxdlz6j9, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, dqpv2janh4g4qkiqx7h7vs8gl, 8n2xsdc43sii4t0hsci397aad, 6zaowm8oua2nzpobekogff1lh, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, da8ymxqy00lunda8tq9oltuj9, 3sn815dsm0i0rnw9nigjyb0et, 8kpduocqm0cr5nt7v76vqc0r9, 7e8f4kfwcucaj4239xz0rai1h, 6679bfd6bjylogbe4ebese85x, egt40316gg12vn8a4mbax3kr9, 3beshocpsefo41ue002l0mx1x, 9n2d2dv38kp2exb7z3xh2ykiy, 40drqeciuqe2j07g5cnc6xf55",1851813463,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331481882,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2018-01-07T13:19:04.829Z,2018-01-07T13:39:41Z,1744677177,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",1277805322,30,"9rwosl795t1spjfjt808ibv85, 2s15k44faiinj3gz5tswtv4d1, 9suedxn974tkwr7tfp05fcnh1, eincxi6xa1nrhr9qldtxboyqd, 4vjejwvr5b6lphpjmuc0wlsr9, anghujtc4achyb9mflowgg9n9, daqovjw2z3rsq6rs1vq38980l, 8kxwbh8r4rl0o6rsil8sf83x1, 7im1atd7ziav111a9o6mh9gid, 8m3okb64mh1m7dfmp0km4wct1, c7yhj2xdx8l773wfswykl9hat, 8le8qxc6oyr0kgn4x0aw1mo5x, 8lpratkbgv02qcp9lth3yy3md, 4vgx21i9mmnoud5h6px197f11, cij18xj0bx2zyx3mi9xwykn9x, drwlmmiguqz2mfzsh6gjmklx, tjj9bi5fxsbn2xtdprqsaswl, aobk77cx9hxx5dkc1urqjwg5x",1137182721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1450753221,130,18,2031199406,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1966898314,197,735,1818866043,194,96381,1162904534,59,"1, 3, 7, 16, 5, 4, 18, 17, 10, 14, 23, 8, 9, 12, 22, 24, 20, 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223961464,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2018-01-07T13:30:47.499Z,2018-01-07T13:30:47Z,1182818866,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123773530,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-01-07T13:30:47.499Z,2018-01-07T13:30:47Z,1157921144,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457826805,3,1,1,0,1,spi3g782q7m4evjxn1sv6cfa,1,50.2,49.7,2018-01-07T13:30:49Z,2018-01-07T13:33:14Z,1563937260,213,2.8,2086683173,141,55.7,1999321445,212,10.8,1243416762,279,S,1279789489,56,Back,1167740262,140,40.7,,,,,,,c7yhj2xdx8l773wfswykl9hat,R. Bachmann,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144492847,4,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,0,43.6,57,2018-01-07T13:30:51.823Z,2018-01-07T13:33:15Z,1347378484,155,,1394147546,213,0.8,1317267635,56,Left,1265973041,1,,1773273395,141,100.0,1074937978,212,43.5,1552890395,140,73.6,,,,daqovjw2z3rsq6rs1vq38980l,M. Mjelde,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112708118,3,5,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,23.8,-1.4,2018-01-07T13:30:53.314Z,2018-01-07T14:20:14Z,1208189983,233,5,1806017206,56,Back,,,,,,,,,,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121313831,5,5,1,0,5,spi3g782q7m4evjxn1sv6cfa,0,76.2,101.4,2018-01-07T13:30:53.314Z,2018-01-07T13:31:07Z,1662514583,233,3,1416477443,56,Left,,,,,,,,,,,,,,,,,,,daqovjw2z3rsq6rs1vq38980l,M. Mjelde,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521425196,4,1,1,0,18,5rurqie3qt1qav9ir5mkqinn,0,21.2,0,2018-01-07T13:31:06.262Z,2018-01-07T13:31:07Z,1763717102,212,23.1,1243022107,140,37.8,2104777013,107,,1948549232,56,Back,1468095397,213,0.7,1917494361,141,20.6,1848071516,1,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480473585,6,1,1,0,20,spi3g782q7m4evjxn1sv6cfa,1,58.9,80.9,2018-01-07T13:31:08.480Z,2018-01-07T13:31:33Z,1393467811,3,,1527917679,212,11.8,1818508506,141,96.2,1556245412,56,Left,1095891045,213,1.1,2044856305,140,64.3,,,,,,,8kxwbh8r4rl0o6rsil8sf83x1,K. Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,
