id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value
1213278893,1,34,16,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2018-04-30T16:33:01.985Z,2018-04-30T16:36:35Z,1144629550,130,4,1854122679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",1335374203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1202531304,30,"6fi5hacjc8lj8zej0d2lfq66t, 9ohn9m84cy89huz745lirkted, 2zdgbwd6y5u4pd08upf1sda6t, 1haq2mkmbebj3jbt0z2jom4lx, d2fg07wz032fvb5xyi35b4c0l, 3u2e56fhs12qok7truspt65zp, 1234a1tb7y6trj9xsoqvx0x5h, akrrd6cqvl0ii64zdt9u3gtlh, 5wob73qv36q7d73zzzu57x8lx, ep9qu0ntpit5kaoiemycf8mvp, 3rh7yurfuhun7zvoymgjb7g7p, 8jchg9q4iftmmrzvbwp1vze1h, 3tz0jq7tbg6u1dm6qlx53u6s5, emo8wffj0agou65ijs2seiaqd, 9ss3qkqa6h7rf4ocipbu5evo5, blggb9kn616flvmp863lp9vit, 48h95xp99lczilib8dvoq2hux, 57evg5do7x9gpg9dn17p1tu22",1355114081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1665489692,197,729,1243050571,59,"30, 4, 6, 26, 3, 25, 17, 13, 9, 14, 15, 7, 8, 12, 19, 20, 27, 28",1965493661,194,2zdgbwd6y5u4pd08upf1sda6t,,,,,,,,,,,,,,,,,,,,,,,,,
1700802930,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-04-30T16:33:03.188Z,2018-04-30T16:49:51Z,1614852528,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",1534743682,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1640213240,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5",1074778471,30,"w751k9p25kmtsveitxdlz6j9, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, dqpv2janh4g4qkiqx7h7vs8gl, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 1dbhha29epjmo8g4xfm5taaj9, 5m2ilglr6tlmgs2d4qzk5wno5, 3sn815dsm0i0rnw9nigjyb0et, 6679bfd6bjylogbe4ebese85x, 28yvc8jmyyfavb0hetafjdadx, da8ymxqy00lunda8tq9oltuj9, 7e8f4kfwcucaj4239xz0rai1h, 3beshocpsefo41ue002l0mx1x, 3ki0ckpv13k6am75k1q7nujqi, 54hjbtj3pm6a4qruhfsz6z3zd",1785455139,59,"1, 18, 3, 20, 6, 16, 8, 10, 23, 15, 7, 9, 13, 17, 26, 29",1774053248,130,23,1122298922,197,723,2079408366,194,5m2ilglr6tlmgs2d4qzk5wno5,,,,,,,,,,,,,,,,,,,,,,,,,
1171429062,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50,50,2018-04-30T16:37:03.369Z,2018-04-30T16:37:05Z,1386899344,140,39.7,1518525853,212,11.4,1170750738,141,55.1,1981280197,279,S,1578972398,213,2.8,1272088965,56,Back,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,
1992718831,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-04-30T16:38:39.053Z,2018-04-30T17:19:42Z,2025722799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473891803,2,32,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2018-04-30T16:38:39.053Z,2018-04-30T17:19:41Z,1445124637,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083784485,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,39.4,52.7,2018-04-30T16:37:04.983Z,2018-04-30T16:37:09Z,1570720173,212,14.3,2060257351,141,40.3,1281394150,213,3.8,1993486128,140,28.4,2090102953,56,Back,,,,,,,,,,dqpv2janh4g4qkiqx7h7vs8gl,D. Janssen,,,,,,,,,,,,,,,,,,,,,,,
1337321971,5,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,29.3,34.5,2018-04-30T16:37:08.934Z,2018-04-30T16:37:11Z,1258558761,56,Center,1188186185,213,6.2,1393214626,141,29.8,1989092760,1,,1935071135,140,67.2,1610016946,212,39.9,1962659356,155,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,
1925446595,4,5,1,0,9,4s6f6ktui5q36clvqisqr6lvo,0,36.6,101.2,2018-04-30T16:37:12.422Z,2018-04-30T16:50:30Z,1220974408,233,6,1729798454,56,Back,,,,,,,,,,,,,,,,,,,akrrd6cqvl0ii64zdt9u3gtlh,M. Ewers,,,,,,,,,,,,,,,,,,,,,,,
1325750029,6,5,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,63.4,-1.2,2018-04-30T16:37:12.422Z,2018-04-30T16:37:23Z,2044141425,56,Right,1633191125,233,4,,,,,,,,,,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,
1801005273,3,1,1,0,12,4s6f6ktui5q36clvqisqr6lvo,0,29.5,73.8,2018-04-30T16:37:15.249Z,2018-04-30T16:37:41Z,1790874692,56,Back,2035537301,140,36.7,1369243056,212,20.2,1306843546,141,100.0,2033363685,213,1.2,1307926125,3,,,,,,,,akrrd6cqvl0ii64zdt9u3gtlh,M. Ewers,,,,,,,,,,,,,,,,,,,,,,,
1221244387,7,1,1,0,20,5rurqie3qt1qav9ir5mkqinn,0,67.9,0,2018-04-30T16:37:23.246Z,2018-04-30T16:37:24Z,1900721533,56,Right,1450786597,212,12.5,1119948829,141,13.5,2040935103,213,0.9,1897692969,140,75.2,2129538627,107,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,
1546143053,5,1,1,0,23,4s6f6ktui5q36clvqisqr6lvo,0,20.9,85.1,2018-04-30T16:37:26.185Z,2018-04-30T16:37:26Z,1100137860,141,84.7,1434465706,140,35.2,1290004326,213,6.3,1971698029,56,Back,1730412242,212,15.0,1687847247,3,,,,,,,,1haq2mkmbebj3jbt0z2jom4lx,H. Ladd,,,,,,,,,,,,,,,,,,,,,,,
1591336558,8,1,1,0,23,5rurqie3qt1qav9ir5mkqinn,1,65.1,11,2018-04-30T16:37:26.317Z,2018-04-30T16:37:29Z,2082718824,212,7.2,2109886921,56,Center,1959538264,140,64.7,1186612594,141,21.5,1764744825,213,1.6,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,
1092774450,9,1,1,0,26,5rurqie3qt1qav9ir5mkqinn,1,65.6,18.9,2018-04-30T16:37:28.941Z,2018-04-30T16:37:30Z,1864440184,56,Right,1378386197,213,5.7,1253141231,141,10.0,1142353654,140,73.7,2057487398,212,10.4,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,
1703764728,10,1,1,0,28,5rurqie3qt1qav9ir5mkqinn,1,75,10,2018-04-30T16:37:30.557Z,2018-04-30T16:37:36Z,1907231171,212,18.0,1669974663,56,Right,1183347829,213,0.3,1901171438,141,17.6,1536360446,140,91.4,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,
1833976247,6,61,1,0,29,4s6f6ktui5q36clvqisqr6lvo,1,20.6,84.2,2018-04-30T16:37:31.792Z,2018-04-30T16:37:31Z,1520550038,56,Back,,,,,,,,,,,,,,,,,,,,,,3rh7yurfuhun7zvoymgjb7g7p,C. Wellings,,,,,,,,,,,,,,,,,,,,,,,
