id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value
1250422743,156,1,1,0,9,bsbugp9qfasrrtg55bf7evvwv,0,54.7,5.6,2018-01-30T17:13:26.769Z,2018-01-30T17:13:27Z,1461041688,140,61.4,1292486708,56,Right,1733967308,212,7.1,1414670505,141,7.0,1516118309,213,0.1,1868918105,233,134,1350900888,286,,1273184611,236,,ce4cgftejsd46a0rahih0divp,R. Rowe,,,,,,,,,,,,,,,,,,,,,,
1534011331,134,74,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,39.9,95.6,2018-01-30T17:13:27.304Z,2018-01-30T17:13:27Z,2069958264,233,156,1553303896,285,,1301010373,56,Back,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,
1693116679,157,8,1,0,10,bsbugp9qfasrrtg55bf7evvwv,1,37.4,9.2,2018-01-30T17:13:28.425Z,2018-01-30T17:13:28Z,2075462130,56,Back,,,,,,,,,,,,,,,,,,,,,,8luywpal86868rzccewltdmmt,,,,,,,,,,,,,,,,,,,,,,,
1753345922,135,61,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,59.6,95.6,2018-01-30T17:13:28.726Z,2018-01-30T17:13:41Z,1535633913,56,Left,,,,,,,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,
1797651976,158,61,1,0,12,bsbugp9qfasrrtg55bf7evvwv,1,39.5,8.2,2018-01-30T17:13:29.767Z,2018-01-30T17:13:29Z,1893292534,56,Back,,,,,,,,,,,,,,,,,,,,,,8luywpal86868rzccewltdmmt,,,,,,,,,,,,,,,,,,,,,,,
1916483403,136,5,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,56.8,101.6,2018-01-30T17:13:30.617Z,2018-01-30T17:21:50Z,1541191948,56,Left,1386939270,233,159,,,,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,
1522201801,159,5,1,0,12,bsbugp9qfasrrtg55bf7evvwv,0,43.2,-1.6,2018-01-30T17:13:30.617Z,2018-01-30T17:13:42Z,1863707547,233,136,2025289298,56,Back,,,,,,,,,,,,,,,,,,,8luywpal86868rzccewltdmmt,,,,,,,,,,,,,,,,,,,,,,,
1707901567,3,43,1,0,22,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-01-28T14:02:55.813Z,2018-01-30T16:56:45Z,1941110679,144,1,1505349296,212,0,1325522919,141,0.0,1974211362,56,Left,1893793638,140,42.8,1798066733,213,1.6,451517374,107,0,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1425795341,137,1,1,0,24,5rurqie3qt1qav9ir5mkqinn,1,60.4,100,2018-01-30T17:13:42.145Z,2018-01-30T17:14:05Z,1975505316,212,10.8,1409040920,213,6.0,1817568646,56,Left,1798227075,141,97.2,1644726181,107,,1798422630,140,70.2,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,
1525597570,138,50,1,0,27,5rurqie3qt1qav9ir5mkqinn,1,62,97,2018-01-30T17:13:44.727Z,2018-01-30T17:13:47Z,2012766379,56,Left,1733899043,286,,1882384058,233,160,,,,,,,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,
