id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,assist,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
730299686,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-04-18T18:03:51.635Z,2018-04-20T15:14:15Z,1932487643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1980247750,59,"1, 18, 3, 10, 6, 16, 8, 21, 20, 9, 11, 13, 15, 17, 23, 26, 28, 29",1688258238,194,96380,1878539778,130,4,1674868505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",1586660391,30,"w751k9p25kmtsveitxdlz6j9, 19npqca9guxs7p2yl5sbjmbx1, 16gnoas9x34hm887omkmeee39, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, egt40316gg12vn8a4mbax3kr9, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, dqpv2janh4g4qkiqx7h7vs8gl, da8ymxqy00lunda8tq9oltuj9, wupxscyf4x7rsjidpmp0wnv9, 7e8f4kfwcucaj4239xz0rai1h, 6679bfd6bjylogbe4ebese85x, 3beshocpsefo41ue002l0mx1x, 3sn815dsm0i0rnw9nigjyb0et, 3ki0ckpv13k6am75k1q7nujqi, a1v4wcs80zp79nq6u2efnzgfd, 54hjbtj3pm6a4qruhfsz6z3zd",1327345611,197,723,2094722392,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624917939,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2018-04-18T18:06:00.505Z,2018-04-20T17:03:36Z,2136503519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",2116209674,59,"1, 23, 20, 7, 6, 22, 18, 4, 19, 10, 8, 2, 3, 9, 11, 21",1178273032,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1928458115,130,3,2087283571,194,224746,2056871377,30,"eofeaerj2f8tm1xldw18e2o5x, ce4cgftejsd46a0rahih0divp, b4q51nzxmgax7on17s1wpx5ud, 87ann5tlunyp4nzahpl5wqoyd, 8luywpal86868rzccewltdmmt, abak1ddvoaaei83ad7wk3zqol, 5vzr4dly8xl2hhybhel0comol, 8lhwl2mbtvfxbd8gmp33twq1h, 108a89xbf1b28xj9oze2oxk9h, 7grp6mb5milt6wp91mdoti7rp, amnb211255557h5z7snm33h79, dltovemexu20xdg1ff55b1ed, 7im4tbityqzp0jc19ds4s2f2t, 8nm8tcjs4t6q07r9g1024xhw5, 5mtf5omkgp8xswllfquozemt, 5op3c93qca8mh67vkwrb3tvpx",1832075675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485307994,2,43,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-04-18T18:32:05.318Z,2018-04-20T15:11:53Z,1328668812,144,32,88649279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633809766,2,43,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2018-04-18T18:32:05.359Z,2018-04-20T15:11:50Z,90238616,144,32,178214556,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590709274,176,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2018-04-20T15:31:42.478Z,2018-04-20T15:31:43Z,2038319033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042210058,208,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2018-04-20T15:31:42.478Z,2018-04-20T15:31:42Z,2045017006,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249387279,209,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.8,50.1,2018-04-20T15:31:43.420Z,2018-04-20T15:31:44Z,2064640789,213,2.8,1821624764,141,56.4,2064880818,279,S,1380467983,140,39.2,2124875624,56,Back,1159210658,212,11.9,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703779919,210,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,37.6,55.2,2018-04-20T15:31:44.706Z,2018-04-20T15:31:47Z,2138042853,141,38.6,1305199292,56,Back,1081425649,212,17.5,1952069955,140,24.9,2030232036,213,3.8,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262815550,211,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,24.9,34.2,2018-04-20T15:31:47.633Z,2018-04-20T15:31:54Z,1846332040,212,73.0,1653999975,1,,1490699874,213,6.1,1666426828,140,93.0,1108525736,141,12.9,1642048112,56,Right,1967212107,157,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433583889,212,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,93,12.5,2018-04-20T15:31:54.178Z,2018-04-20T15:31:56Z,1300113376,56,Right,1591700297,140,88.4,1738525591,212,4.8,1468309167,141,12.6,1184679519,213,3.1,,,,,,,,,,da8ymxqy00lunda8tq9oltuj9,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
