id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/11/value
2167472587,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-11-25T13:30:34.070Z,2019-11-29T18:43:40Z,2248135163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2248135157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",2248135161,130,8,2248135167,197,723,2248135169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2248135159,59,"1, 17, 15, 14, 6, 5, 23, 10, 11, 8, 7, 13, 16, 18, 20, 22, 26, 27",2248135155,30,"dib5a7vebmtxqcksi1tuteklx, 19npqca9guxs7p2yl5sbjmbx1, 6679bfd6bjylogbe4ebese85x, 23kah59nbx1m7ro3imaaevoph, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, 3sn815dsm0i0rnw9nigjyb0et, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, e8ivbfq0irn8f2p8krhkikzx1, egt40316gg12vn8a4mbax3kr9, czmpp6e2oo276u9prac16le51, c4ptt043q3lm4npuwpyviprdh, 8z3ceakcqfvv039p2fbm4rvmd, 1bgf6fem5s6mvhmi3tyb4x756, 3539ai0d63d8hiq0e1nrptb3e",2248135165,194,5m2ilglr6tlmgs2d4qzk5wno5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472837,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2019-11-25T13:32:23.565Z,2019-11-25T13:32:23Z,2248136823,194,cjzf3fxksqxnbbsk5jekh9i39,2248136821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2248136813,30,"8zk6kcs75hjevbu61h9n2fkr9, dltovemexu20xdg1ff55b1ed, cmcx5h39wkd0cnsbq1vcob4r9, d22z3s84b3lansikunko3vsgl, cjzf3fxksqxnbbsk5jekh9i39, 13ch4zgnhtydtkf9vlvh68hjp, 3tot15elwrc9lz9ohha1z0ij9, 8eixmur5ss02hjp0vh099jyz9, 7mnh4tu11ggamtweus78bbtg5, 8nm8tcjs4t6q07r9g1024xhw5, et6offb5y91ch6mlol3dwcd0p, 9i7w9e580arjgwi09oard5byt, db7kxwjwf61skjzh62i2l13h1, c0my4y3kjf7jbbfujj5l8e8yx, cra0yx8x8216mskj61glfetpl, e39rl5n2uybgh0pmftd01e1nt, brppytuf1766c50274dkue5pm",2248136827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2248136817,59,"1, 22, 3, 8, 6, 5, 11, 4, 9, 24, 20, 10, 14, 17, 18, 19, 21",2248136819,130,8,2248136825,197,739,2248136815,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472929,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2019-11-25T13:33:00.192Z,2019-11-25T13:33:00Z,2248137443,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472933,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-11-25T13:33:00.192Z,2019-11-25T13:33:00Z,2248137459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472941,3,1,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,50,50,2019-11-25T13:33:01.063Z,2019-11-25T13:33:03Z,2248137499,213,3.5,2248137503,279,S,2248137493,56,Back,2248137497,141,44.0,2248137501,212,11.6,2248137495,140,39.7,,,,,,,8nm8tcjs4t6q07r9g1024xhw5,K. Linnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472955,4,1,1,0,3,mjejb0x57ms54j9ry6s8njwh,0,39.7,44,2019-11-25T13:33:03.381Z,2019-11-25T13:33:08Z,2248137569,213,0.5,2248137565,141,94.4,2248137571,212,72.6,2248137567,1,,2248137563,140,100.0,2248137561,56,Left,2248137559,155,,,,,8eixmur5ss02hjp0vh099jyz9,R. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472953,3,5,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,-0.7,5.7,2019-11-25T13:33:07.021Z,2019-11-25T13:33:08Z,2248137549,56,Back,2248137575,233,5,2248137551,346,,,,,,,,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167472957,5,5,1,0,6,mjejb0x57ms54j9ry6s8njwh,0,100.7,94.3,2019-11-25T13:33:07.021Z,2019-11-25T13:34:48Z,2248137593,233,3,2248137579,56,Left,2248137581,346,,,,,,,,,,,,,,,,,8eixmur5ss02hjp0vh099jyz9,R. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167473033,4,1,1,0,25,5rurqie3qt1qav9ir5mkqinn,1,5.1,43.4,2019-11-25T13:33:25.405Z,2019-11-25T13:33:28Z,2248138017,212,14.0,2248138009,56,Back,2248138013,141,31.2,2248138011,140,15.8,2248138007,124,,2248138015,213,5.6,2248138021,237,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167473043,5,1,1,0,28,5rurqie3qt1qav9ir5mkqinn,1,17.5,31.2,2019-11-25T13:33:28.349Z,2019-11-25T13:33:30Z,2248138083,212,18.0,2248138079,141,57.6,2248138081,213,1.6,2248138077,140,17.2,2248138075,56,Back,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
