id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2172384173,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-12-16T14:54:32.435Z,2019-12-16T14:54:32Z,2272767695,130,8,2272767689,30,"dib5a7vebmtxqcksi1tuteklx, 19npqca9guxs7p2yl5sbjmbx1, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, 8z3ceakcqfvv039p2fbm4rvmd, 3sn815dsm0i0rnw9nigjyb0et, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 23kah59nbx1m7ro3imaaevoph, 28yvc8jmyyfavb0hetafjdadx, 1dbhha29epjmo8g4xfm5taaj9, egt40316gg12vn8a4mbax3kr9, czmpp6e2oo276u9prac16le51, c4ptt043q3lm4npuwpyviprdh, 1bgf6fem5s6mvhmi3tyb4x756, 3539ai0d63d8hiq0e1nrptb3e",2272767701,197,725,2272767693,59,"1, 17, 15, 13, 6, 22, 23, 10, 11, 14, 7, 8, 16, 18, 20, 26, 27",2272767699,194,5m2ilglr6tlmgs2d4qzk5wno5,2272767703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2272767691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",2272767697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386021,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2019-12-16T14:58:26.906Z,2019-12-16T15:09:54Z,2272778407,30,"7f3opq72gey1boxe6vcgmfvth, bo5e35lsptja0pnlvk1y38dex, 6f8lpm5ckuv4z0tbur533qpxx, 8e7wbpcbwxvdz0fojwuyov3rp, 27ebz4ttah05w2ni0rucrucb9, e6s5iphbrws04dxrvw0xqd7f9, 17b5ovdec36ay7c7aod6bhaz9, avttb0ne86ra4pqruk0d8al05, 7f7tbbjqhhyydjj4wurm28xcl, 23b90lntnrwvb0k45u7dva0np, 8gxse7h6ucubo3weq7sp9dnf9, 8ctokja53x311jvllpdh6v4yd, 40drqeciuqe2j07g5cnc6xf55, 9bluldps4u93urd4x9p0xk4id, dle50mcyb7xfk7eop3d0qs2c5, 5677k11mj3dmsnqse80eumk0l, emo8wffj0agou65ijs2seiaqd, 2hoa4v8810rmsbi85pfanyfl6",2272778413,130,13,2272778577,194,avttb0ne86ra4pqruk0d8al05,2272778409,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",2272778419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2272778415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2272778411,59,"23, 14, 3, 6, 5, 20, 21, 17, 16, 8, 11, 1, 2, 4, 7, 10, 13, 15",2272778417,197,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386267,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-12-16T14:58:56.882Z,2019-12-16T14:58:57Z,2272779815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386263,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2019-12-16T14:58:56.882Z,2019-12-16T14:58:57Z,2272779793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386313,3,1,1,0,1,7kt37xy93vjy6wac8vq6fqz3g,1,50.2,49.9,2019-12-16T14:58:58.261Z,2019-12-16T14:59:02Z,2272780007,212,8.2,2272780001,140,42.4,2272780003,141,50.3,2272779999,56,Back,2272780009,279,S,2272780005,213,3.1,2272780011,278,,,,,7f7tbbjqhhyydjj4wurm28xcl,H. Cain,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386329,4,1,1,0,2,7kt37xy93vjy6wac8vq6fqz3g,0,42.4,50.3,2019-12-16T14:58:58.882Z,2019-12-16T14:59:05Z,2272780079,141,76.6,2272780075,56,Center,2272780083,213,0.4,2272780077,140,79.8,2272780085,212,43.2,2272780081,1,,2272780073,157,,,,,avttb0ne86ra4pqruk0d8al05,L. Hope,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386331,3,49,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,22.6,24.6,2019-12-16T14:59:02.680Z,2019-12-16T14:59:03Z,,,,,,,,,,,,,,,,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386363,4,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,23.3,27.3,2019-12-16T14:59:03.735Z,2019-12-16T14:59:06Z,2272780291,212,13.1,2272780285,140,14.3,2272780287,141,40.6,2272780289,213,2.4,2272780283,56,Back,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386395,5,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,13.4,43.3,2019-12-16T14:59:05.750Z,2019-12-16T14:59:09Z,2272780451,212,33.3,2272780447,1,,2272780441,56,Back,2272780445,141,90.3,2272780443,140,22.3,2272780449,213,1.3,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386423,6,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,22.8,90.8,2019-12-16T14:59:08.950Z,2019-12-16T14:59:12Z,2272780617,141,74.5,2272780619,213,4.5,2272780615,140,20.4,2272780621,212,11.4,2272780613,56,Back,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2172386441,7,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,21.3,71.5,2019-12-16T14:59:12.326Z,2019-12-16T14:59:15Z,2272780741,141,59.3,2272780743,213,3.7,2272780745,212,16.9,2272780737,56,Back,2272780739,140,7.3,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,
