id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value
2181166945,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-02-03T13:17:36.128Z,2020-02-03T13:17:36Z,2316789969,197,725,2316789971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2316789959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",2316789957,30,"dib5a7vebmtxqcksi1tuteklx, c4ptt043q3lm4npuwpyviprdh, 6679bfd6bjylogbe4ebese85x, 23kah59nbx1m7ro3imaaevoph, 6zaowm8oua2nzpobekogff1lh, 8z3ceakcqfvv039p2fbm4rvmd, 19npqca9guxs7p2yl5sbjmbx1, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, 1dbhha29epjmo8g4xfm5taaj9, 3sn815dsm0i0rnw9nigjyb0et, d9zt8e8lnk9a22we6o6wqyndh, egt40316gg12vn8a4mbax3kr9, czmpp6e2oo276u9prac16le51, 1bgf6fem5s6mvhmi3tyb4x756, 3539ai0d63d8hiq0e1nrptb3e, 60q198d41n3y887jeiezr850q",2316789963,130,8,2316789967,194,1dbhha29epjmo8g4xfm5taaj9,2316789961,59,"1, 20, 15, 14, 6, 22, 17, 7, 11, 8, 23, 5, 16, 18, 26, 27, 30",2316789965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,
2181167493,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2020-02-03T13:22:01.496Z,2020-02-03T13:22:01Z,2316792841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",2316792843,59,"26, 10, 3, 24, 6, 4, 8, 19, 18, 9, 15, 7, 12, 16, 25, 28, 34, 35",2316792851,197,1154,2316792849,194,5vuw3lywsh90t394m8h6g5ihh,2316792853,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2316792847,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2316792845,130,2,2316792839,30,"20ccu2ngcfo3cvczhzk682ju1, c4tkrrhs6o8ii0wnmi5y66cwl, 1cyzpbgl74lage7toh7f1tgb9, 8h7r4d4z2gjne58xwu3koiok5, 5vuw3lywsh90t394m8h6g5ihh, 5wjfxb57gtzmp7m29wotyafv9, aozm5rtnqkoutfk1mijjx7f11, dgkmt7f5k9oqruxzsi3x9em6t, 5wob73qv36q7d73zzzu57x8lx, 52w10pe7mkfv4twb2p2c5ugnp, 10d8jj5vwrmib55tth0isfvft, 7gmh6g5c39asg7gnthx1jxp79, 1szjchjw88hnlrwejnia4yyuh, bmw6mvkeropjorm2rxzw2fzai, 6nttp222bjmjbgol4xgck8yj9, 2hbrb48fqcvv05srmzclbyp2i, jnfo5n6yvloyqcpt5g1x5yvp, ent5lfgq42d5ngi3ebyy7p1w5",,,,,,,,,,,,,,,,,,,,,,,,,
2181167687,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2020-02-03T13:22:38.084Z,2020-02-03T13:22:38Z,2316793747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181167683,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-02-03T13:22:38.084Z,2020-02-03T13:22:38Z,2316793731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181167709,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50.1,50,2020-02-03T13:22:38.890Z,2020-02-03T13:22:42Z,2316793879,212,12.7,2316793881,279,S,2316793875,141,57.9,2316793871,56,Back,2316793873,140,39.1,2316793877,213,2.7,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,
2181167719,4,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,39.4,58.1,2020-02-03T13:22:42.143Z,2020-02-03T13:22:43Z,2316793913,56,Back,2316793921,212,15.9,2316793917,141,76.1,2316793915,140,29.8,2316793919,213,2.3,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,
2181167723,5,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,29.8,76.1,2020-02-03T13:22:43.617Z,2020-02-03T13:22:44Z,2316793937,56,Back,2316793945,212,15.4,2316793943,213,0.8,2316793939,140,39.9,2316793941,141,92.6,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,
2181167731,6,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,39.8,91.8,2020-02-03T13:22:44.544Z,2020-02-03T13:22:47Z,2316794039,236,,2316793981,141,88.9,2316793977,56,Back,2316793983,213,5.1,2316793979,140,40.6,2316794041,233,3,2316793985,212,2.1,2316794043,286,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,
2181167743,3,74,1,0,6,36tr17foeaf9ejjmt2txuoy3y,1,60.3,7.1,2020-02-03T13:22:44.554Z,2020-02-03T13:52:53Z,2316794035,56,Right,2316794037,285,,2316794045,233,6,,,,,,,,,,,,,,,,c4tkrrhs6o8ii0wnmi5y66cwl,G. Stanway,,,,,,,,,,,,,,,,,,,,,,,
2181167747,4,61,1,0,10,36tr17foeaf9ejjmt2txuoy3y,0,61.1,18.6,2020-02-03T13:22:48.231Z,2020-02-03T13:22:48Z,2316794055,56,Right,,,,,,,,,,,,,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,
