id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value
2165738399,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2019-11-17T14:22:58.753Z,2019-11-17T15:04:37Z,2239443277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2239443273,194,9mfotw533oa5qs1muu2z8t8lx,2239443269,130,2,2239443271,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2239443267,59,"22, 29, 15, 8, 25, 6, 3, 27, 9, 16, 4, 1, 2, 7, 10, 11, 19, 23",2239443275,197,6732,2239443263,30,"4vgx21i9mmnoud5h6px197f11, tzc4bqcf2wkz1k7d96l8g3my, 2rgi9p67p1vf384rkqvspum6t, 49tbu841s20wivafeostkffmd, 27p8qc64x7plz62xfu9p6ow2y, d2p1tysnc81sr0q6qeo7l5m95, 5rj3vthrtst79mu39t2d7axud, 87ann5tlunyp4nzahpl5wqoyd, ab5tn3b6cz73mmhmokmikqz8p, beeqbcwweng7zflrap12ph7qi, 9mfotw533oa5qs1muu2z8t8lx, 9t3u9ej723dy4z16z5xypjbl6, 31mhclmjwpn7zik6nphr4pwtm, 9suedxn974tkwr7tfp05fcnh1, d6fm2bl9a4ze6gbn9uzxk942d, 224440nax33frsf90i2ie3o16, 48h95xp99lczilib8dvoq2hux, enqn8azrcz6vks9d21ze9w2c5",2239443265,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,
2165738403,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-11-17T14:22:59.612Z,2019-11-17T15:09:00Z,2239443309,194,5m2ilglr6tlmgs2d4qzk5wno5,2239443313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2239443305,130,8,2239443307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2239443301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",2239443299,30,"dib5a7vebmtxqcksi1tuteklx, 19npqca9guxs7p2yl5sbjmbx1, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, 28yvc8jmyyfavb0hetafjdadx, e8ivbfq0irn8f2p8krhkikzx1, wupxscyf4x7rsjidpmp0wnv9, 1dbhha29epjmo8g4xfm5taaj9, 3sn815dsm0i0rnw9nigjyb0et, 16gnoas9x34hm887omkmeee39, 23kah59nbx1m7ro3imaaevoph, egt40316gg12vn8a4mbax3kr9, czmpp6e2oo276u9prac16le51, c4ptt043q3lm4npuwpyviprdh, 8z3ceakcqfvv039p2fbm4rvmd",2239443303,59,"1, 17, 15, 10, 6, 5, 7, 13, 11, 8, 23, 3, 14, 16, 18, 20, 22",2239443311,197,723,,,,,,,,,,,,,,,,,,,,,
2165746397,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-11-17T15:01:28.241Z,2019-11-17T15:01:28Z,2239483581,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165746395,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2019-11-17T15:01:28.241Z,2019-11-17T15:01:28Z,2239483579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165746409,3,1,1,0,1,9ijyncrxsejz505dbadwr1dir,1,50.2,50.1,2019-11-17T15:01:29.494Z,2019-11-17T15:01:33Z,2239483621,56,Back,2239483625,141,59.4,2239483623,140,27.4,2239483631,279,S,2239483629,212,24.8,2239483627,213,2.9,,,,,,,ab5tn3b6cz73mmhmokmikqz8p,R. Dean,,,,,,,,,,,,,,,,,,,
2165746413,4,1,1,0,3,9ijyncrxsejz505dbadwr1dir,0,27.7,59,2019-11-17T15:01:31.241Z,2019-11-17T15:51:26Z,2239483661,212,44.3,2239483653,140,69.0,2239483649,155,,2239483659,213,6.1,2239483657,1,,2239483655,141,45.8,2239483651,56,Center,,,,2rgi9p67p1vf384rkqvspum6t,S. Worm,,,,,,,,,,,,,,,,,,,
2165746427,3,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,32.5,45.7,2019-11-17T15:01:34.150Z,2019-11-17T15:02:57Z,2239483745,140,45.9,2239483747,141,41.9,2239483749,213,6.1,2239483751,212,14.3,2239483741,3,,2239483743,56,Back,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,
2165746429,4,49,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,45.9,41.9,2019-11-17T15:01:38.516Z,2019-11-17T15:01:39Z,,,,,,,,,,,,,,,,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,
2165746431,5,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,45.9,41.9,2019-11-17T15:01:38.638Z,2019-11-17T15:01:39Z,2239483761,141,72.7,2239483765,213,1.9,2239483759,140,39.1,2239483757,56,Back,2239483769,212,22.1,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,
2165746437,6,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,39.1,72.7,2019-11-17T15:01:39.684Z,2019-11-17T15:03:04Z,2239483811,213,1.2,2239483805,56,Back,2239483807,140,44.7,2239483813,212,17.5,2239483809,141,96.9,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,
