id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId
2169236315,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2019-12-02T15:08:18.369Z,2019-12-02T15:53:41Z,2257018543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2257018531,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",2257018541,197,733,2257018539,194,5wtbp5lk9z9wykiu3mjjop785,2257018537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2257018535,130,17,2257018529,30,"el8c138wsa0bnop68caop5uxh, 5wtbp5lk9z9wykiu3mjjop785, 67nk9m4tqqwodh4mmdko5x90p, 871cll4se1mtci0na61o632dx, dvvoff2dssapkar9vfrk7k05x, d2fg07wz032fvb5xyi35b4c0l, en5gss0im4eenrtt3zctkpm8l, 8471w6ay5ndzkgy2g5ii26n6d, 9jitxfwaeix5fn1n3dhartbhm, 153m45p2fkc2q8x9zq105g45, 3rh7yurfuhun7zvoymgjb7g7p, 51bmlvg8nhk6efnguqu1rp49, br6bf6mwaepk2sz4rdif27hii, d364h3l2zsfr1gfsqq5gvl36y, 9parlijxpxnfis96jwy9p37bp, 8lf62k2iwmb23gywex08s6m09, 5llfshqnnnclh5o2t1b1ckqtx, 5ye5h1o9ndhfeqdi8mh4f9une",2257018533,59,"1, 2, 12, 4, 5, 16, 8, 25, 9, 10, 11, 22, 20, 18, 3, 7, 13, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169238985,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-12-02T15:14:53.221Z,2019-12-02T15:25:38Z,2257031919,30,"dib5a7vebmtxqcksi1tuteklx, 19npqca9guxs7p2yl5sbjmbx1, 3sn815dsm0i0rnw9nigjyb0et, d9zt8e8lnk9a22we6o6wqyndh, 6zaowm8oua2nzpobekogff1lh, 8z3ceakcqfvv039p2fbm4rvmd, 1dbhha29epjmo8g4xfm5taaj9, e8ivbfq0irn8f2p8krhkikzx1, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 28yvc8jmyyfavb0hetafjdadx, 16gnoas9x34hm887omkmeee39, 5m2ilglr6tlmgs2d4qzk5wno5, egt40316gg12vn8a4mbax3kr9, czmpp6e2oo276u9prac16le51, c4ptt043q3lm4npuwpyviprdh",2257031925,130,19,2257031927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",2257031929,194,1dbhha29epjmo8g4xfm5taaj9,2257031921,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5",2257031937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2257031931,197,723,2257031923,59,"1, 17, 23, 5, 6, 22, 8, 13, 14, 11, 7, 3, 10, 16, 18, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239553,2,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2019-12-02T15:16:18.790Z,2019-12-02T15:16:18Z,2257034653,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239557,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-12-02T15:16:18.790Z,2019-12-02T15:16:19Z,2257034667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239577,3,1,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,50,50,2019-12-02T15:16:19.697Z,2019-12-02T15:16:21Z,2257034769,212,13.9,2257034775,279,S,2257034765,213,3.0,2257034757,140,37.0,2257034761,141,53.7,2257034755,56,Back,,,,,,,9jitxfwaeix5fn1n3dhartbhm,E. Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239607,4,1,1,0,2,9m7z1upwp3svfn611ejq7d36v,1,33.3,58.5,2019-12-02T15:16:21.672Z,2019-12-02T15:16:24Z,2257034917,140,34.9,2257034915,56,Back,2257034923,212,23.5,2257034921,213,1.5,2257034919,141,92.9,,,,,,,,,,8471w6ay5ndzkgy2g5ii26n6d,O. Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239629,5,1,1,0,5,9m7z1upwp3svfn611ejq7d36v,1,42.9,88.7,2019-12-02T15:16:24.384Z,2019-12-02T15:16:26Z,2257035029,141,96.8,2257035025,56,Left,2257035033,212,15.9,2257035031,213,0.4,2257035027,140,57.1,,,,,,,,,,67nk9m4tqqwodh4mmdko5x90p,F. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239651,6,1,1,0,7,9m7z1upwp3svfn611ejq7d36v,1,59.4,94.1,2019-12-02T15:16:26.672Z,2019-12-02T15:16:28Z,2257035123,140,64.6,2257035121,56,Left,2257035129,212,9.9,2257035127,213,5.3,2257035125,141,82.0,,,,,,,,,,3rh7yurfuhun7zvoymgjb7g7p,C. Wellings,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239673,7,1,1,0,9,9m7z1upwp3svfn611ejq7d36v,0,65.1,88.1,2019-12-02T15:16:28.448Z,2019-12-02T15:16:30Z,2257035251,213,1.2,2257035245,56,Left,2257035247,140,69.0,2257035253,212,10.1,2257035249,141,100.0,,,,,,,,,,9jitxfwaeix5fn1n3dhartbhm,E. Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169239665,3,5,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,29.3,-1.8,2019-12-02T15:16:29.818Z,2019-12-02T15:16:31Z,2257035279,233,8,2257035213,347,,2257035211,56,Back,,,,,,,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,
