id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value
2154233533,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2019-09-30T09:35:11.993Z,2019-09-30T09:36:47Z,2181615191,59,"1, 12, 3, 19, 5, 20, 7, 17, 15, 4, 16, 8, 9, 11, 13, 14, 21, 27",2181615189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",2181615199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2181615195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2181615193,130,5,2181615197,194,1bxa1c4eopzwml9zia9gjnd1x,2181615187,30,"czz8zqjv03gdbbxiadp90pq6t, djh9uya9vanxsyfgpt1rc4yqx, 8ojm3gdn5n6t8vw7by016uvh1, 7ucl8ew0on0yzcj6prwmnev9x, aau5rsq7q1752co1k5awet3h1, an1ovi7c16xed4jqub6oxgclx, 7m31qpkmuh3amb6navttdlvpx, 7julfat1nytmjyt6ylz8xkh5h, a1654m0k2rptsqkxj96s955n9, 1bxa1c4eopzwml9zia9gjnd1x, aope7yfid6ez33sha2ip7t04p, 6cjoh22tb54qmsiqau1uxpc2y, 7djdok1lsff59fqiac317rc2x, 7um4xb0p8zr4o11lsyd9n0hqt, 1gypetmxap01gask7b5bznk5x, 9jq5k7h3itkm7dnb8qw9vqvh1, 9t8eb24gwj56ucggp7x0n0ewa, akldj20vfqfopuvurujsgtsd1",,,,,,,,,,,,,,,,,,,,,,,,,
2154233537,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-09-30T09:35:12.335Z,2019-09-30T09:39:32Z,2181615205,30,"czmpp6e2oo276u9prac16le51, c4ptt043q3lm4npuwpyviprdh, 6679bfd6bjylogbe4ebese85x, 6zaowm8oua2nzpobekogff1lh, 8z3ceakcqfvv039p2fbm4rvmd, d9zt8e8lnk9a22we6o6wqyndh, 1dbhha29epjmo8g4xfm5taaj9, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 19npqca9guxs7p2yl5sbjmbx1, 28yvc8jmyyfavb0hetafjdadx, dib5a7vebmtxqcksi1tuteklx, 16gnoas9x34hm887omkmeee39, e8ivbfq0irn8f2p8krhkikzx1, 23kah59nbx1m7ro3imaaevoph, 3sn815dsm0i0rnw9nigjyb0et",2181615213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",2181615209,59,"18, 20, 15, 6, 22, 5, 8, 10, 11, 17, 7, 1, 3, 13, 14, 23",2181615207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",2181615211,130,4,2181615219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2181615215,194,5m2ilglr6tlmgs2d4qzk5wno5,2181615217,197,723,,,,,,,,,,,,,,,,,,,,,,
2154233665,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-09-30T09:35:57.567Z,2019-09-30T09:35:57Z,2181615915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154233667,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2019-09-30T09:35:57.567Z,2019-09-30T09:35:57Z,2181615917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154233673,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.9,50.1,2019-09-30T09:35:58.348Z,2019-09-30T09:35:59Z,2181615975,141,46.3,2181615973,140,48.3,2181615971,56,Back,2181615977,213,4.1,2181615981,279,S,2181615983,278,,2181615979,212,3.1,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,
2154233681,4,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,48,46.6,2019-09-30T09:35:59.387Z,2019-09-30T09:38:56Z,2181615997,213,2.8,2181615991,56,Back,2181615995,141,51.9,2181615999,212,11.9,2181615993,140,37.2,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,
2154233695,5,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,36.5,52.2,2019-09-30T09:36:01.467Z,2019-09-30T09:39:00Z,2181616063,141,34.5,2181616065,213,4.3,2181616067,212,13.0,2181616061,140,31.7,2181616059,56,Back,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,
2154233697,6,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,32,36.6,2019-09-30T09:36:04.123Z,2019-09-30T09:39:04Z,2181616075,141,59.9,2181616077,213,1.7,2181616079,212,16.0,2181616073,140,29.9,2181616071,56,Back,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,
2154233699,7,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,30.6,64,2019-09-30T09:36:06.699Z,2019-09-30T09:39:07Z,2181616083,56,Back,2181616089,213,1.3,2181616091,212,17.7,2181616087,141,89.1,2181616085,140,35.2,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,
2154233703,8,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,33.6,90,2019-09-30T09:36:08.987Z,2019-09-30T09:39:09Z,2181616115,213,4.0,2181616109,56,Back,2181616117,212,15.1,2181616111,140,24.6,2181616113,141,72.6,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,
2154233709,9,1,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,23.6,72.4,2019-09-30T09:36:11.435Z,2019-09-30T09:39:11Z,2181616143,141,47.8,2181616147,212,19.2,2181616141,140,14.6,2181616139,56,Back,2181616145,213,4.2,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,
2154233715,10,1,1,0,16,5rurqie3qt1qav9ir5mkqinn,1,15.7,46.4,2019-09-30T09:36:14.523Z,2019-09-30T09:39:12Z,2181616177,141,23.3,2181616179,213,5.2,2181616173,56,Back,2181616181,212,17.4,2181616175,140,22.9,,,,,,,,,,czmpp6e2oo276u9prac16le51,P. Peyraud-Magnin,,,,,,,,,,,,,,,,,,,,
2154233727,11,1,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,32.9,33.7,2019-09-30T09:36:17.899Z,2019-09-30T09:39:14Z,2181616241,212,17.2,2181616237,141,59.0,2181616239,213,1.5,2181616233,56,Back,2181616235,140,33.9,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,
2154233739,12,1,1,0,23,5rurqie3qt1qav9ir5mkqinn,1,33.8,59,2019-09-30T09:36:20.715Z,2019-09-30T09:39:16Z,2181616297,140,44.0,2181616303,212,30.1,2181616301,213,5.1,2181616295,56,Back,2181616299,141,17.6,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,
2154233753,13,1,1,0,26,5rurqie3qt1qav9ir5mkqinn,1,45.6,16.7,2019-09-30T09:36:24.075Z,2019-09-30T09:39:17Z,2181616361,212,11.2,2181616353,56,Right,2181616359,213,5.4,2181616357,141,4.4,2181616355,140,52.7,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,
2154233765,14,1,1,0,29,5rurqie3qt1qav9ir5mkqinn,1,47.4,6.4,2019-09-30T09:36:27.132Z,2019-09-30T09:39:19Z,2181616427,56,Back,2181616435,212,8.5,2181616433,213,2.7,2181616429,140,40.0,2181616431,141,11.3,,,,,,,,,,c4ptt043q3lm4npuwpyviprdh,L. Maier,,,,,,,,,,,,,,,,,,,,
2154233781,15,1,1,0,32,5rurqie3qt1qav9ir5mkqinn,1,38.4,19.1,2019-09-30T09:36:30.523Z,2019-09-30T09:36:34Z,2181616493,56,Back,2181616495,140,23.9,2181616501,212,21.2,2181616499,213,2.4,2181616497,141,40.9,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,
2154233793,16,1,1,0,36,5rurqie3qt1qav9ir5mkqinn,1,25.4,46.4,2019-09-30T09:36:34.475Z,2019-09-30T09:36:59Z,2181616561,212,12.4,2181616559,213,1.1,2181616557,141,62.6,2181616553,56,Back,2181616555,140,30.8,,,,,,,,,,czmpp6e2oo276u9prac16le51,P. Peyraud-Magnin,,,,,,,,,,,,,,,,,,,,
2154233815,17,1,1,0,40,5rurqie3qt1qav9ir5mkqinn,0,30.6,56,2019-09-30T09:36:38.331Z,2019-09-30T09:36:42Z,2181616669,155,,2181616681,212,73.4,2181616675,141,0.0,2181616671,56,Right,2181616673,140,89.7,2181616679,213,5.7,2181616677,1,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,
2154233857,3,5,1,0,44,dcdnoyf6kzhj46iyfm7xq43fy,1,7.7,101.8,2019-09-30T09:36:42.225Z,2019-09-30T10:09:12Z,2181645921,233,18,2181616873,56,Back,2181616875,347,,,,,,,,,,,,,,,,,an1ovi7c16xed4jqub6oxgclx,V. Williams,,,,,,,,,,,,,,,,,,,,
2154233819,18,5,1,0,44,5rurqie3qt1qav9ir5mkqinn,0,92.3,-1.8,2019-09-30T09:36:42.225Z,2019-09-30T10:09:12Z,2181616687,347,,2181616685,56,Right,2181645923,233,3,,,,,,,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,
2154233871,4,1,1,1,7,dcdnoyf6kzhj46iyfm7xq43fy,1,7.6,100,2019-09-30T09:37:05.214Z,2019-09-30T09:37:07Z,2181616949,212,19.5,2181616945,141,97.4,2181616947,213,6.1,2181616941,56,Back,2181616939,107,,2181616943,140,25.9,,,,,,,8ojm3gdn5n6t8vw7by016uvh1,F. Gibbons,,,,,,,,,,,,,,,,,,,,
2154233873,5,1,1,1,10,dcdnoyf6kzhj46iyfm7xq43fy,0,25.9,97.4,2019-09-30T09:37:07.791Z,2019-09-30T09:37:08Z,2181616965,213,6.0,2181616957,168,,2181616961,140,31.4,2181616955,3,,2181616967,212,6.1,2181616959,56,Back,2181616963,141,94.5,,,,aope7yfid6ez33sha2ip7t04p,E. Brazil,,,,,,,,,,,,,,,,,,,,
2154233877,19,1,1,1,10,5rurqie3qt1qav9ir5mkqinn,1,72.7,7.4,2019-09-30T09:37:08.106Z,2019-09-30T09:37:09Z,2181616987,141,19.1,2181616985,140,69.9,2181616991,212,8.5,2181616989,213,1.9,2181616983,56,Right,2181616981,3,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,
2154233879,20,49,1,1,11,5rurqie3qt1qav9ir5mkqinn,1,69.9,19.1,2019-09-30T09:37:09.419Z,2019-09-30T09:37:09Z,,,,,,,,,,,,,,,,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,
2154233887,21,1,1,1,12,5rurqie3qt1qav9ir5mkqinn,0,69.9,19.1,2019-09-30T09:37:09.898Z,2019-09-30T09:37:12Z,2181617025,141,41.6,2181617029,212,17.2,2181617027,213,1.1,2181617019,155,,2181617023,140,77.3,2181617021,56,Center,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,
2154233889,6,49,1,1,15,dcdnoyf6kzhj46iyfm7xq43fy,1,24.1,57.5,2019-09-30T09:37:13.566Z,2019-09-30T09:37:13Z,,,,,,,,,,,,,,,,,,,,,,,,,aau5rsq7q1752co1k5awet3h1,F. Whelan,,,,,,,,,,,,,,,,,,,,
2154233897,7,1,1,1,16,dcdnoyf6kzhj46iyfm7xq43fy,1,24.1,57.5,2019-09-30T09:37:13.758Z,2019-09-30T09:37:15Z,2181617063,212,21.8,2181617057,140,27.5,2181617055,56,Back,2181617061,213,4.9,2181617059,141,25.9,,,,,,,,,,aau5rsq7q1752co1k5awet3h1,F. Whelan,,,,,,,,,,,,,,,,,,,,
2154233909,8,1,1,1,18,dcdnoyf6kzhj46iyfm7xq43fy,1,27.5,25.9,2019-09-30T09:37:15.758Z,2019-09-30T09:37:18Z,2181617119,212,14.7,2181617113,140,33.2,2181617115,141,6.2,2181617117,213,5.1,2181617111,56,Back,,,,,,,,,,djh9uya9vanxsyfgpt1rc4yqx,M. Lundorf,,,,,,,,,,,,,,,,,,,,
2154233913,9,43,1,1,20,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2019-09-30T09:37:18.174Z,2019-09-30T09:37:26Z,2181617131,285,0,2181617327,144,50,2181617129,56,Back,,,,,,,,,,,,,,,,7m31qpkmuh3amb6navttdlvpx,A. Whelan,,,,,,,,,,,,,,,,,,,,
2154233921,10,43,1,1,21,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2019-09-30T09:37:19.401Z,2019-09-30T09:37:28Z,2181617357,144,61,2181617157,56,Back,,,,,,,,,,,,,,,,,,,7m31qpkmuh3amb6navttdlvpx,A. Whelan,,,,,,,,,,,,,,,,,,,,
2154233931,22,45,1,1,23,5rurqie3qt1qav9ir5mkqinn,0,62.6,95.8,2019-09-30T09:37:21.312Z,2019-09-30T10:09:32Z,2181617213,285,,2181617211,56,Left,2181617237,233,11,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,
2154233935,11,3,1,1,23,dcdnoyf6kzhj46iyfm7xq43fy,1,37.4,4.2,2019-09-30T09:37:21.322Z,2019-09-30T09:37:22Z,2181617235,233,22,2181617219,286,,2181617217,56,Back,,,,,,,,,,,,,,,,7m31qpkmuh3amb6navttdlvpx,A. Whelan,,,,,,,,,,,,,,,,,,,,
2154233941,12,1,1,1,24,dcdnoyf6kzhj46iyfm7xq43fy,0,39.1,4.3,2019-09-30T09:37:21.694Z,2019-09-30T09:37:22Z,2181617257,1,,2181617255,141,13.4,2181617261,212,34.4,2181617251,56,Right,2181617253,140,71.3,2181617259,213,0.2,,,,,,,7m31qpkmuh3amb6navttdlvpx,A. Whelan,,,,,,,,,,,,,,,,,,,,
