id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId
2157492227,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-10-14T09:25:56.860Z,2019-10-14T09:57:11Z,2198161175,194,5m2ilglr6tlmgs2d4qzk5wno5,2198161165,30,"dib5a7vebmtxqcksi1tuteklx, 19npqca9guxs7p2yl5sbjmbx1, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, 28yvc8jmyyfavb0hetafjdadx, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, 23kah59nbx1m7ro3imaaevoph, 3sn815dsm0i0rnw9nigjyb0et, 8kmne7pn10uwqe6g1kc4w69cl, 16gnoas9x34hm887omkmeee39, 1dbhha29epjmo8g4xfm5taaj9, czmpp6e2oo276u9prac16le51, 1bgf6fem5s6mvhmi3tyb4x756, 3539ai0d63d8hiq0e1nrptb3e",2198161177,197,723,2198161167,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",2198161171,130,8,2198161169,59,"1, 17, 15, 13, 6, 5, 7, 10, 11, 14, 23, 2, 3, 8, 18, 26, 27",2198161179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2198161173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2157492231,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2019-10-14T09:26:00.536Z,2019-10-14T09:35:31Z,2198161199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2198161191,130,2,2198161187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",2198161197,197,735,2198161185,30,"6fi5hacjc8lj8zej0d2lfq66t, daqovjw2z3rsq6rs1vq38980l, tjj9bi5fxsbn2xtdprqsaswl, amox5xqwe8gybft16wa7qbufp, anghujtc4achyb9mflowgg9n9, eincxi6xa1nrhr9qldtxboyqd, cij18xj0bx2zyx3mi9xwykn9x, 7im1atd7ziav111a9o6mh9gid, ctzcuzproy4kwpa5wweruw3px, 8m3okb64mh1m7dfmp0km4wct1, 1cfhmihovl78l8osqbo1w9nth, 589yqifloa5j7qwp2gnemyml1, aobk77cx9hxx5dkc1urqjwg5x, 9ohn9m84cy89huz745lirkted, 4lshrw6i3uk9kx4kiutn06iuh, c7yhj2xdx8l773wfswykl9hat, drwlmmiguqz2mfzsh6gjmklx, apnae1pkhwjx0hwhg6x0rwst1",2198161195,194,eincxi6xa1nrhr9qldtxboyqd,2198161193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2198161189,59,"30, 18, 20, 5, 4, 16, 22, 10, 9, 14, 11, 2, 6, 7, 21, 23, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,
2157492335,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2019-10-14T09:27:11.433Z,2019-10-14T09:27:11Z,2198161705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157492337,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2019-10-14T09:27:11.433Z,2019-10-14T09:27:11Z,2198161707,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157492343,3,1,1,0,2,spi3g782q7m4evjxn1sv6cfa,1,50,50,2019-10-14T09:27:13.630Z,2019-10-14T09:27:15Z,2198161733,141,62.4,2198161739,279,S,2198161731,140,29.4,2198161735,213,2.8,2198161737,212,23.2,2198161729,56,Back,,,,,,,8m3okb64mh1m7dfmp0km4wct1,F. Kirby,,,,,,,,,,,,,,,,,,,,,,,,
2157492351,4,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,1,30,66.7,2019-10-14T09:27:15.631Z,2019-10-14T09:27:20Z,2198161779,141,93.5,2198161777,140,65.8,2198161783,213,0.5,2198161773,157,,2198161781,1,,2198161785,212,41.8,2198161775,56,Left,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,
2157492363,5,1,1,0,8,spi3g782q7m4evjxn1sv6cfa,1,65.8,93.5,2019-10-14T09:27:19.951Z,2019-10-14T09:27:24Z,2198161845,213,0.1,2198161837,3,,2198161841,140,77.4,2198161843,141,95.4,2198161839,56,Left,2198161847,212,12.2,,,,,,,1cfhmihovl78l8osqbo1w9nth,G. Reiten,,,,,,,,,,,,,,,,,,,,,,,,
2157492367,6,50,1,0,12,spi3g782q7m4evjxn1sv6cfa,1,83.4,97.4,2019-10-14T09:27:24.335Z,2019-10-14T09:27:26Z,2198161883,233,3,2198161857,286,,2198161855,56,Left,,,,,,,,,,,,,,,,ctzcuzproy4kwpa5wweruw3px,B. England,,,,,,,,,,,,,,,,,,,,,,,,
2157492373,3,7,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,16.6,2.6,2019-10-14T09:27:24.345Z,2019-10-14T09:27:26Z,2198161877,233,6,2198161869,56,Back,2198161867,167,,2198161871,285,,,,,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,
2157492375,4,5,1,0,13,5rurqie3qt1qav9ir5mkqinn,0,16.4,-1.8,2019-10-14T09:27:24.879Z,2019-10-14T09:33:57Z,2198161887,233,7,2198161873,56,Back,2198161875,347,,,,,,,,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,
2157492377,7,5,1,0,13,spi3g782q7m4evjxn1sv6cfa,1,83.6,101.8,2019-10-14T09:27:24.879Z,2019-10-14T09:27:27Z,2198161885,233,4,2198161881,347,,2198161879,56,Left,,,,,,,,,,,,,,,,ctzcuzproy4kwpa5wweruw3px,B. England,,,,,,,,,,,,,,,,,,,,,,,,
2157492381,8,1,1,0,15,spi3g782q7m4evjxn1sv6cfa,1,82.3,100,2019-10-14T09:27:26.447Z,2019-10-14T09:27:30Z,2198161905,140,92.4,2198161913,212,19.6,2198161907,141,77.8,2198161909,213,5.3,2198161903,56,Center,2198161901,107,,,,,,,,ctzcuzproy4kwpa5wweruw3px,B. England,,,,,,,,,,,,,,,,,,,,,,,,
2157492385,9,1,1,0,18,spi3g782q7m4evjxn1sv6cfa,0,98.5,70.8,2019-10-14T09:27:30.159Z,2019-10-14T09:27:31Z,2198161935,212,16.1,2198161929,140,89.5,2198161931,141,51.6,2198161933,213,4.1,2198161927,56,Center,,,,,,,,,,8m3okb64mh1m7dfmp0km4wct1,F. Kirby,,,,,,,,,,,,,,,,,,,,,,,,
2157492391,6,61,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,14.5,48.8,2019-10-14T09:27:31.433Z,2019-10-14T09:29:09Z,2198161949,56,Back,,,,,,,,,,,,,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,
2157492393,7,61,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,19.8,43.3,2019-10-14T09:27:32.433Z,2019-10-14T09:29:10Z,2198161961,56,Back,,,,,,,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,
2157492389,5,49,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,14.5,48.8,2019-10-14T09:27:32.508Z,2019-10-14T09:27:32Z,,,,,,,,,,,,,,,,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,
2157492395,8,1,1,0,22,5rurqie3qt1qav9ir5mkqinn,0,17.6,46.1,2019-10-14T09:27:34.419Z,2019-10-14T09:27:38Z,2198161981,212,3.2,2198161979,213,5.6,2198161977,141,43.3,2198161973,56,Back,2198161975,140,20.0,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,
2157492557,25,61,1,0,23,5rurqie3qt1qav9ir5mkqinn,0,21.1,38.9,2019-10-14T09:27:34.433Z,2019-10-14T09:29:01Z,2198162757,56,Back,,,,,,,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,
2157492399,10,1,1,0,24,spi3g782q7m4evjxn1sv6cfa,1,80.5,52.4,2019-10-14T09:27:36.394Z,2019-10-14T09:28:04Z,2198162181,212,17.7,2198162175,140,69.2,2198162179,213,2.3,2198162177,141,71.7,2198161997,56,Center,,,,,,,,,,cij18xj0bx2zyx3mi9xwykn9x,E. Cuthbert,,,,,,,,,,,,,,,,,,,,,,,,
2157492401,11,49,1,0,26,spi3g782q7m4evjxn1sv6cfa,1,68.1,81.5,2019-10-14T09:27:37.758Z,2019-10-14T09:27:37Z,,,,,,,,,,,,,,,,,,,,,,,,,tjj9bi5fxsbn2xtdprqsaswl,J. Andersson,,,,,,,,,,,,,,,,,,,,,,,,
2157492413,12,1,1,0,27,spi3g782q7m4evjxn1sv6cfa,1,65,89,2019-10-14T09:27:38.575Z,2019-10-14T09:27:41Z,2198162041,140,53.1,2198162043,141,97.2,2198162039,56,Left,2198162047,212,13.7,2198162045,213,2.7,,,,,,,,,,tjj9bi5fxsbn2xtdprqsaswl,J. Andersson,,,,,,,,,,,,,,,,,,,,,,,,
2157492417,13,1,1,0,30,spi3g782q7m4evjxn1sv6cfa,0,53.1,97.2,2019-10-14T09:27:41.471Z,2019-10-14T09:27:43Z,2198162059,1,,2198162053,56,Left,2198162051,155,,2198162063,212,51.4,2198162061,213,6.2,2198162055,140,100.0,2198162057,141,87.2,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,
2157492425,9,5,1,0,32,5rurqie3qt1qav9ir5mkqinn,1,-1,19,2019-10-14T09:27:43.594Z,2019-10-14T09:33:57Z,2198162089,233,14,2198162085,56,Back,2198162087,346,,,,,,,,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,
2157492419,14,5,1,0,32,spi3g782q7m4evjxn1sv6cfa,0,101,81,2019-10-14T09:27:43.594Z,2019-10-14T09:27:46Z,2198162065,56,Left,2198162091,233,9,2198162067,346,,,,,,,,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,
2157492449,10,1,1,0,51,5rurqie3qt1qav9ir5mkqinn,1,4.9,47.2,2019-10-14T09:28:03.068Z,2019-10-14T09:28:05Z,2198162189,140,10.4,2198162191,141,66.1,2198162185,124,,2198162195,212,14.1,2198162187,56,Back,2198162193,213,1.1,2198162199,237,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,
