id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2791140687,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-03-23T13:46:26.222Z,2025-03-23T14:34:39Z,5597134709,59,"35, 18, 3, 25, 28, 4, 16, 10, 14, 6, 7, 12, 40, 15, 8, 13, 30, 46, 53",5597134719,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5597134713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5597134717,197,1154,5597134707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5597134711,130,4,5597134715,194,470uu9issmbdfyhxjq75gdbs9,5597134705,30,"bkjq8yp0rffvauz0nz94flfu2, 8hq106ex872xezlr1j901kpux, 4iweh8975rkssez3r9vlk1wfe, 7op9czmiln7ktmvetw97scz4l, 1hoivq7vrd8hx0e5gk4tuyxyi, 470uu9issmbdfyhxjq75gdbs9, bmw6mvkeropjorm2rxzw2fzai, 23kah59nbx1m7ro3imaaevoph, 1bw2kkdm9fcqpl2brljc0g8vd, wupxscyf4x7rsjidpmp0wnv9, 7gmh6g5c39asg7gnthx1jxp79, 2ed87s29sld107jhmvmsdg7bo, 6r271sec7c84p1vqi2b1p5td5, eb0h79vh5dwggjx7shj0ovetx, brflebs8m00rgali2owyoyove, 8lfnj5bvo97dimx52no42nmqd, ekiwe5yf61qrcnlbk3fo68222, 22blwbf4rlay0jfdecsxvu1hw, 64bhyq7li8xssicmjrgy46n10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791141065,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2025-03-23T13:52:00.302Z,2025-03-23T14:34:36Z,5597136821,30,"6bejfvxorcqyawi2fmk2kbco9, ehmzgi988h8g6rgekp3qivkr9, c0my4y3kjf7jbbfujj5l8e8yx, eihksc6tdooqw7ref4nt520a, 1dg7whnmk3nb1adw7n8a7nnbp, anghujtc4achyb9mflowgg9n9, 2m6wew2746q1xsoio3703t8t1, 7b1wnybwn288obuc03bea8962, 69nz7p1izpw4i8tle2c8hls2y, 7np6c6939ms55m37juqvw0oa, 9n2d2dv38kp2exb7z3xh2ykiy, 4vgx21i9mmnoud5h6px197f11, 3c80px00lrpe84s9yurszqcid, dm9vc2mqtbb982sx6kkd992ax, 8h7r4d4z2gjne58xwu3koiok5, cij18xj0bx2zyx3mi9xwykn9x, 5ibsbj2zqv62c94k5wijnayy2, agdmqurwrf5k6izewj4voxcdl, drui01747q8utggzizrs6n2i2, 27oce8op8b7a6fmyp8utoz5gq",5597136835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5597136827,130,7,5597136825,59,"24, 12, 21, 27, 22, 4, 19, 23, 33, 18, 10, 38, 14, 17, 30, 8, 9, 6, 2, 7",5597136831,194,anghujtc4achyb9mflowgg9n9,5597136823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5597136829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5597136833,197,25070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145069,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2025-03-23T14:30:38.484Z,2025-03-23T14:30:40Z,5597157805,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145065,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-03-23T14:30:38.484Z,2025-03-23T17:08:27Z,5597157793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145071,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,50,50,2025-03-23T14:30:38.590Z,2025-03-23T14:30:43Z,5597157811,56,Back,5597157817,212,10.9,5597157815,141,51.3,5597157813,140,39.7,5597157819,213,3.06,5597157821,279,S,,,,,,,69nz7p1izpw4i8tle2c8hls2y,A. Beever-Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145073,4,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,1,39.4,52.2,2025-03-23T14:30:43.088Z,2025-03-23T14:30:45Z,5597157831,212,10.9,5597157825,56,Back,5597157827,140,39.5,5597157833,213,1.56,5597157829,141,68.2,,,,,,,,,,eihksc6tdooqw7ref4nt520a,O. Jean-François,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145079,5,1,1,0,6,spi3g782q7m4evjxn1sv6cfa,0,45.8,66,2025-03-23T14:30:45.440Z,2025-03-23T14:30:50Z,5597157873,56,Right,5597157879,212,62.5,5597157883,1,,5597157871,157,,5597157877,141,0.0,5597157881,213,5.45,5597157875,140,86.0,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145085,3,5,1,0,11,36tr17foeaf9ejjmt2txuoy3y,1,14,101.8,2025-03-23T14:30:50.002Z,2025-03-23T14:43:25Z,5597157899,347,,5597157913,233,6,5597157897,56,Back,,,,,,,,,,,,,,,,4iweh8975rkssez3r9vlk1wfe,N. Layzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145081,6,5,1,0,11,spi3g782q7m4evjxn1sv6cfa,0,86,-1.8,2025-03-23T14:30:50.002Z,2025-03-23T14:30:52Z,5597157887,56,Right,5597157889,347,,5597157919,233,3,,,,,,,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791145159,4,1,1,0,30,36tr17foeaf9ejjmt2txuoy3y,1,12.9,100,2025-03-23T14:31:09.168Z,2025-03-23T14:31:12Z,5597158265,56,Back,5597158279,213,6.08,5597158273,141,97.7,5597158261,107,,5597158277,212,11.9,5597158269,140,24.0,,,,,,,4iweh8975rkssez3r9vlk1wfe,N. Layzell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
