id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2784338749,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2025-03-05T18:15:55.837Z,2025-03-05T19:05:09Z,5559849161,30,"dxojafbkfxjskl0ek4nucrnpx, f1xb9y38jfjmrhgv22svv9sa2, 560192sxsuoxdpwpe27ibst05, 30pcgn07mnn0sk4jp0t7bx9ed, cs3pg64kurip4uftscemh01k9, 6d8zrjdl4ii8cjpn5vo7emz11, bnzgfrgoiwlw6boq7e7ngi162, e3n8fh86gv7xkw2zi6jlqelzp, 4kddxgnkpjzwkucvert2bhzsa, 81w3pjqsk98f0l09d9ianrbah, a5ew0j9hz4ounrjkeco7g6iuh, czz8zqjv03gdbbxiadp90pq6t, dfodeak21qhzgxr7qs85f3vf9, 8t1kb3jiu25l2ztaooa294e09, 9ov9x5gap2t34kv8clhwjqvh1, 628hrbjq5whml5fixspdqvd62, cannlc91eqjjy24i7keyvyaui, q3xvi1pbz5hmr6zw6np6v4yd, 7oxif0j9hg9lpvrmqj8ocdnmd, e7127p8bj7v1b9ytzhsv7u7tg",5559849175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559849173,197,5223,5559849165,59,"1, 18, 29, 14, 5, 13, 4, 22, 19, 77, 9, 25, 2, 7, 10, 11, 12, 17, 26, 35",5559849171,194,e3n8fh86gv7xkw2zi6jlqelzp,5559849169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559849163,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5559849167,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784338835,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-03-05T18:16:11.148Z,2025-03-05T19:42:48Z,5559849653,30,"1vejfm6fcp0xeyk30r6hv79wp, 8lfnj5bvo97dimx52no42nmqd, 8hq106ex872xezlr1j901kpux, 7op9czmiln7ktmvetw97scz4l, 1hoivq7vrd8hx0e5gk4tuyxyi, 470uu9issmbdfyhxjq75gdbs9, 1bw2kkdm9fcqpl2brljc0g8vd, bmw6mvkeropjorm2rxzw2fzai, brflebs8m00rgali2owyoyove, 23kah59nbx1m7ro3imaaevoph, 22blwbf4rlay0jfdecsxvu1hw, 2ed87s29sld107jhmvmsdg7bo, bkjq8yp0rffvauz0nz94flfu2, 4iweh8975rkssez3r9vlk1wfe, wupxscyf4x7rsjidpmp0wnv9, 7gmh6g5c39asg7gnthx1jxp79, eb0h79vh5dwggjx7shj0ovetx, cm84oje8txj7m34zuhhv68ct1, ekiwe5yf61qrcnlbk3fo68222, 64bhyq7li8xssicmjrgy46n10",5559849657,59,"31, 13, 18, 25, 28, 4, 14, 16, 8, 10, 46, 12, 35, 3, 6, 7, 15, 21, 30, 53",5559849655,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5559849659,130,7,5559849661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559849663,194,470uu9issmbdfyhxjq75gdbs9,5559849667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5559849665,197,25082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350769,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-03-05T19:00:25.647Z,2025-03-05T19:00:25Z,5559918299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350775,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2025-03-05T19:00:25.647Z,2025-03-05T19:00:28Z,5559918313,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350779,3,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,50,50,2025-03-05T19:00:25.906Z,2025-03-05T19:00:30Z,5559918345,279,S,5559918343,213,3.12,5559918341,212,23.5,5559918337,140,27.6,5559918335,56,Back,5559918339,141,50.7,,,,,,,4kddxgnkpjzwkucvert2bhzsa,S. Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350793,4,1,1,0,4,cz26xwowfjp8ei14n9z2ac135,0,27.6,50.7,2025-03-05T19:00:29.912Z,2025-03-05T19:00:30Z,5559918415,56,Center,5559918419,141,32.8,5559918413,157,,5559918417,140,66.6,5559918421,212,42.7,5559918423,213,5.99,5559918425,1,,,,,6d8zrjdl4ii8cjpn5vo7emz11,E. Nyström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350801,3,12,1,0,5,36tr17foeaf9ejjmt2txuoy3y,1,20.9,73.5,2025-03-05T19:00:31.403Z,2025-03-05T19:00:35Z,5559918485,15,,5559918465,140,34.1,5559918471,213,0.75,5559918469,212,18.9,5559918463,56,Back,5559918467,141,92.3,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350827,5,49,1,0,9,36tr17foeaf9ejjmt2txuoy3y,1,36,94.5,2025-03-05T19:00:34.816Z,2025-03-05T19:00:46Z,,,,,,,,,,,,,,,,,,,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350823,4,1,1,0,10,36tr17foeaf9ejjmt2txuoy3y,0,38.9,94.6,2025-03-05T19:00:35.712Z,2025-03-05T19:57:32Z,5559918615,56,Back,5559918619,141,83.2,5559918621,212,7.9,5559918617,140,40.2,5559918623,213,4.89,,,,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350829,5,1,1,0,10,cz26xwowfjp8ei14n9z2ac135,1,60.3,16.1,2025-03-05T19:00:36.079Z,2025-03-05T19:00:36Z,5559918639,56,Right,5559918641,140,56.8,5559918647,213,3.68,5559918643,141,12.9,5559918645,212,4.3,,,,,,,,,,bnzgfrgoiwlw6boq7e7ngi162,O. Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350843,6,1,1,0,11,cz26xwowfjp8ei14n9z2ac135,1,56.8,12.9,2025-03-05T19:00:36.808Z,2025-03-05T19:00:38Z,5559918723,213,1.62,5559918715,56,Right,5559918719,141,18.9,5559918717,140,56.6,5559918721,212,4.1,,,,,,,,,,6d8zrjdl4ii8cjpn5vo7emz11,E. Nyström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350849,7,3,1,0,13,cz26xwowfjp8ei14n9z2ac135,0,56.7,24.8,2025-03-05T19:00:38.713Z,2025-03-05T19:00:45Z,5559918751,56,Center,5559918753,286,,5559918875,233,6,,,,,,,,,,,,,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350863,6,7,1,0,13,36tr17foeaf9ejjmt2txuoy3y,0,43.3,75.2,2025-03-05T19:00:38.714Z,2025-03-05T19:00:45Z,5559918829,285,,5559918827,56,Back,5559918845,233,7,,,,,,,,,,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350873,8,49,1,0,16,cz26xwowfjp8ei14n9z2ac135,1,46.4,35.1,2025-03-05T19:00:41.991Z,2025-03-05T19:00:42Z,,,,,,,,,,,,,,,,,,,,,,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350877,9,1,1,0,16,cz26xwowfjp8ei14n9z2ac135,1,46.4,35.1,2025-03-05T19:00:42.111Z,2025-03-05T19:00:43Z,5559918891,56,Back,5559918899,213,2.42,5559918895,141,48.2,5559918897,212,13.5,5559918893,140,36.8,,,,,,,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350885,10,1,1,0,17,cz26xwowfjp8ei14n9z2ac135,1,36.8,48.2,2025-03-05T19:00:42.985Z,2025-03-05T19:00:45Z,5559918931,141,35.1,5559918927,56,Back,5559918935,213,4.18,5559918929,140,31.8,5559918933,212,10.3,,,,,,,,,,30pcgn07mnn0sk4jp0t7bx9ed,S. Zadorsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350893,11,1,1,0,20,cz26xwowfjp8ei14n9z2ac135,1,32.4,38.3,2025-03-05T19:00:45.783Z,2025-03-05T19:00:46Z,5559918971,56,Back,5559918975,140,37.3,5559918979,212,5.1,5559918981,213,6.27,5559918977,141,38.2,,,,,,,,,,f1xb9y38jfjmrhgv22svv9sa2,A. Denton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350935,12,1,1,0,21,cz26xwowfjp8ei14n9z2ac135,1,37.3,38.2,2025-03-05T19:00:46.727Z,2025-03-05T19:00:51Z,5559919161,141,14.7,5559919157,56,Back,5559919159,140,33.4,5559919163,212,16.5,5559919165,213,4.46,,,,,,,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350943,13,1,1,0,25,cz26xwowfjp8ei14n9z2ac135,1,36.1,14.3,2025-03-05T19:00:51.631Z,2025-03-05T19:00:52Z,5559919219,213,6.15,5559919215,141,10.4,5559919217,212,19.3,5559919213,140,54.3,5559919211,56,Right,,,,,,,,,,6d8zrjdl4ii8cjpn5vo7emz11,E. Nyström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350947,14,1,1,0,26,cz26xwowfjp8ei14n9z2ac135,1,54.3,10.4,2025-03-05T19:00:52.599Z,2025-03-05T19:00:54Z,5559919231,56,Right,5559919235,141,18.6,5559919239,213,1.13,5559919233,140,56.8,5559919237,212,6.2,,,,,,,,,,f1xb9y38jfjmrhgv22svv9sa2,A. Denton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350949,15,1,1,0,28,cz26xwowfjp8ei14n9z2ac135,0,56.8,18.6,2025-03-05T19:00:54.184Z,2025-03-05T19:00:54Z,5559919255,213,4.01,5559919253,212,8.2,5559919251,141,9.4,5559919249,140,51.8,5559919247,56,Right,,,,,,,,,,bnzgfrgoiwlw6boq7e7ngi162,O. Siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350965,7,49,1,0,31,36tr17foeaf9ejjmt2txuoy3y,1,41.2,95.3,2025-03-05T19:00:56.928Z,2025-03-05T19:00:57Z,,,,,,,,,,,,,,,,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350969,8,61,1,0,31,36tr17foeaf9ejjmt2txuoy3y,0,41.2,95.3,2025-03-05T19:00:57.625Z,2025-03-05T19:00:57Z,5559919335,56,Back,,,,,,,,,,,,,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350979,9,83,1,0,32,36tr17foeaf9ejjmt2txuoy3y,0,41.1,95.3,2025-03-05T19:00:57.760Z,2025-03-05T19:50:09Z,5560015181,399,81w3pjqsk98f0l09d9ianrbah,,,,,,,,,,,,,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784350973,16,49,1,0,32,cz26xwowfjp8ei14n9z2ac135,1,61.6,6.7,2025-03-05T19:00:58.135Z,2025-03-05T19:00:58Z,,,,,,,,,,,,,,,,,,,,,,,,,81w3pjqsk98f0l09d9ianrbah,S. Piubel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351011,10,45,1,0,35,36tr17foeaf9ejjmt2txuoy3y,0,37.4,95.1,2025-03-05T19:01:00.912Z,2025-03-05T19:58:10Z,5559919535,285,,5559919533,56,Back,5559919597,233,17,,,,,,,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351017,17,3,1,0,35,cz26xwowfjp8ei14n9z2ac135,1,62.6,4.9,2025-03-05T19:01:00.912Z,2025-03-05T19:58:10Z,5559919569,286,,5559919589,233,10,5559919567,56,Right,,,,,,,,,,,,,,,,81w3pjqsk98f0l09d9ianrbah,S. Piubel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351035,18,1,1,0,37,cz26xwowfjp8ei14n9z2ac135,0,65.6,4.9,2025-03-05T19:01:03.112Z,2025-03-05T19:01:04Z,5559919643,140,74.3,5559919649,212,9.2,5559919651,213,0.10,5559919645,141,6.2,5559919641,56,Right,,,,,,,,,,81w3pjqsk98f0l09d9ianrbah,S. Piubel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351033,11,49,1,0,38,36tr17foeaf9ejjmt2txuoy3y,1,22,89.9,2025-03-05T19:01:04.393Z,2025-03-05T19:01:04Z,,,,,,,,,,,,,,,,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351073,12,1,1,0,39,36tr17foeaf9ejjmt2txuoy3y,1,20.5,87.5,2025-03-05T19:01:04.843Z,2025-03-05T19:01:08Z,5559919865,212,20.7,5559919867,213,3.96,5559919863,141,65.2,5559919861,140,7.1,5559919859,56,Back,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351083,13,1,1,0,42,36tr17foeaf9ejjmt2txuoy3y,0,8.6,69.4,2025-03-05T19:01:08.450Z,2025-03-05T19:01:09Z,5559919915,141,67.0,5559919919,213,6.24,5559919913,140,43.5,5559919921,1,,5559919917,212,36.7,5559919911,56,Back,5559919909,157,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351085,19,8,1,0,44,cz26xwowfjp8ei14n9z2ac135,1,63.7,39.1,2025-03-05T19:01:09.728Z,2025-03-05T19:01:09Z,5559919925,56,Center,,,,,,,,,,,,,,,,,,,,,,e3n8fh86gv7xkw2zi6jlqelzp,K. Gorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351171,14,1,1,0,46,36tr17foeaf9ejjmt2txuoy3y,1,31.3,60.6,2025-03-05T19:01:12.144Z,2025-03-05T19:01:20Z,5559920381,56,Back,5559920383,140,28.8,5559920387,212,26.0,5559920385,141,22.5,5559920389,213,4.61,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351187,15,1,1,0,54,36tr17foeaf9ejjmt2txuoy3y,0,28.1,5,2025-03-05T19:01:19.904Z,2025-03-05T19:01:22Z,5559920473,140,38.0,5559920477,212,10.7,5559920475,141,1.4,5559920479,213,6.05,5559920471,56,Back,,,,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351181,20,61,1,0,55,cz26xwowfjp8ei14n9z2ac135,1,62.8,95.4,2025-03-05T19:01:21.115Z,2025-03-05T19:01:22Z,5559920443,56,Left,5559920469,189,,,,,,,,,,,,,,,,,,,,a5ew0j9hz4ounrjkeco7g6iuh,R. Ueki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351199,16,5,1,0,57,36tr17foeaf9ejjmt2txuoy3y,1,32,-2,2025-03-05T19:01:22.944Z,2025-03-05T19:01:26Z,5559920571,233,21,5559920537,56,Back,5559920539,347,,,,,,,,,,,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351195,21,5,1,0,57,cz26xwowfjp8ei14n9z2ac135,0,68,102,2025-03-05T19:01:22.944Z,2025-03-05T19:15:36Z,5559920517,56,Left,5559920607,233,16,5559920519,347,,,,,,,,,,,,,,,,,a5ew0j9hz4ounrjkeco7g6iuh,R. Ueki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351283,17,1,1,1,1,36tr17foeaf9ejjmt2txuoy3y,1,21.6,0,2025-03-05T19:01:27.584Z,2025-03-05T19:49:59Z,5559921073,141,27.3,5559921077,213,1.65,5559921075,212,19.7,5559921067,107,,5559921069,56,Back,5559921071,140,20.2,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351289,18,1,1,1,7,36tr17foeaf9ejjmt2txuoy3y,1,22,34.9,2025-03-05T19:01:33.577Z,2025-03-05T19:50:01Z,5559921107,56,Back,5559921109,140,22.9,5559921111,141,58.8,5559921113,212,16.3,5559921115,213,1.51,,,,,,,,,,1hoivq7vrd8hx0e5gk4tuyxyi,G. Prior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351297,19,1,1,1,8,36tr17foeaf9ejjmt2txuoy3y,0,22.9,60.9,2025-03-05T19:01:34.592Z,2025-03-05T19:50:03Z,5559921161,140,32.5,5559921163,141,100.0,5559921167,213,1.22,5559921165,212,29.7,5559921159,56,Back,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351301,20,5,1,1,10,36tr17foeaf9ejjmt2txuoy3y,0,34.3,102,2025-03-05T19:01:35.823Z,2025-03-05T19:01:40Z,5559921191,56,Back,5559921239,233,22,5559921193,347,,,,,,,,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351307,22,5,1,1,10,cz26xwowfjp8ei14n9z2ac135,1,65.7,-2,2025-03-05T19:01:35.823Z,2025-03-05T19:15:36Z,5559921211,56,Right,5559921229,233,20,5559921213,347,,,,,,,,,,,,,,,,,81w3pjqsk98f0l09d9ianrbah,S. Piubel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351371,23,1,1,1,14,cz26xwowfjp8ei14n9z2ac135,1,64.4,0,2025-03-05T19:01:40.504Z,2025-03-05T19:01:43Z,5559921591,212,17.4,5559921587,140,75.8,5559921583,107,,5559921589,141,17.0,5559921593,213,0.81,5559921585,56,Right,,,,,,,f1xb9y38jfjmrhgv22svv9sa2,A. Denton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351373,24,1,1,1,18,cz26xwowfjp8ei14n9z2ac135,0,75.8,17,2025-03-05T19:01:43.793Z,2025-03-05T19:01:44Z,5559921607,212,4.1,5559921603,141,14.3,5559921609,213,5.82,5559921599,56,Right,5559921601,140,79.3,,,,,,,,,,4kddxgnkpjzwkucvert2bhzsa,S. Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351381,21,1,1,1,19,36tr17foeaf9ejjmt2txuoy3y,0,19.2,79.3,2025-03-05T19:01:45.050Z,2025-03-05T19:50:31Z,5559921655,212,7.5,5559921659,1,,5559921653,141,72.4,5559921657,213,5.61,5559921651,140,24.8,5559921649,56,Back,5559921647,157,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351419,22,1,1,1,21,36tr17foeaf9ejjmt2txuoy3y,0,22.4,48.7,2025-03-05T19:01:47.433Z,2025-03-05T19:50:29Z,5559921847,157,,5559921861,212,52.2,5559921849,56,Left,5559921853,140,60.8,5559921857,141,97.4,5559921865,213,0.69,5559921869,1,,,,,1hoivq7vrd8hx0e5gk4tuyxyi,G. Prior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351485,25,1,1,1,26,cz26xwowfjp8ei14n9z2ac135,1,34.8,8.5,2025-03-05T19:01:52.170Z,2025-03-05T19:01:56Z,5559922195,56,Back,5559922199,141,32.8,5559922201,212,26.1,5559922197,140,15.6,5559922203,213,2.45,,,,,,,,,,cs3pg64kurip4uftscemh01k9,A. Tysiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351505,26,1,1,1,31,cz26xwowfjp8ei14n9z2ac135,0,15,34.6,2025-03-05T19:01:56.801Z,2025-03-05T19:01:59Z,5559922335,212,33.8,5559922339,1,,5559922327,155,,5559922333,141,79.4,5559922329,56,Back,5559922337,213,1.12,5559922331,140,28.9,,,,dxojafbkfxjskl0ek4nucrnpx,K. Szemik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351611,27,1,1,1,46,cz26xwowfjp8ei14n9z2ac135,0,10.4,6.7,2025-03-05T19:02:11.936Z,2025-03-05T19:02:13Z,5559922927,56,Back,5559922935,213,0.08,5559922937,1,,5559922929,140,42.8,5559922933,212,34.1,5559922925,157,,5559922931,141,10.6,,,,f1xb9y38jfjmrhgv22svv9sa2,A. Denton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784351619,23,61,1,1,48,36tr17foeaf9ejjmt2txuoy3y,0,57.8,85.9,2025-03-05T19:02:14.232Z,2025-03-05T19:02:14Z,5559922967,56,Left,,,,,,,,,,,,,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
