id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2793554333,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-03-30T12:15:06.953Z,2025-03-30T13:16:45Z,5610252073,194,7gmh6g5c39asg7gnthx1jxp79,5610252071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5610252075,197,24729,5610252077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610252069,130,7,5610252067,59,"35, 13, 15, 25, 28, 3, 18, 16, 8, 7, 46, 12, 40, 6, 10, 14, 30, 53, 4",5610252065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5610252063,30,"bkjq8yp0rffvauz0nz94flfu2, 8lfnj5bvo97dimx52no42nmqd, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 1hoivq7vrd8hx0e5gk4tuyxyi, 4iweh8975rkssez3r9vlk1wfe, 8hq106ex872xezlr1j901kpux, bmw6mvkeropjorm2rxzw2fzai, brflebs8m00rgali2owyoyove, 7gmh6g5c39asg7gnthx1jxp79, 22blwbf4rlay0jfdecsxvu1hw, 2ed87s29sld107jhmvmsdg7bo, 6r271sec7c84p1vqi2b1p5td5, wupxscyf4x7rsjidpmp0wnv9, 23kah59nbx1m7ro3imaaevoph, 1bw2kkdm9fcqpl2brljc0g8vd, ekiwe5yf61qrcnlbk3fo68222, 64bhyq7li8xssicmjrgy46n10, 470uu9issmbdfyhxjq75gdbs9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793554843,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2025-03-30T12:15:37.451Z,2025-03-30T13:10:48Z,5610254765,194,18f6a50q9okw7dcii40i8vd91,5610254769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610254757,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610254763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610254761,130,11,5610254755,30,"4uest450f12ikgunglu92j0tl, d1fnp3b9t3mfz4aj2csayfhwq, 8lf62k2iwmb23gywex08s6m09, 589yqifloa5j7qwp2gnemyml1, 18f6a50q9okw7dcii40i8vd91, 2w5e7dfxr588qpxex7cstyyy2, 8m3okb64mh1m7dfmp0km4wct1, 387gmkazy7ism1izteww32thx, c705ailfiov40xwoysz0ggct1, af3x1ptiil8vti00lxf1x8ewa, 5zscs0qkg39k01a2n0qu9tvkk, el8c138wsa0bnop68caop5uxh, 52w10pe7mkfv4twb2p2c5ugnp, 2hkkfeyzmu2pkqgjw3bpl7cnp, 4vik7uie18zrie8cqb5pqlpzp, dedol1cdecfmywapqdnndxucp, af52uy5fmw1y9o4eq1sststex, 8jcspom7vgzuzen8yw4php711, 2f4hcj6hiibvouvzcthpwbeju, 4payujvwgv750r4y1eeprn1g4",5610254759,59,"28, 11, 3, 2, 5, 23, 14, 15, 9, 18, 21, 32, 8, 10, 12, 19, 22, 27, 33, 59",5610254767,197,5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793596969,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2025-03-30T13:00:28.948Z,2025-03-30T13:00:29Z,5610479715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793596983,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2025-03-30T13:00:28.948Z,2025-03-30T13:00:31Z,5610479775,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597019,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50,2025-03-30T13:00:28.949Z,2025-03-30T13:00:32Z,5610479943,213,2.77,5610479941,212,13.0,5610479937,140,38.5,5610479945,279,S,5610479939,141,57.0,5610479935,56,Back,,,,,,,8m3okb64mh1m7dfmp0km4wct1,F. Kirby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597049,4,1,1,0,3,dcdnoyf6kzhj46iyfm7xq43fy,0,39.9,51.9,2025-03-30T13:00:32.195Z,2025-03-30T13:00:33Z,5610480075,141,53.4,5610480079,213,0.32,5610480073,140,42.8,5610480071,56,Back,5610480077,212,3.2,5610480069,155,,,,,,,,387gmkazy7ism1izteww32thx,N. Noordam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597055,3,61,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,58.4,37,2025-03-30T13:00:33.037Z,2025-03-30T13:00:33Z,5610480097,56,Center,,,,,,,,,,,,,,,,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597079,5,44,1,0,6,dcdnoyf6kzhj46iyfm7xq43fy,1,72,67.8,2025-03-30T13:00:34.996Z,2025-03-30T13:55:23Z,5610480211,56,Center,5610480213,286,,5610484849,233,4,,,,,,,,,,,,,,,,c705ailfiov40xwoysz0ggct1,N. Parris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597145,4,44,1,0,6,36tr17foeaf9ejjmt2txuoy3y,0,28,32.2,2025-03-30T13:00:34.997Z,2025-03-30T13:55:24Z,5610484855,233,5,5610480499,56,Back,5610480503,285,,,,,,,,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793597115,6,1,1,0,6,dcdnoyf6kzhj46iyfm7xq43fy,1,63.6,72,2025-03-30T13:00:35.236Z,2025-03-30T13:00:37Z,5610480363,141,70.2,5610480357,168,,5610480361,140,67.7,5610480365,212,4.5,5610480367,213,6.01,5610480355,3,,5610480359,56,Center,,,,c705ailfiov40xwoysz0ggct1,N. Parris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
