id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/14/value,qualifier/15/value
2353312983,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2021-11-07T18:00:27.559Z,2021-11-07T19:02:51Z,3217829723,30,"68a0jc6cin6hxx0bkdch9hc5x, 9gquu0c64ha2dtrwt5jv2vdn9, egntdpd5mpnv6i8n8uv4yolhx, cvuaoz9c41od4r0j3sajszsut, 4vjejwvr5b6lphpjmuc0wlsr9, stp0u46f1xc7a2mgvbkoy76x, nygly0mk02elp9ylmq30xhw5, 9ov9x5gap2t34kv8clhwjqvh1, enjtkmi8hjldw767n70b6mxg5, 7op9czmiln7ktmvetw97scz4l, emo8wffj0agou65ijs2seiaqd, cnq88jph2nrn0o2tosrp4rmxh, 3539ai0d63d8hiq0e1nrptb3e, 76tytt386zxh1tuqk6kko1gbt, qrn5tn2zf6ohcdqbo8px3eg9, 230r9tcwg89z5b9kxdqwi336d, 995uo24j150ay81w7q4wwr8yc, 9du3zb5gng6x95zc2yt2z08ic",3217829731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3217829733,194,4vjejwvr5b6lphpjmuc0wlsr9,3217829735,197,5224,3217829725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3217829727,59,"1, 10, 2, 12, 5, 23, 13, 32, 9, 14, 4, 15, 17, 18, 20, 22, 24, 25",3217829737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3217829729,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353314419,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-11-07T18:02:57.095Z,2021-11-07T18:51:54Z,3217837635,194,5m2ilglr6tlmgs2d4qzk5wno5,3217837625,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 1o0o6thivoulnmsklkpbwpiad, e6pdkq17etv9k527m94sqqu39, ddagc0khq0zh1ywynyci8nzrp, c705ailfiov40xwoysz0ggct1, 3sn815dsm0i0rnw9nigjyb0et, 9cjjs4piq3t12iltsfon52h91, e3fa1ou90dirp8yjjterhrs9h, 1dbhha29epjmo8g4xfm5taaj9, wupxscyf4x7rsjidpmp0wnv9, e8ivbfq0irn8f2p8krhkikzx1, 88k3tmpcg5ov13cd8b9rxyggl, 38qt5ejhfdsmvetk15rnfozit, 57evg5do7x9gpg9dn17p1tu22",3217837631,130,4,3217837633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3217837637,197,723,3217837627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3217837639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3217837629,59,"1, 16, 15, 10, 6, 3, 12, 23, 19, 14, 9, 4, 7, 8, 11, 13, 18, 20, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336831,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-11-07T18:45:31.304Z,2021-11-07T18:45:33Z,3217958609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336823,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2021-11-07T18:45:31.304Z,2021-11-07T18:45:34Z,3217958569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336843,3,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,50.4,50.3,2021-11-07T18:45:32.231Z,2021-11-07T19:33:48Z,3217958677,279,S,3217958675,213,3.3,3217958673,212,10.6,3217958671,141,47.6,3217958667,56,Back,3217958669,140,40.5,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336883,4,1,1,0,3,cz26xwowfjp8ei14n9z2ac135,1,36.4,41.3,2021-11-07T18:45:35.269Z,2021-11-07T18:45:37Z,3217958903,157,,3217958905,56,Center,3217958915,1,,3217958911,212,37.6,3217958913,213,6.0,3217958909,141,24.7,3217958907,140,70.6,,,,emo8wffj0agou65ijs2seiaqd,A. Stringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336921,5,1,1,0,6,cz26xwowfjp8ei14n9z2ac135,0,70.6,24.7,2021-11-07T18:45:37.846Z,2021-11-07T19:34:25Z,3217959121,140,76.1,3217959123,141,29.7,3217959125,212,6.7,3217959117,3,,3217959119,56,Center,3217959127,213,0.5,,,,,,,enjtkmi8hjldw767n70b6mxg5,C. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336925,3,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,0,22.8,64.6,2021-11-07T18:45:38.742Z,2021-11-07T19:34:42Z,3217959147,140,22.5,3217959149,141,46.7,3217959145,56,Back,3217959143,3,,3217959151,212,12.2,3217959153,213,4.7,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353336929,6,61,1,0,10,cz26xwowfjp8ei14n9z2ac135,1,76.1,29.7,2021-11-07T18:45:41.479Z,2021-11-07T18:45:42Z,3217959173,56,Center,,,,,,,,,,,,,,,,,,,,,,9gquu0c64ha2dtrwt5jv2vdn9,K. Svitková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353337095,4,12,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,22.5,46.7,2021-11-07T18:45:41.630Z,2021-11-07T18:46:02Z,3217960125,213,0.8,3217960123,212,24.0,3217960121,141,70.9,3217960115,56,Back,3217960119,140,39.2,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
