id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2335728321,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2021-09-26T17:01:10.840Z,2021-09-26T17:46:41Z,3125507491,197,1154,3125507479,30,"jnfo5n6yvloyqcpt5g1x5yvp, c4tkrrhs6o8ii0wnmi5y66cwl, 1cyzpbgl74lage7toh7f1tgb9, 7gmh6g5c39asg7gnthx1jxp79, 6bcvcloym3tzxss5hgsw4h1at, c6k1w8sothxmc08dbhqjzp1w5, 5t9mthxv6kthq6tnntv5q4fdh, dgkmt7f5k9oqruxzsi3x9em6t, 5wob73qv36q7d73zzzu57x8lx, 9e65qlc7dfjkajyhzhak8sc7p, 10d8jj5vwrmib55tth0isfvft, aozm5rtnqkoutfk1mijjx7f11, 3ddo1m631pf9ruzzpaujs9gph, bmw6mvkeropjorm2rxzw2fzai, cm84oje8txj7m34zuhhv68ct1, 60q198d41n3y887jeiezr850q, bkjq8yp0rffvauz0nz94flfu2",3125507481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3125507487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3125507489,194,5wob73qv36q7d73zzzu57x8lx,3125507483,59,"34, 10, 3, 7, 33, 5, 17, 19, 18, 11, 15, 8, 12, 16, 21, 30, 35",3125507485,130,4,3125507493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335728347,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-26T17:01:12.694Z,2021-09-26T17:29:24Z,3125507629,59,"1, 16, 7, 10, 6, 5, 13, 12, 11, 9, 15, 3, 4, 8, 14, 18, 19, 22, 23, 77",3125507625,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, e8ivbfq0irn8f2p8krhkikzx1, 1o0o6thivoulnmsklkpbwpiad, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 6679bfd6bjylogbe4ebese85x, bd1752qgxbodnsgdus42fc99l, 9cjjs4piq3t12iltsfon52h91, 1dbhha29epjmo8g4xfm5taaj9, c705ailfiov40xwoysz0ggct1, 88k3tmpcg5ov13cd8b9rxyggl, ddagc0khq0zh1ywynyci8nzrp, 8z3ceakcqfvv039p2fbm4rvmd, e6pdkq17etv9k527m94sqqu39, cxl4bxs35ifb8o5cq9jxi1ec5",3125507639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3125507633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3125507635,194,5m2ilglr6tlmgs2d4qzk5wno5,3125507627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3125507631,130,4,3125507637,197,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762725,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2021-09-26T17:45:54.906Z,2021-09-26T17:45:55Z,3125699031,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762717,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-26T17:45:54.906Z,2021-09-26T17:45:55Z,3125698989,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762773,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.9,50,2021-09-26T17:45:55.531Z,2021-09-26T17:45:58Z,3125699307,213,3.3,3125699301,140,38.6,3125699299,56,Back,3125699303,141,46.9,3125699305,212,12.1,3125699309,279,S,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762833,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,37.5,45.1,2021-09-26T17:45:58.591Z,2021-09-26T17:46:03Z,3125699657,140,26.2,3125699661,212,12.5,3125699653,56,Back,3125699659,141,39.2,3125699663,213,3.5,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762891,5,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,31.4,31,2021-09-26T17:46:03.663Z,2021-09-26T17:46:08Z,3125700053,141,12.2,3125700055,212,57.0,3125700059,1,,3125700049,56,Right,3125700047,155,,3125700057,213,6.1,3125700051,140,84.3,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762961,6,1,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,88.6,13.5,2021-09-26T17:46:08.847Z,2021-09-26T17:46:32Z,3125701527,2,,3125700407,141,72.0,3125700411,213,1.4,3125700401,155,,3125700409,212,40.5,3125700403,56,Center,3125700413,1,,3125700405,140,95.7,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762969,7,1,1,0,18,5rurqie3qt1qav9ir5mkqinn,0,97.7,73.9,2021-09-26T17:46:13.686Z,2021-09-26T17:46:14Z,3125700457,141,66.7,3125700461,213,4.2,3125700455,140,94.9,3125700453,56,Center,3125700459,212,5.7,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762985,3,12,1,0,19,36tr17foeaf9ejjmt2txuoy3y,1,7.6,35.5,2021-09-26T17:46:14.126Z,2021-09-26T17:46:16Z,3125700539,140,25.6,3125700541,141,0.0,3125700579,167,,3125700537,56,Back,3125700545,213,5.4,3125700543,212,31.7,,,,,,,6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335762995,4,5,1,0,20,36tr17foeaf9ejjmt2txuoy3y,0,21.8,-1.8,2021-09-26T17:46:15.677Z,2021-09-26T17:46:32Z,3125700571,56,Back,3125701599,233,8,3125700573,347,,,,,,,,,,,,,,,,,6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763161,8,5,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,78.2,101.8,2021-09-26T17:46:15.677Z,2021-09-26T18:10:38Z,3125701511,347,,3125701571,233,4,3125701509,56,Left,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763255,9,1,1,0,41,5rurqie3qt1qav9ir5mkqinn,1,91,100,2021-09-26T17:46:36.878Z,2021-09-26T17:46:40Z,3125702093,140,88.1,3125702095,141,83.9,3125702099,213,4.5,3125702089,107,,3125702097,212,12.6,3125702091,56,Left,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763301,10,1,1,0,45,5rurqie3qt1qav9ir5mkqinn,1,86.9,74.7,2021-09-26T17:46:40.118Z,2021-09-26T17:46:43Z,3125702347,56,Center,3125702351,141,61.7,3125702353,212,13.6,3125702355,213,3.8,3125702349,140,77.0,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763309,11,1,1,0,48,5rurqie3qt1qav9ir5mkqinn,0,76.4,60.9,2021-09-26T17:46:42.926Z,2021-09-26T17:46:47Z,3125702397,140,77.4,3125702409,213,5.1,3125702625,236,,3125702405,212,3.0,3125702627,233,5,3125702631,286,,3125702401,141,56.7,3125702393,56,Center,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763351,5,74,1,0,48,36tr17foeaf9ejjmt2txuoy3y,1,38.6,49.6,2021-09-26T17:46:42.927Z,2021-09-26T18:02:19Z,3125702617,56,Back,3125702661,233,11,3125702619,285,,,,,,,,,,,,,,,,,10d8jj5vwrmib55tth0isfvft,L. Hemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763433,12,1,1,0,51,5rurqie3qt1qav9ir5mkqinn,1,47.4,44.3,2021-09-26T17:46:46.550Z,2021-09-26T17:46:51Z,3125703047,212,34.9,3125703041,56,Back,3125703045,141,54.2,3125703043,140,14.8,3125703049,213,2.9,3125703051,1,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763485,13,1,1,0,56,5rurqie3qt1qav9ir5mkqinn,0,15.8,53.4,2021-09-26T17:46:51.582Z,2021-09-26T17:46:54Z,3125703333,1,,3125703323,56,Right,3125703325,140,50.9,3125703329,212,46.8,3125703321,157,,3125703331,213,5.6,3125703327,141,11.0,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335763505,6,44,1,1,0,36tr17foeaf9ejjmt2txuoy3y,1,54,88.6,2021-09-26T17:46:54.964Z,2021-09-26T17:46:56Z,3125703431,56,Left,3125703501,233,14,3125703433,286,,,,,,,,,,,,,,,,,1cyzpbgl74lage7toh7f1tgb9,D. Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
