id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2411622737,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2022-04-24T16:50:29.093Z,2022-04-24T17:26:05Z,3522995069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3522995065,194,6flq1204p7494fm1ct06w6ket,3522995055,30,"6vqain7mmp94wueprv9aj5xp1, c4ptt043q3lm4npuwpyviprdh, 8lf62k2iwmb23gywex08s6m09, 8e7wbpcbwxvdz0fojwuyov3rp, e6s5iphbrws04dxrvw0xqd7f9, 3c80px00lrpe84s9yurszqcid, avttb0ne86ra4pqruk0d8al05, e2lt71eeqb97hw6wnebjrrgt1, 93h0czojeo1ywk4ln2af0bglx, 6flq1204p7494fm1ct06w6ket, 9x4qkir5sofsdi6jf3qdnvgx6, 6f8lpm5ckuv4z0tbur533qpxx, dzfr9ktjmxqj2eh2xibt7konp, 5677k11mj3dmsnqse80eumk0l, ds8eeciyv1vk6nwh26qgy1lg5, 1ry82n1adajgmjtce487u9q1g, 6krz9iy1cdya9kzw8thjeg4r8",3522995059,59,"1, 21, 30, 6, 20, 5, 17, 22, 9, 8, 28, 3, 7, 10, 18, 26, 31",3522995057,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",3522995067,197,726,3522995063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3522995061,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411624777,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-04-24T16:53:51.096Z,2022-04-24T18:09:15Z,3523005655,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, e8ivbfq0irn8f2p8krhkikzx1, wupxscyf4x7rsjidpmp0wnv9, ec1vrqeqni3lmibeazgq62eol, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, 1dbhha29epjmo8g4xfm5taaj9, 1o0o6thivoulnmsklkpbwpiad, c705ailfiov40xwoysz0ggct1, 6679bfd6bjylogbe4ebese85x, 88k3tmpcg5ov13cd8b9rxyggl, 38qt5ejhfdsmvetk15rnfozit, e6pdkq17etv9k527m94sqqu39, 8lfnj5bvo97dimx52no42nmqd",3523005659,59,"1, 16, 7, 10, 6, 3, 9, 13, 11, 25, 19, 5, 8, 12, 14, 15, 18, 20, 23, 26",3523005669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3523005665,194,5m2ilglr6tlmgs2d4qzk5wno5,3523005667,197,14089,3523005657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3523005661,130,4,3523005663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660491,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-04-24T17:45:04.659Z,2022-04-24T17:45:06Z,3523200939,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660475,3,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2022-04-24T17:45:04.659Z,2022-04-24T17:45:04Z,3523200829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660525,4,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,49.1,49.9,2022-04-24T17:45:05.464Z,2022-04-24T17:45:08Z,3523201153,141,75.9,3523201151,140,33.8,3523201149,56,Back,3523201157,213,2.3,3523201155,212,23.9,3523201159,279,S,,,,,,,6flq1204p7494fm1ct06w6ket,I. Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660563,5,1,1,0,3,7kt37xy93vjy6wac8vq6fqz3g,0,40,74.4,2022-04-24T17:45:08.624Z,2022-04-24T17:45:10Z,3523201375,213,5.6,3523201377,1,,3523201363,140,74.5,3523201367,141,31.9,3523201371,212,46.3,3523201355,155,,3523201359,56,Center,,,,8e7wbpcbwxvdz0fojwuyov3rp,G. George,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660593,3,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,33,69,2022-04-24T17:45:11.129Z,2022-04-24T17:45:12Z,3523201537,56,Center,3523201541,141,78.7,3523201539,140,56.5,3523201543,212,25.5,3523201545,213,0.3,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660635,6,1,1,0,8,7kt37xy93vjy6wac8vq6fqz3g,1,62.8,33,2022-04-24T17:45:13.656Z,2022-04-24T17:45:15Z,3523201807,212,6.5,3523201801,56,Center,3523201809,213,0.4,3523201805,141,37.0,3523201803,140,68.4,,,,,,,,,,e2lt71eeqb97hw6wnebjrrgt1,A. Galli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660665,7,1,1,0,10,7kt37xy93vjy6wac8vq6fqz3g,1,68.4,37,2022-04-24T17:45:15.624Z,2022-04-24T17:45:17Z,3523201959,140,52.8,3523201961,141,28.9,3523201965,213,3.5,3523201963,212,17.3,3523201957,56,Center,,,,,,,,,,6flq1204p7494fm1ct06w6ket,I. Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411660679,8,1,1,0,12,7kt37xy93vjy6wac8vq6fqz3g,1,53.1,29.1,2022-04-24T17:45:17.184Z,2022-04-24T17:45:18Z,3523202031,140,71.4,3523202033,141,26.8,3523202035,212,19.3,3523202037,213,6.2,3523202029,56,Center,,,,,,,,,,e2lt71eeqb97hw6wnebjrrgt1,A. Galli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
