id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2326977511,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-05T10:59:04.600Z,2021-09-05T11:35:48Z,3079535391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3079535377,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, e8ivbfq0irn8f2p8krhkikzx1, 1o0o6thivoulnmsklkpbwpiad, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, e6pdkq17etv9k527m94sqqu39, bd1752qgxbodnsgdus42fc99l, 9cjjs4piq3t12iltsfon52h91, e3fa1ou90dirp8yjjterhrs9h, c705ailfiov40xwoysz0ggct1, 88k3tmpcg5ov13cd8b9rxyggl, 38qt5ejhfdsmvetk15rnfozit, 2ft9lpsa9yjlppgi4xah4a8oa, f0afav75l1iz383ozx84b7i3u",3079535389,197,723,3079535387,194,5m2ilglr6tlmgs2d4qzk5wno5,3079535379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3079535381,59,"1, 16, 15, 10, 6, 5, 13, 12, 11, 9, 23, 3, 4, 7, 14, 18, 20, 28, 29",3079535383,130,4,3079535385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326977521,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2021-09-05T10:59:12.133Z,2021-09-05T11:42:21Z,3079535431,59,"30, 21, 11, 16, 4, 7, 8, 10, 9, 22, 23, 1, 3, 5, 14, 17, 20, 24, 25, 29",3079535437,194,eincxi6xa1nrhr9qldtxboyqd,3079535439,197,735,3079535441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3079535427,30,"6fi5hacjc8lj8zej0d2lfq66t, c0my4y3kjf7jbbfujj5l8e8yx, 1cfhmihovl78l8osqbo1w9nth, eincxi6xa1nrhr9qldtxboyqd, anghujtc4achyb9mflowgg9n9, 9ohn9m84cy89huz745lirkted, 1tbavyz1q1hq1fqcoc3gijutx, 7im1atd7ziav111a9o6mh9gid, ctzcuzproy4kwpa5wweruw3px, cij18xj0bx2zyx3mi9xwykn9x, dz9ye5g98flhuscti7l8nillh, 6xrzl8rljlz8zmlaj69qqktlh, 1euxm106eodeidsr5gor1kbmd, amox5xqwe8gybft16wa7qbufp, 8m3okb64mh1m7dfmp0km4wct1, ek8x7y3jt0xcebttt75qi5exh, 66f0rjs4c2yih8phn6meyj74l, drwlmmiguqz2mfzsh6gjmklx, tjj9bi5fxsbn2xtdprqsaswl, 1vo1ye9ofjtt7avoll1cmc9re",3079535435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3079535429,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3079535433,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982595,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-05T11:30:32.380Z,2021-09-05T11:30:32Z,3079562979,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982593,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2021-09-05T11:30:32.380Z,2021-09-05T11:30:32Z,3079562977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982613,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,50,50,2021-09-05T11:30:32.514Z,2021-09-05T11:32:36Z,3079563061,279,S,3079563055,141,54.8,3079563053,140,37.6,3079563051,56,Back,3079563057,212,13.4,3079563059,213,2.9,,,,,,,ctzcuzproy4kwpa5wweruw3px,B. England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982615,4,1,1,0,6,spi3g782q7m4evjxn1sv6cfa,1,37.6,54.8,2021-09-05T11:30:38.842Z,2021-09-05T11:47:56Z,3079563065,56,Back,3079563073,213,2.5,3079563071,212,16.0,3079563067,140,25.6,3079563069,141,69.4,,,,,,,,,,1tbavyz1q1hq1fqcoc3gijutx,M. Leupolz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982617,5,1,1,0,9,spi3g782q7m4evjxn1sv6cfa,1,25.1,69.1,2021-09-05T11:30:41.666Z,2021-09-05T11:30:43Z,3079563087,1,,3079563079,140,26.9,3079563081,141,10.3,3079563077,56,Back,3079563083,212,40.0,3079563085,213,4.8,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982619,6,1,1,0,11,spi3g782q7m4evjxn1sv6cfa,1,25.2,10,2021-09-05T11:30:43.426Z,2021-09-05T11:30:47Z,3079563095,56,Back,3079563101,212,22.9,3079563097,140,11.4,3079563103,213,2.3,3079563099,141,36.1,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982623,7,1,1,0,14,spi3g782q7m4evjxn1sv6cfa,1,11.1,43.3,2021-09-05T11:30:47.001Z,2021-09-05T11:30:51Z,3079563113,56,Back,3079563115,140,19.1,3079563119,212,21.9,3079563117,141,73.0,3079563121,213,1.2,,,,,,,,,,6fi5hacjc8lj8zej0d2lfq66t,A. Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326982627,8,1,1,0,18,spi3g782q7m4evjxn1sv6cfa,1,22.2,72.6,2021-09-05T11:30:50.929Z,2021-09-05T11:30:53Z,3079563143,212,19.8,3079563145,213,4.9,3079563139,140,25.3,3079563137,56,Back,3079563141,141,43.9,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
