id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/15/value,qualifier/14/value
2381187033,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-02-11T18:59:15.813Z,2022-02-11T19:59:11Z,3363120737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3363120727,59,"1, 16, 7, 13, 6, 2, 10, 11, 25, 9, 19, 5, 8, 12, 14, 18, 20, 23, 26, 77",3363120725,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3363120733,194,5m2ilglr6tlmgs2d4qzk5wno5,3363120723,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, bilgoekg6gqwr3qbp6dp0j1zp, 5m2ilglr6tlmgs2d4qzk5wno5, wupxscyf4x7rsjidpmp0wnv9, ec1vrqeqni3lmibeazgq62eol, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, 1dbhha29epjmo8g4xfm5taaj9, 1o0o6thivoulnmsklkpbwpiad, c705ailfiov40xwoysz0ggct1, 88k3tmpcg5ov13cd8b9rxyggl, 38qt5ejhfdsmvetk15rnfozit, e6pdkq17etv9k527m94sqqu39, 8lfnj5bvo97dimx52no42nmqd, cxl4bxs35ifb8o5cq9jxi1ec5",3363120735,197,12327,3363120729,130,4,3363120731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381187057,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2022-02-11T18:59:25.117Z,2022-02-11T19:09:00Z,3363120831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3363120839,194,anghujtc4achyb9mflowgg9n9,3363120833,59,"30, 7, 25, 5, 4, 3, 22, 11, 20, 14, 23, 1, 10, 17, 19, 21, 24, 27",3363120835,130,4,3363120829,30,"6fi5hacjc8lj8zej0d2lfq66t, 9ohn9m84cy89huz745lirkted, tjj9bi5fxsbn2xtdprqsaswl, amox5xqwe8gybft16wa7qbufp, anghujtc4achyb9mflowgg9n9, 1euxm106eodeidsr5gor1kbmd, cij18xj0bx2zyx3mi9xwykn9x, 1cfhmihovl78l8osqbo1w9nth, 66f0rjs4c2yih8phn6meyj74l, 8m3okb64mh1m7dfmp0km4wct1, dz9ye5g98flhuscti7l8nillh, 6xrzl8rljlz8zmlaj69qqktlh, 7im1atd7ziav111a9o6mh9gid, ek8x7y3jt0xcebttt75qi5exh, 9n2d2dv38kp2exb7z3xh2ykiy, c0my4y3kjf7jbbfujj5l8e8yx, drwlmmiguqz2mfzsh6gjmklx, eb16y0nh6ekr5yyrgfqigyq5l",3363120841,197,735,3363120843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3363120837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381210933,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-02-11T19:45:10.350Z,2022-02-11T19:45:10Z,3363245189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381210939,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2022-02-11T19:45:10.350Z,2022-02-11T19:45:11Z,3363245227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381210967,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50.3,50,2022-02-11T19:45:11.547Z,2022-02-11T19:45:13Z,3363245365,212,20.2,3363245363,141,44.6,3363245369,279,S,3363245359,56,Back,3363245361,140,31.4,3363245367,213,3.3,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381211021,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,35.1,46.9,2022-02-11T19:45:13.483Z,2022-02-11T19:45:17Z,3363245577,213,4.4,3363245573,141,19.7,3363245575,212,19.6,3363245571,140,29.0,3363245569,56,Back,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381211029,5,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,1,22.4,24.4,2022-02-11T19:45:17.683Z,2022-02-11T19:45:18Z,3363245607,212,22.1,3363245601,56,Back,3363245605,141,8.3,3363245603,140,40.7,3363245609,213,5.8,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381211041,6,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,0,40.7,8.3,2022-02-11T19:45:18.540Z,2022-02-11T19:45:56Z,3363245681,56,Back,3363245709,236,,3363245685,141,6.8,3363245683,140,44.4,3363245689,213,6.0,3363245715,286,,3363245711,233,3,3363245687,212,4.0,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381211005,3,74,1,0,8,spi3g782q7m4evjxn1sv6cfa,1,64.8,70.3,2022-02-11T19:45:18.541Z,2022-02-11T20:39:40Z,3363245499,56,Center,3363245747,233,6,3363245501,285,,,,,,,,,,,,,,,,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381211049,4,5,1,0,9,spi3g782q7m4evjxn1sv6cfa,0,56.4,102,2022-02-11T19:45:19.430Z,2022-02-11T19:46:00Z,3363245743,56,Left,3363247831,233,7,3363245745,347,,,,,,,,,,,,,,,,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,
