id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2366292159,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2021-12-12T17:53:06.462Z,2021-12-12T18:40:54Z,3285583887,194,6z0hgg9qdlso8lnckkut63qvp,3285583877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3285583879,59,"1, 6, 14, 18, 23, 15, 27, 22, 7, 9, 3, 8, 10, 19, 20, 34, 48",3285583891,197,12900,3285583881,130,2,3285583883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3285583875,30,"7n8jink50lk1tivoqpe57h32t, 9bluldps4u93urd4x9p0xk4id, cyyd2qf3ej2rzd916xnl3kvrp, 6z0hgg9qdlso8lnckkut63qvp, 3upyu7hn2q7voapvgtlnl1yad, d3qtg5xhiwe3zamb4mh50whjp, 19qjvbtfwo55xwsqu5dmwh9ii, 8hmqpyniap0whyfhco0dhp3v9, 6zu0f63ej8pixk97nfzrexiad, 9idtgzdbxfmiguf2slmvla47p, 3km1u2mw1tkioh2mucow7d1pl, 2hoa4v8810rmsbi85pfanyfl6, 35dugfli98k74i3x6qqo1kgdl, dg4urp2frtf72el6t9tittl1x, 78t6ukughvq0bdib0hzwnh9ex, dkjsgguge2u6wrt9epktjqbys, 1gypetmxap01gask7b5bznk5x",3285583895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366298673,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-12-12T18:06:45.161Z,2021-12-12T18:47:25Z,3285617863,197,723,3285617855,59,"18, 4, 15, 8, 20, 3, 23, 13, 11, 14, 9, 1, 5, 7, 10, 12, 19, 22, 24, 29",3285617865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3285617853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3285617851,30,"88k3tmpcg5ov13cd8b9rxyggl, 9cjjs4piq3t12iltsfon52h91, 6679bfd6bjylogbe4ebese85x, 1dbhha29epjmo8g4xfm5taaj9, 38qt5ejhfdsmvetk15rnfozit, bd1752qgxbodnsgdus42fc99l, e6pdkq17etv9k527m94sqqu39, e8ivbfq0irn8f2p8krhkikzx1, wupxscyf4x7rsjidpmp0wnv9, c705ailfiov40xwoysz0ggct1, 3sn815dsm0i0rnw9nigjyb0et, dib5a7vebmtxqcksi1tuteklx, d9zt8e8lnk9a22we6o6wqyndh, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 1o0o6thivoulnmsklkpbwpiad, ddagc0khq0zh1ywynyci8nzrp, 8z3ceakcqfvv039p2fbm4rvmd, 57evg5do7x9gpg9dn17p1tu22, f0afav75l1iz383ozx84b7i3u",3285617859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3285617857,130,4,3285617861,194,1dbhha29epjmo8g4xfm5taaj9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314139,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2021-12-12T18:45:09.934Z,2021-12-12T18:45:10Z,3285704621,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314131,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-12-12T18:45:09.934Z,2021-12-12T18:45:10Z,3285704555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314163,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,49.8,50,2021-12-12T18:45:11.228Z,2021-12-12T18:45:14Z,3285704801,56,Back,3285704807,212,12.0,3285704809,213,2.6,3285704811,279,S,3285704805,141,58.7,3285704803,140,39.9,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314187,4,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,40.2,63.6,2021-12-12T18:45:14.651Z,2021-12-12T18:45:17Z,3285704981,140,37.3,3285704979,56,Back,3285704985,212,18.6,3285704987,213,1.7,3285704983,141,90.6,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314215,5,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,1,37.7,86.5,2021-12-12T18:45:17.731Z,2021-12-12T18:45:21Z,3285705195,213,4.5,3285705191,141,49.0,3285705187,56,Back,3285705193,212,26.0,3285705189,140,32.9,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314241,6,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,35.2,33.9,2021-12-12T18:45:21.459Z,2021-12-12T18:45:27Z,3285705375,140,40.0,3285705377,141,11.0,3285705373,56,Back,3285705379,212,16.4,3285705381,213,5.0,,,,,,,,,,9cjjs4piq3t12iltsfon52h91,A. Patten,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314263,7,1,1,0,17,5rurqie3qt1qav9ir5mkqinn,1,33.7,29.2,2021-12-12T18:45:27.147Z,2021-12-12T18:45:31Z,3285705531,141,66.9,3285705533,212,26.0,3285705527,56,Back,3285705529,140,38.0,3285705535,213,1.4,,,,,,,,,,38qt5ejhfdsmvetk15rnfozit,S. Sørensen,,,,,,,,,,,,,,,,,,,,,,,,,,
2366314275,8,1,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,39.5,72.6,2021-12-12T18:45:31.291Z,2021-12-12T18:45:33Z,3285705625,141,90.9,3285705623,140,61.7,3285705621,56,Left,3285705627,212,26.4,3285705629,213,0.5,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,
