id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2378986009,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2022-02-05T11:50:20.553Z,2022-02-05T12:36:48Z,3351567939,130,8,3351567933,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, b0fb391qk3blyandllrxt6fh1, 589yqifloa5j7qwp2gnemyml1, 5qxvej7pcqqr989sba7k0jv85, 1haq2mkmbebj3jbt0z2jom4lx, 2a45d0hq84uxfi5t9c65dw7vt, 2fg7mgljmrqedc61uiff36ytx, d29d4xtq3ib0nim6keirgdx3p, 8ll4dyc6p81nlfz81v8nz3m96, ktri6gzihh89eiw1zsba9wwl, 5adluw93r1tx4n3ta3wyhj7bp, 9zdmc8v5sfrv9z7da49odn4a2, gvm839vxy6tkznrtw9mop17u, dl1znxod6ohbi1zwq4iiu4qfp, cpvbitkove7bavl96lkgs1vc9, dfodeak21qhzgxr7qs85f3vf9, c7giuh90mnvajsobobcbx4ley",3351567945,197,9732,3351567947,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3351567941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3351567937,59,"27, 17, 6, 10, 15, 3, 23, 12, 7, 16, 11, 39, 2, 8, 9, 13, 14, 18, 20, 24",3351567935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3351567943,194,9ijnmgmapjcnctich86692tw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378987625,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-02-05T11:55:50.307Z,2022-02-05T12:44:59Z,3351576519,130,4,3351576513,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, d9zt8e8lnk9a22we6o6wqyndh, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, cxl4bxs35ifb8o5cq9jxi1ec5, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 1dbhha29epjmo8g4xfm5taaj9, bilgoekg6gqwr3qbp6dp0j1zp, 1o0o6thivoulnmsklkpbwpiad, c705ailfiov40xwoysz0ggct1, 88k3tmpcg5ov13cd8b9rxyggl, ddagc0khq0zh1ywynyci8nzrp, 38qt5ejhfdsmvetk15rnfozit, ec1vrqeqni3lmibeazgq62eol, 8lfnj5bvo97dimx52no42nmqd",3351576527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3351576525,197,723,3351576515,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3351576521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3351576517,59,"1, 16, 15, 13, 5, 7, 10, 77, 11, 9, 8, 2, 12, 14, 18, 19, 20, 25, 26",3351576523,194,5m2ilglr6tlmgs2d4qzk5wno5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997663,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-02-05T12:31:16.464Z,2022-02-05T12:31:24Z,3351630171,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997659,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2022-02-05T12:31:16.464Z,2022-02-05T12:31:24Z,3351630165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997827,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,49.9,50.3,2022-02-05T12:31:16.791Z,2022-02-05T12:31:20Z,3351630949,213,3.1,3351630943,140,38.7,3351630941,56,Back,3351630951,279,S,3351630947,212,11.8,3351630945,141,51.0,,,,,,,9ijnmgmapjcnctich86692tw5,K. Zelem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997833,4,49,1,0,3,axwnneoekq2f2yq6r1l704y96,1,38.7,51,2022-02-05T12:31:20.030Z,2022-02-05T12:31:20Z,,,,,,,,,,,,,,,,,,,,,,,,,1haq2mkmbebj3jbt0z2jom4lx,H. Ladd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997837,5,1,1,0,3,axwnneoekq2f2yq6r1l704y96,0,38.7,51,2022-02-05T12:31:20.037Z,2022-02-05T12:31:21Z,3351630983,56,Center,3351630989,212,38.0,3351630981,155,,3351630993,1,,3351630985,140,72.4,3351630987,141,71.2,3351630991,213,0.4,,,,1haq2mkmbebj3jbt0z2jom4lx,H. Ladd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997855,3,43,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-02-05T12:31:21.833Z,2022-02-05T12:31:31Z,3351631467,144,7,3351631083,285,0,3351631081,56,Back,,,,,,,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997865,4,49,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,27,30.1,2022-02-05T12:31:22.848Z,2022-02-05T12:31:23Z,,,,,,,,,,,,,,,,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997867,5,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,32.9,30.3,2022-02-05T12:31:23.008Z,2022-02-05T12:32:08Z,3351631141,140,35.3,3351631139,56,Back,3351631145,212,8.0,3351631143,141,19.2,3351631147,213,5.0,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997897,6,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,0,40.7,2,2022-02-05T12:31:26.552Z,2022-02-05T12:31:29Z,3351631279,140,43.1,3351631399,236,,3351631291,213,1.0,3351631287,212,4.4,3351631401,233,6,3351631275,56,Back,3351631405,286,,3351631283,141,7.3,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997919,6,74,1,0,10,axwnneoekq2f2yq6r1l704y96,1,44,92.1,2022-02-05T12:31:26.553Z,2022-02-05T12:44:08Z,3351631387,56,Back,3351631389,285,,3351631411,233,6,,,,,,,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998013,7,5,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,51.4,-1.7,2022-02-05T12:31:28.520Z,2022-02-05T12:31:38Z,3351631761,347,,3351631759,56,Right,3351631765,233,7,,,,,,,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378997927,7,5,1,0,12,axwnneoekq2f2yq6r1l704y96,0,48.6,101.7,2022-02-05T12:31:28.520Z,2022-02-05T12:52:41Z,3351631783,233,7,3351631441,347,,3351631439,56,Back,,,,,,,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998083,8,1,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,45.5,0,2022-02-05T12:31:37.881Z,2022-02-05T12:31:43Z,3351632115,141,8.8,3351632121,1,,3351632117,212,39.8,3351632107,56,Right,3351632119,213,0.2,3351632105,107,,3351632111,140,82.8,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998089,9,50,1,0,27,5rurqie3qt1qav9ir5mkqinn,1,80.1,6.8,2022-02-05T12:31:43.608Z,2022-02-05T12:31:47Z,3351632143,56,Right,3351632145,286,,3351632313,233,8,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998117,8,7,1,0,27,axwnneoekq2f2yq6r1l704y96,1,19.9,93.2,2022-02-05T12:31:43.609Z,2022-02-05T12:31:47Z,3351632285,285,,3351632305,233,9,3351632283,56,Back,,,,,,,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998121,9,49,1,0,30,axwnneoekq2f2yq6r1l704y96,1,24.4,89.4,2022-02-05T12:31:46.798Z,2022-02-05T12:31:47Z,,,,,,,,,,,,,,,,,,,,,,,,,d29d4xtq3ib0nim6keirgdx3p,L. Galton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998205,10,1,1,0,30,axwnneoekq2f2yq6r1l704y96,1,25.9,88.7,2022-02-05T12:31:47.254Z,2022-02-05T12:31:54Z,3351632671,140,44.1,3351632673,141,76.7,3351632669,56,Back,3351632677,213,5.9,3351632675,212,20.8,,,,,,,,,,d29d4xtq3ib0nim6keirgdx3p,L. Galton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998209,11,4,1,0,35,axwnneoekq2f2yq6r1l704y96,1,46.4,73.8,2022-02-05T12:31:51.495Z,2022-02-05T12:31:55Z,3351632691,56,Back,3351632693,152,,3351632731,233,10,3351632697,286,,3351632695,265,,3351632689,13,,,,,,,,2fg7mgljmrqedc61uiff36ytx,S. Bruun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998213,10,4,1,0,35,5rurqie3qt1qav9ir5mkqinn,0,53.6,26.2,2022-02-05T12:31:51.496Z,2022-02-05T12:31:55Z,3351632725,285,,3351632723,265,,3351632717,13,,3351632721,152,,3351632719,56,Center,3351632739,233,11,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378998399,12,1,1,0,56,axwnneoekq2f2yq6r1l704y96,1,44.3,76.9,2022-02-05T12:32:13.254Z,2022-02-05T12:32:15Z,3351633581,152,,3351633577,5,,3351633583,56,Center,3351633589,212,43.4,3351633591,213,5.4,3351633579,155,,3351633587,141,26.4,3351633585,140,69.5,589yqifloa5j7qwp2gnemyml1,M. Þórisdóttir,3351633593,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
