id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value
2329064807,8,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,88.3,83.2,2021-09-12T13:00:40.425Z,2021-09-12T13:00:58Z,3090602521,154,,3090602175,213,4.0,3090602167,56,Center,3090602171,141,65.2,3090602169,140,78.6,3090602519,210,15,3090602173,212,15.9,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,1,,,,,,,,,,,,,,,,,,,,,,,,
2329064809,9,15,1,0,17,5rurqie3qt1qav9ir5mkqinn,1,78.8,62.6,2021-09-12T13:00:42.697Z,2021-09-12T13:00:58Z,3090602183,18,,3090602539,103,5.1,3090602533,55,8,3090602545,147,50.4,3090602527,78,,3090602541,215,,3090602531,154,,3090602529,29,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,3090602557,233,6,3090602181,22,3090602313,20,3090602537,102,50.3,3090602543,146,99.1,3090602185,56,Center,,,,,,,,
2329064825,6,10,1,0,17,bsbugp9qfasrrtg55bf7evvwv,1,2.4,50,2021-09-12T13:00:42.797Z,2021-09-12T13:00:51Z,3090602249,56,Back,3090602343,179,,3090602247,182,,3090602349,233,9,3090602341,176,,,,,,,,,,,697f94lwz4x5pxljm2qsrakq2,R. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
2329064837,7,52,1,0,22,bsbugp9qfasrrtg55bf7evvwv,1,2.4,50,2021-09-12T13:00:47.515Z,2021-09-12T13:00:47Z,,,,,,,,,,,,,,,,,,,,,,,,,697f94lwz4x5pxljm2qsrakq2,R. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
2329064877,8,1,1,0,27,bsbugp9qfasrrtg55bf7evvwv,1,13.3,50.1,2021-09-12T13:00:52.083Z,2021-09-12T13:00:55Z,3090602433,140,15.5,3090602429,123,,3090602439,213,4.8,3090602431,56,Back,3090602435,141,15.0,3090602437,212,24.0,,,,,,,697f94lwz4x5pxljm2qsrakq2,R. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
2329064897,9,1,1,0,30,bsbugp9qfasrrtg55bf7evvwv,0,24.1,16.4,2021-09-12T13:00:55.851Z,2021-09-12T13:00:57Z,3090602511,141,32.1,3090602509,140,59.2,3090602513,212,38.4,3090602517,1,,3090602507,56,Center,3090602515,213,0.3,3090602505,157,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,
2329064919,10,49,1,0,35,5rurqie3qt1qav9ir5mkqinn,1,42.5,51,2021-09-12T13:01:00.433Z,2021-09-12T13:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,
2329064943,11,1,1,0,35,5rurqie3qt1qav9ir5mkqinn,1,42.5,51,2021-09-12T13:01:00.802Z,2021-09-12T13:01:03Z,3090602707,212,15.8,3090602705,141,35.7,3090602703,140,31.2,3090602709,213,3.9,3090602701,56,Back,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,
2329065077,12,1,1,0,38,5rurqie3qt1qav9ir5mkqinn,1,31.2,34.8,2021-09-12T13:01:03.729Z,2021-09-12T13:01:07Z,3090603279,140,11.7,3090603285,213,2.9,3090603277,56,Back,3090603283,212,21.0,3090603281,141,41.9,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,
2329065217,13,1,1,0,41,5rurqie3qt1qav9ir5mkqinn,0,11.7,41.9,2021-09-12T13:01:06.154Z,2021-09-12T13:01:09Z,3090603843,56,Back,3090603851,213,6.2,3090603855,1,,3090603845,140,42.5,3090603847,141,36.4,3090603849,212,32.6,3090603841,155,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,
2329065537,10,1,1,0,43,bsbugp9qfasrrtg55bf7evvwv,1,73,72.4,2021-09-12T13:01:08.571Z,2021-09-12T13:51:29Z,3090605523,141,55.7,3090605517,140,63.9,3090605533,213,4.0,3090605515,56,Center,3090605511,3,,3090605527,212,14.8,,,,,,,ce4cgftejsd46a0rahih0divp,R. Rowe,,,,,,,,,,,,,,,,,,,,,,,,,
2329128227,347,50,1,0,44,bsbugp9qfasrrtg55bf7evvwv,1,61,51.1,2021-09-12T13:01:08.891Z,2021-09-12T13:52:13Z,3090932097,233,14,3090932049,56,Center,3090932051,286,,,,,,,,,,,,,,,,,49tbu841s20wivafeostkffmd,C. Peplow,,,,,,,,,,,,,,,,,,,,,,,,,
2329065733,14,7,1,0,44,5rurqie3qt1qav9ir5mkqinn,1,39,48.9,2021-09-12T13:01:08.892Z,2021-09-12T13:52:13Z,3090606473,56,Back,3090606475,285,,3090932055,233,347,,,,,,,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329065555,11,43,1,0,44,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-09-12T13:01:09.720Z,2021-09-12T13:01:51Z,3090605661,286,0,3090605605,56,Center,3090609061,144,50,3090606595,233,14,,,,,,,,,,,,,49tbu841s20wivafeostkffmd,C. Peplow,,,,,,,,,,,,,,,,,,,,,,,,,
2329065907,15,2,1,0,49,5rurqie3qt1qav9ir5mkqinn,1,61.8,37.7,2021-09-12T13:01:14.666Z,2021-09-12T13:01:47Z,3090607411,56,Left,3090607409,1,,3090607407,7,6679bfd6bjylogbe4ebese85x,3090607415,141,84.2,3090607413,140,75.3,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329065863,12,55,1,0,49,bsbugp9qfasrrtg55bf7evvwv,1,23.9,36.3,2021-09-12T13:01:14.667Z,2021-09-12T13:49:24Z,,,,,,,,,,,,,,,,,,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,
2329066149,13,2,1,1,17,bsbugp9qfasrrtg55bf7evvwv,1,23.9,36.3,2021-09-12T13:01:42.267Z,2021-09-12T13:01:56Z,3090608617,241,,3090608623,141,39.4,3090608621,140,72.5,3090608629,1,,3090608619,56,Center,3090609527,7,cannlc91eqjjy24i7keyvyaui,3090608613,5,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,
2329066259,17,55,1,1,17,5rurqie3qt1qav9ir5mkqinn,1,30.3,67.3,2021-09-12T13:01:42.268Z,2021-09-12T13:49:24Z,,,,,,,,,,,,,,,,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,
2329066159,14,43,1,1,21,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-09-12T13:01:46.739Z,2021-09-12T13:01:54Z,3090608667,286,0,3090608785,233,16,3090609247,144,44,3090608663,56,Center,,,,,,,,,,,,,cannlc91eqjjy24i7keyvyaui,E. Harries,,,,,,,,,,,,,,,,,,,,,,,,,
2329066173,16,43,1,1,21,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-12T13:01:46.740Z,2021-09-12T13:02:38Z,3090612999,144,44,3090608721,285,0,3090608719,56,Back,,,,,,,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,
2329066377,18,1,1,1,29,5rurqie3qt1qav9ir5mkqinn,1,30.3,67.3,2021-09-12T13:01:54.401Z,2021-09-12T13:01:58Z,3090609733,213,0.9,3090609723,241,,3090609731,212,20.7,3090609729,141,92.0,3090609721,5,,3090609727,140,41.8,3090609725,56,Back,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,
2329066423,19,1,1,1,33,5rurqie3qt1qav9ir5mkqinn,1,51.2,85.1,2021-09-12T13:01:58.737Z,2021-09-12T13:02:00Z,3090609905,141,63.1,3090609903,140,58.8,3090609911,213,5.2,3090609909,212,17.0,3090609901,56,Center,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329066491,20,1,1,1,35,5rurqie3qt1qav9ir5mkqinn,1,58.7,62.9,2021-09-12T13:02:00.608Z,2021-09-12T13:02:04Z,3090610193,213,2.9,3090610187,140,50.8,3090610191,212,8.5,3090610185,56,Center,3090610189,141,65.4,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,
2329066503,21,1,1,1,39,5rurqie3qt1qav9ir5mkqinn,0,51.5,69.1,2021-09-12T13:02:04.584Z,2021-09-12T13:02:06Z,3090610261,212,2.9,3090610259,141,70.0,3090610355,233,15,3090610263,213,2.9,3090610361,286,,3090610351,236,,3090610255,56,Back,3090610257,140,48.8,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,
2329066519,15,74,1,1,39,bsbugp9qfasrrtg55bf7evvwv,1,55.6,30.4,2021-09-12T13:02:04.585Z,2021-09-12T14:05:17Z,3090610369,233,21,3090610323,56,Center,3090610325,285,,,,,,,,,,,,,,,,,b4q51nzxmgax7on17s1wpx5ud,N. Harding,,,,,,,,,,,,,,,,,,,,,,,,,
2329066581,22,1,1,1,42,5rurqie3qt1qav9ir5mkqinn,1,47.7,91.4,2021-09-12T13:02:07.512Z,2021-09-12T13:02:09Z,3090610723,56,Back,3090610727,141,79.9,3090610729,212,19.2,3090610725,140,31.0,3090610731,213,3.6,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329066613,23,1,1,1,44,5rurqie3qt1qav9ir5mkqinn,1,32.3,79.3,2021-09-12T13:02:09.880Z,2021-09-12T13:02:12Z,3090610925,213,4.0,3090610915,141,47.6,3090610911,140,14.0,3090610919,212,28.9,3090610907,56,Back,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,
2329066655,24,1,1,1,47,5rurqie3qt1qav9ir5mkqinn,1,14,47.6,2021-09-12T13:02:12.224Z,2021-09-12T13:02:15Z,3090611163,140,26.8,3090611161,56,Back,3090611169,213,5.4,3090611167,212,22.4,3090611165,141,21.2,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,
2329066689,25,1,1,1,50,5rurqie3qt1qav9ir5mkqinn,1,26.8,21.2,2021-09-12T13:02:15.416Z,2021-09-12T13:03:06Z,3090611341,140,13.5,3090611343,141,45.5,3090611347,213,2.3,3090611345,212,21.6,3090611339,56,Back,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
2329066749,26,1,1,1,52,5rurqie3qt1qav9ir5mkqinn,1,13.5,45.5,2021-09-12T13:02:17.256Z,2021-09-12T13:02:20Z,3090611615,140,24.0,3090611619,212,26.7,3090611617,141,81.2,3090611613,56,Back,3090611621,213,1.1,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,
2329066791,27,1,1,1,55,5rurqie3qt1qav9ir5mkqinn,1,24,81.2,2021-09-12T13:02:20.760Z,2021-09-12T13:02:22Z,3090611805,140,36.9,3090611807,141,64.5,3090611809,212,17.7,3090611803,56,Back,3090611813,213,5.6,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,
2329066841,28,1,1,1,57,5rurqie3qt1qav9ir5mkqinn,1,34.2,62.7,2021-09-12T13:02:22.833Z,2021-09-12T13:03:09Z,3090612037,140,13.9,3090612039,141,52.2,3090612035,56,Back,3090612043,213,3.5,3090612041,212,22.5,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,
2329066915,29,1,1,1,59,5rurqie3qt1qav9ir5mkqinn,1,13.9,52.2,2021-09-12T13:02:24.769Z,2021-09-12T13:02:28Z,3090612347,213,4.9,3090612345,212,21.6,3090612339,56,Back,3090612341,140,17.8,3090612343,141,21.0,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,
2329066947,30,1,1,2,3,5rurqie3qt1qav9ir5mkqinn,1,21.3,18.2,2021-09-12T13:02:28.808Z,2021-09-12T13:02:31Z,3090612493,141,35.2,3090612491,140,32.1,3090612497,213,0.8,3090612489,56,Back,3090612495,212,16.2,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,
2329066981,31,1,1,2,6,5rurqie3qt1qav9ir5mkqinn,1,32.1,35.2,2021-09-12T13:02:31.208Z,2021-09-12T13:02:33Z,3090612651,213,2.9,3090612647,141,41.5,3090612649,212,19.9,3090612645,140,13.6,3090612643,56,Back,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329067071,32,1,1,2,8,5rurqie3qt1qav9ir5mkqinn,1,13.6,41.5,2021-09-12T13:02:33.320Z,2021-09-12T13:02:39Z,3090613187,213,0.2,3090613185,212,11.3,3090613179,56,Back,3090613181,140,24.1,3090613183,141,44.8,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,
2329067243,33,1,1,2,14,5rurqie3qt1qav9ir5mkqinn,1,30.2,46.1,2021-09-12T13:02:39.777Z,2021-09-12T13:02:50Z,3090614093,141,3.4,3090614091,140,74.5,3090614087,155,,3090614101,213,5.7,3090614097,212,54.8,3090614089,56,Right,3090614105,1,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,
2329067333,34,1,1,2,25,5rurqie3qt1qav9ir5mkqinn,1,74.7,41.6,2021-09-12T13:02:49.928Z,2021-09-12T13:02:54Z,3090614515,141,76.7,3090614511,56,Center,3090614519,213,1.5,3090614517,212,23.9,3090614513,140,75.9,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,
2329067445,35,1,1,2,29,5rurqie3qt1qav9ir5mkqinn,1,75.1,73.9,2021-09-12T13:02:54.433Z,2021-09-12T13:03:27Z,3090618045,210,13,3090615091,140,70.5,3090615093,141,50.4,3090615097,213,4.4,3090615089,56,Center,3090615095,212,16.7,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,1,,,,,,,,,,,,,,,,,,,,,,,,
2329067457,36,13,1,2,33,5rurqie3qt1qav9ir5mkqinn,1,74.5,45.4,2021-09-12T13:02:58.009Z,2021-09-12T13:03:28Z,3090618127,102,44.5,3090615165,56,Center,3090618119,74,,3090618139,231,49.6,3090615161,22,,3090618121,29,,3090618133,103,77.8,3090617083,20,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,3090618137,230,99.3,3090618135,215,3090615163,18,3090618123,55,35,,,,,,,,,,,,,,
2329067471,16,5,1,2,35,bsbugp9qfasrrtg55bf7evvwv,1,-1.1,51.4,2021-09-12T13:03:00.124Z,2021-09-12T13:03:01Z,3090615215,56,Back,3090615217,346,,3090615313,233,37,,,,,,,,,,,,,,,,2jwojltrp06sa8qloordtohrd,L. Woodham,,,,,,,,,,,,,,,,,,,,,,,,,
2329067485,37,5,1,2,35,5rurqie3qt1qav9ir5mkqinn,0,101.1,48.6,2021-09-12T13:03:00.124Z,2021-09-12T13:50:07Z,3090615271,346,,3090615269,56,Center,3090615465,233,16,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,
2329068041,17,1,1,2,58,bsbugp9qfasrrtg55bf7evvwv,1,2.6,58.5,2021-09-12T13:03:22.972Z,2021-09-12T13:35:11Z,3090617981,213,5.7,3090617983,1,,3090617975,140,45.8,3090617977,141,10.6,3090617987,74,,3090617973,56,Back,3090617971,155,,3090617979,212,55.8,9parlijxpxnfis96jwy9p37bp,G. Evans,,3090617969,124,,,,,,,,,,,,,,,,,,,,,,
2329068061,18,61,1,3,1,bsbugp9qfasrrtg55bf7evvwv,0,45.8,10.6,2021-09-12T13:03:26.716Z,2021-09-12T13:03:28Z,3090618097,56,Back,,,,,,,,,,,,,,,,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,
2329068157,38,61,1,3,4,5rurqie3qt1qav9ir5mkqinn,0,48.7,95.7,2021-09-12T13:03:29.272Z,2021-09-12T13:03:47Z,3090618647,56,Back,,,,,,,,,,,,,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,
2329068133,19,5,1,3,5,bsbugp9qfasrrtg55bf7evvwv,1,49,-1.6,2021-09-12T13:03:30.325Z,2021-09-12T13:03:35Z,3090618815,233,39,3090618521,56,Back,3090618525,347,,,,,,,,,,,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,
2329068181,39,5,1,3,5,5rurqie3qt1qav9ir5mkqinn,0,51,101.6,2021-09-12T13:03:30.325Z,2021-09-12T13:50:07Z,3090618785,56,Left,3090618787,347,,3090618847,233,19,,,,,,,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,
2329068145,20,1,1,3,7,bsbugp9qfasrrtg55bf7evvwv,1,47.5,0,2021-09-12T13:03:31.910Z,2021-09-12T13:03:33Z,3090618599,141,17.0,3090618597,140,45.8,3090618595,56,Back,3090618601,212,12.4,3090618593,107,,3090618603,213,1.7,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,
2329068167,21,1,1,3,8,bsbugp9qfasrrtg55bf7evvwv,1,45.8,17,2021-09-12T13:03:33.197Z,2021-09-12T13:03:33Z,3090618685,213,4.0,3090618679,140,41.8,3090618681,141,10.3,3090618677,56,Back,3090618683,212,6.2,,,,,,,,,,ce4cgftejsd46a0rahih0divp,R. Rowe,,,,,,,,,,,,,,,,,,,,,,,,,
2329068219,22,1,1,3,8,bsbugp9qfasrrtg55bf7evvwv,1,41.8,10.3,2021-09-12T13:03:33.684Z,2021-09-12T13:03:36Z,3090618993,56,Back,3090619001,213,3.3,3090618999,212,14.9,3090618997,141,7.9,3090618995,140,27.7,,,,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,
