id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value
2329026007,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-09-12T12:12:46.550Z,2021-09-12T13:14:03Z,3090403377,59,"21, 2, 28, 4, 14, 5, 11, 23, 12, 19, 9, 6, 7, 27, 31, 33",3090403375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",3090403383,194,b4q51nzxmgax7on17s1wpx5ud,3090403381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3090403379,130,4,3090403373,30,"697f94lwz4x5pxljm2qsrakq2, 6sq9uor68fca8nz7tes0vfdgp, 2jwojltrp06sa8qloordtohrd, 49tbu841s20wivafeostkffmd, 4lshrw6i3uk9kx4kiutn06iuh, 9parlijxpxnfis96jwy9p37bp, b4q51nzxmgax7on17s1wpx5ud, ce4cgftejsd46a0rahih0divp, cannlc91eqjjy24i7keyvyaui, 108a89xbf1b28xj9oze2oxk9h, 9aqn77y0knb58698qj46eee39, 3322apmmg9crui9646d4cbm5l, 7ie26l50x4io29v38qy6b7qhh, 1o571356wx95l3qbpbe00o991, 4jp1chw4qvlt7gntuvuci77ys, 1jfuxsp8x6b6cb1bn9l93ua6s",3090403385,197,5141,3090403387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2329031147,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-12T12:18:16.674Z,2021-09-12T13:07:11Z,3090429989,59,"1, 16, 7, 10, 6, 5, 13, 12, 11, 9, 15, 3, 4, 14, 18, 23, 29, 35, 33",3090429997,197,12327,3090429995,194,5m2ilglr6tlmgs2d4qzk5wno5,3090429993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3090429999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3090429987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3090429991,130,4,3090429985,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, e8ivbfq0irn8f2p8krhkikzx1, 1o0o6thivoulnmsklkpbwpiad, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 6679bfd6bjylogbe4ebese85x, bd1752qgxbodnsgdus42fc99l, 9cjjs4piq3t12iltsfon52h91, c705ailfiov40xwoysz0ggct1, 88k3tmpcg5ov13cd8b9rxyggl, e6pdkq17etv9k527m94sqqu39, f0afav75l1iz383ozx84b7i3u, b9iaqgibnmsggeo993pj35wfe, cqfxdqu4j8ws6ejoklc7ahz6y",,,,,,,,,,,,,,,,,,,,,,,,,,,
2329064665,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-09-12T13:00:24.891Z,2021-09-12T13:00:25Z,3090601647,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329064661,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-09-12T13:00:24.891Z,2021-09-12T13:00:25Z,3090601637,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329064673,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.9,49.9,2021-09-12T13:00:25.473Z,2021-09-12T13:00:28Z,3090601693,212,13.2,3090601687,56,Back,3090601691,141,50.1,3090601697,279,S,3090601689,140,37.3,3090601695,213,3.1,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,
2329064719,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,37.3,50.1,2021-09-12T13:00:28.073Z,2021-09-12T13:00:32Z,3090601855,212,12.7,3090601857,213,1.8,3090601853,141,68.2,3090601849,56,Back,3090601851,140,34.2,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,
2329064735,5,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,0,35.4,71.7,2021-09-12T13:00:32.298Z,2021-09-12T13:00:34Z,3090601923,140,70.2,3090601929,213,6.2,3090601921,56,Center,3090601931,1,,3090601919,155,,3090601927,212,36.7,3090601925,141,67.3,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329064753,3,1,1,0,9,bsbugp9qfasrrtg55bf7evvwv,1,33.7,27.3,2021-09-12T13:00:34.731Z,2021-09-12T13:00:36Z,3090601995,56,Back,3090601997,140,43.1,3090602001,212,13.5,3090602003,213,5.5,3090601999,141,13.7,3090601993,3,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,
2329064765,4,1,1,0,11,bsbugp9qfasrrtg55bf7evvwv,1,43.1,13.7,2021-09-12T13:00:36.563Z,2021-09-12T13:00:38Z,3090602061,213,3.4,3090602057,141,6.4,3090602059,212,19.7,3090602055,140,24.9,3090602053,56,Back,,,,,,,,,,ce4cgftejsd46a0rahih0divp,R. Rowe,,,,,,,,,,,,,,,,,,,,,,,,,
2329064771,5,50,1,0,12,bsbugp9qfasrrtg55bf7evvwv,1,26.8,12.8,2021-09-12T13:00:37.617Z,2021-09-12T13:00:40Z,3090602073,56,Back,3090602111,233,6,3090602075,285,,,,,,,,,,,,,,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,
2329064777,6,7,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,73.2,87.2,2021-09-12T13:00:37.618Z,2021-09-12T13:00:40Z,3090602079,56,Left,3090602093,233,5,3090602081,286,,,,,,,,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
2329064781,7,49,1,0,14,5rurqie3qt1qav9ir5mkqinn,1,84.4,84.4,2021-09-12T13:00:39.834Z,2021-09-12T13:00:40Z,,,,,,,,,,,,,,,,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,
