id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2416036573,2,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-05-04T17:30:26.344Z,2022-05-04T18:17:47Z,3546371715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3546371701,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, e8ivbfq0irn8f2p8krhkikzx1, ec1vrqeqni3lmibeazgq62eol, wupxscyf4x7rsjidpmp0wnv9, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, 1o0o6thivoulnmsklkpbwpiad, c705ailfiov40xwoysz0ggct1, 6679bfd6bjylogbe4ebese85x, 88k3tmpcg5ov13cd8b9rxyggl, 38qt5ejhfdsmvetk15rnfozit, e6pdkq17etv9k527m94sqqu39, 8lfnj5bvo97dimx52no42nmqd, 2ft9lpsa9yjlppgi4xah4a8oa",3546371709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3546371703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3546371713,197,723,3546371711,194,5m2ilglr6tlmgs2d4qzk5wno5,3546371705,59,"1, 16, 7, 10, 6, 3, 9, 13, 25, 11, 19, 5, 12, 14, 15, 18, 20, 23, 26, 28",3546371707,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416037257,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2022-05-04T17:34:17.699Z,2022-05-04T18:15:21Z,3546375359,197,6733,3546375353,130,13,3546375351,59,"1, 7, 6, 3, 5, 29, 4, 21, 10, 17, 23, 8, 9, 13, 14, 22, 24, 44",3546375349,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3546375361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3546375357,194,30pcgn07mnn0sk4jp0t7bx9ed,3546375355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3546375347,30,"7f3opq72gey1boxe6vcgmfvth, a1v4wcs80zp79nq6u2efnzgfd, 2zdgbwd6y5u4pd08upf1sda6t, 30pcgn07mnn0sk4jp0t7bx9ed, elelvar8kyxwpfqzwr1v00b85, tzc4bqcf2wkz1k7d96l8g3my, 9mfotw533oa5qs1muu2z8t8lx, 17b5ovdec36ay7c7aod6bhaz9, 1234a1tb7y6trj9xsoqvx0x5h, 1l9ywk95rm7fgpc8nrtsxos0l, enqn8azrcz6vks9d21ze9w2c5, 7kx86ostcp0tfo53g9cpqn7px, 7k4mrc0waac16bjbdt9qth49h, ceww6vauxaqddgogso515rcru, 9b466g9nb282o8ozwq2hr8j8q, 4vgx21i9mmnoud5h6px197f11, 6aaes6ikbmrg75h6asm58wpg5, 3k58ra0i2j2iyqpw1gwgmhtlg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042495,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2022-05-04T18:15:57.986Z,2022-05-04T18:15:58Z,3546405115,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042499,3,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-05-04T18:15:57.986Z,2022-05-04T18:15:58Z,3546405117,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042501,3,1,1,0,1,9ijyncrxsejz505dbadwr1dir,1,50,50,2022-05-04T18:15:59.032Z,2022-05-04T18:16:01Z,3546405121,56,Back,3546405127,212,14.6,3546405129,213,3.6,3546405123,140,37.6,3546405125,141,40.3,3546405131,279,S,,,,,,,1234a1tb7y6trj9xsoqvx0x5h,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042511,4,1,1,0,3,9ijyncrxsejz505dbadwr1dir,1,38.9,38.5,2022-05-04T18:16:01.103Z,2022-05-04T18:16:05Z,3546405201,141,14.1,3546405203,212,17.1,3546405199,140,35.1,3546405205,213,4.5,3546405197,56,Back,,,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042523,5,1,1,0,6,9ijyncrxsejz505dbadwr1dir,0,40,25.5,2022-05-04T18:16:04.968Z,2022-05-04T18:16:12Z,3546405251,140,84.5,3546405253,141,76.3,3546405259,1,,3546405249,56,Center,3546405257,213,0.6,3546405255,212,58.1,,,,,,,tzc4bqcf2wkz1k7d96l8g3my,A. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042525,4,49,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,24.1,25.8,2022-05-04T18:16:10.553Z,2022-05-04T18:16:10Z,,,,,,,,,,,,,,,,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042531,5,1,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,15.1,18.5,2022-05-04T18:16:11.721Z,2022-05-04T18:16:13Z,3546405291,141,36.6,3546405299,213,2.1,3546405289,140,8.3,3546405295,212,14.2,3546405285,56,Back,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042541,6,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,0,8.3,36.6,2022-05-04T18:16:13.352Z,2022-05-04T18:16:15Z,3546405345,213,6.0,3546405343,212,26.6,3546405339,140,32.9,3546405341,141,27.0,3546405337,56,Back,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042543,6,8,1,0,17,9ijyncrxsejz505dbadwr1dir,1,63.3,85,2022-05-04T18:16:15.684Z,2022-05-04T18:16:24Z,3546405353,56,Left,,,,,,,,,,,,,,,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042545,7,5,1,0,18,9ijyncrxsejz505dbadwr1dir,0,67.8,101.5,2022-05-04T18:16:16.399Z,2022-05-04T18:16:22Z,3546405361,347,,3546405359,56,Left,3546405401,233,7,,,,,,,,,,,,,,,,17b5ovdec36ay7c7aod6bhaz9,M. Clémaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042547,7,5,1,0,18,5rurqie3qt1qav9ir5mkqinn,1,32.2,-1.5,2022-05-04T18:16:16.399Z,2022-05-04T18:30:00Z,3546405365,56,Back,3546405385,233,7,3546405367,347,,,,,,,,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042571,8,1,1,0,36,5rurqie3qt1qav9ir5mkqinn,1,25.7,0,2022-05-04T18:16:34.112Z,2022-05-04T18:16:37Z,3546405487,141,8.3,3546405485,140,34.0,3546405489,212,10.9,3546405483,56,Back,3546405481,107,,3546405491,213,0.6,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416042573,9,50,1,0,39,5rurqie3qt1qav9ir5mkqinn,1,33.2,11.2,2022-05-04T18:16:37.688Z,2022-05-04T18:16:39Z,3546405513,285,,3546405509,233,8,3546405495,56,Back,,,,,,,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
