id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/13/value,qualifier/17/value,assist
2672940875,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2024-04-14T16:50:49.258Z,2024-04-14T17:50:44Z,4951437489,194,7julfat1nytmjyt6ylz8xkh5h,4951437475,59,"1, 2, 11, 6, 5, 8, 24, 16, 22, 18, 17, 3, 4, 10, 13, 15, 23, 29, 30, 36",4951437481,130,11,4951437493,197,733,4951437499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4951437485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4951437471,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4951437469,30,"dj6uwcnpw889mq14rvyo8egdm, cytn6o3qnh30ljakz2dfj2k15, d87s67fgowict7935vnwaovs9, 7julfat1nytmjyt6ylz8xkh5h, f204o8gildjfs87uhezqphul0, e39rl5n2uybgh0pmftd01e1nt, dtadpzl4ocembhsgou8zjsjjd, eb7we8p5gqqiplruf94dhr6x, 19npqca9guxs7p2yl5sbjmbx1, elwdifg4h5rxc82vfo1xz7z6d, 29r8ofc6v5wms17o8vq6myw2d, 52mkbnt2oveh76tfrlojocgyd, 4iweh8975rkssez3r9vlk1wfe, 87ann5tlunyp4nzahpl5wqoyd, 59pvotzjierh8rs68s99honl6, d663cfexrp3v2apn3lezq893o, c7giuh90mnvajsobobcbx4ley, 7zzysegxmpit8sz9hcm4ysqac, 4x0c0fhtuohubcm7u16qzr2wa, 149ewlu7836g0ny1swb71mfpw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672941853,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-04-14T16:51:53.868Z,2024-04-14T18:13:22Z,4951442463,30,"e0gysmymetthyhdkn2q54l51x, n70i0c7uk1qxianxoiotqmeh, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, 6ywketcafnc6x3tncvohzesx5, ec1vrqeqni3lmibeazgq62eol, 5qxvej7pcqqr989sba7k0jv85, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, 6679bfd6bjylogbe4ebese85x, 5duflqiee345rp4s7uqkhcq95, 8lfnj5bvo97dimx52no42nmqd, f0afav75l1iz383ozx84b7i3u, b4r8ao63l9irrbv1y5f6iu39w, 70axdagp6dkm3fvv79ofsxfro",4951442473,194,5m2ilglr6tlmgs2d4qzk5wno5,4951442469,130,8,4951442471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4951442475,197,723,4951442465,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4951442467,59,"14, 2, 7, 10, 6, 3, 9, 21, 25, 23, 19, 1, 15, 24, 26, 29, 53, 62",4951442477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987689,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-04-14T17:45:10.454Z,2024-04-15T13:51:00Z,4951699171,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987711,2,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2024-04-14T17:45:10.454Z,2024-04-14T17:45:12Z,4951699287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987759,3,1,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,50,50,2024-04-14T17:45:10.455Z,2024-04-14T17:45:15Z,4951699645,56,Back,4951699649,141,64.6,4951699651,212,19.2,4951699653,213,2.60,4951699647,140,34.3,4951699655,279,S,,,,,,,elwdifg4h5rxc82vfo1xz7z6d,S. Stratigakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987767,4,1,1,0,4,9m7z1upwp3svfn611ejq7d36v,1,34.3,64.6,2024-04-14T17:45:15.115Z,2024-04-14T17:45:48Z,4951699697,56,Center,4951699705,213,5.88,4951699695,157,,4951699707,1,,4951699703,212,37.8,4951699699,140,67.4,4951699701,141,42.8,,,,7julfat1nytmjyt6ylz8xkh5h,M. Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987787,5,1,1,0,5,9m7z1upwp3svfn611ejq7d36v,0,67.4,42.8,2024-04-14T17:45:16.043Z,2024-04-14T17:45:16Z,4951699795,213,5.56,4951699793,212,12.6,4951699787,56,Center,4951699791,141,30.6,4951699785,168,,4951699783,3,,4951699789,140,76.4,,,,f204o8gildjfs87uhezqphul0,B. Aspin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987793,3,49,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,24.6,72.7,2024-04-14T17:45:17.006Z,2024-04-15T16:00:57Z,,,,,,,,,,,,,,,,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987827,4,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,24.8,72.7,2024-04-14T17:45:17.381Z,2024-04-15T16:00:58Z,4951699959,140,27.1,4951699965,213,1.41,4951699961,141,94.7,4951699957,56,Back,4951699963,212,15.2,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672987847,5,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,25.6,94.8,2024-04-14T17:45:18.564Z,2024-04-14T17:45:20Z,4951700065,140,39.8,4951700067,141,94.7,4951700063,56,Back,4951700069,212,14.9,4951700071,213,6.28,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
