id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/12/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,assist
2647084567,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-02-17T11:39:10.288Z,2024-02-17T12:32:46Z,4812225361,130,8,4812225359,59,"27, 6, 15, 10, 4, 21, 23, 16, 22, 7, 17, 5, 8, 9, 11, 12, 28, 36, 91",4812225369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4812225365,194,9ijnmgmapjcnctich86692tw5,4812225355,30,"eofeaerj2f8tm1xldw18e2o5x, 2s15k44faiinj3gz5tswtv4d1, 9parlijxpxnfis96jwy9p37bp, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, dzhvgrdkl4nuj8z4fd9to0ag9, 5c00ea33ei5ie1iauirtge505, c705ailfiov40xwoysz0ggct1, 2a45d0hq84uxfi5t9c65dw7vt, 440p9vyf2bnhoivrea2biq9k9, 3u2e56fhs12qok7truspt65zp, 3alzawtqpfjtb3vez30mbp0mi, ct4fyrkcvk3i01xiz1wpsyuw9, d29d4xtq3ib0nim6keirgdx3p, 1haq2mkmbebj3jbt0z2jom4lx, 1234a1tb7y6trj9xsoqvx0x5h, 531nfsadbv4ajrvu5ffbfog2y, 8btgs1e799s3xyjfqloeg2iju",4812225363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4812225367,197,23043,4812225357,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647085417,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-02-17T11:41:40.735Z,2024-02-17T12:23:19Z,4812229725,59,"14, 15, 7, 21, 27, 3, 9, 13, 25, 10, 24, 1, 11, 12, 19, 23, 32, 53, 86, 62",4812229727,130,8,4812229723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4812229731,194,5m2ilglr6tlmgs2d4qzk5wno5,4812229729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4812229735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4812229721,30,"e0gysmymetthyhdkn2q54l51x, 6679bfd6bjylogbe4ebese85x, e3fa1ou90dirp8yjjterhrs9h, 6ywketcafnc6x3tncvohzesx5, 3kfxvwa38a7oq0d126jm4o9ka, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, e8ivbfq0irn8f2p8krhkikzx1, ec1vrqeqni3lmibeazgq62eol, 5m2ilglr6tlmgs2d4qzk5wno5, 5duflqiee345rp4s7uqkhcq95, dib5a7vebmtxqcksi1tuteklx, wupxscyf4x7rsjidpmp0wnv9, 1o0o6thivoulnmsklkpbwpiad, ddagc0khq0zh1ywynyci8nzrp, 5qxvej7pcqqr989sba7k0jv85, 30z4o4w3iw0frztn9isqwx2ei, b4r8ao63l9irrbv1y5f6iu39w, 77eg5tabeeeyays2pilyq5jo5, 70axdagp6dkm3fvv79ofsxfro",4812229733,197,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110307,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2024-02-17T12:30:10.745Z,2024-02-17T12:30:12Z,4812357227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110303,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-02-17T12:30:10.745Z,2024-02-17T20:50:19Z,4812357217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110329,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,49.8,49.7,2024-02-17T12:30:10.746Z,2024-02-18T14:48:52Z,4812357311,140,41.8,4812357319,279,S,4812357313,141,55.5,4812357317,213,2.70,4812357309,56,Back,4812357315,212,9.3,,,,,,,c705ailfiov40xwoysz0ggct1,N. Parris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110351,4,1,1,0,2,axwnneoekq2f2yq6r1l704y96,1,40.2,54.8,2024-02-17T12:30:13.140Z,2024-02-17T12:30:15Z,4812357421,213,4.09,4812357419,212,9.5,4812357417,141,43.4,4812357413,56,Back,4812357415,140,34.9,,,,,,,,,,9ijnmgmapjcnctich86692tw5,K. Zelem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110383,5,1,1,0,4,axwnneoekq2f2yq6r1l704y96,1,34.9,43.7,2024-02-17T12:30:14.947Z,2024-02-17T12:30:17Z,4812357575,56,Back,4812357577,140,42.1,4812357585,1,,4812357579,141,90.2,4812357583,213,1.34,4812357581,212,32.5,,,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110415,6,1,1,0,6,axwnneoekq2f2yq6r1l704y96,1,42.9,90.2,2024-02-17T12:30:17.603Z,2024-02-17T12:30:20Z,4812357735,141,80.5,4812357737,212,16.6,4812357733,140,28.4,4812357739,213,3.55,4812357731,56,Back,,,,,,,,,,9parlijxpxnfis96jwy9p37bp,G. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110441,7,1,1,0,9,axwnneoekq2f2yq6r1l704y96,1,28.4,72.9,2024-02-17T12:30:20.403Z,2024-02-17T12:30:23Z,4812357897,140,14.8,4812357895,56,Back,4812357899,141,51.5,4812357903,213,3.94,4812357901,212,20.4,,,,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647110453,8,1,1,0,13,axwnneoekq2f2yq6r1l704y96,1,18,54.2,2024-02-17T12:30:23.852Z,2024-02-17T12:30:25Z,4812357955,140,19.7,4812357953,56,Back,4812357957,141,73.0,4812357961,213,1.43,4812357959,212,12.9,,,,,,,,,,eofeaerj2f8tm1xldw18e2o5x,M. Earps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
