id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2688759651,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-05-18T13:20:31.582Z,2024-05-18T13:20:31Z,5037338373,130,8,5037338377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5037338383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5037338379,194,5m2ilglr6tlmgs2d4qzk5wno5,5037338367,30,"e0gysmymetthyhdkn2q54l51x, n70i0c7uk1qxianxoiotqmeh, 6679bfd6bjylogbe4ebese85x, 30z4o4w3iw0frztn9isqwx2ei, 6zaowm8oua2nzpobekogff1lh, e3fa1ou90dirp8yjjterhrs9h, 3sn815dsm0i0rnw9nigjyb0et, 6ywketcafnc6x3tncvohzesx5, 5qxvej7pcqqr989sba7k0jv85, 5m2ilglr6tlmgs2d4qzk5wno5, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, wupxscyf4x7rsjidpmp0wnv9, 1o0o6thivoulnmsklkpbwpiad, 8lfnj5bvo97dimx52no42nmqd, 3kfxvwa38a7oq0d126jm4o9ka, f0afav75l1iz383ozx84b7i3u, dzcslji43ovtyyvy37dewv2fo, 4payujvwgv750r4y1eeprn1g4, 70axdagp6dkm3fvv79ofsxfro",5037338381,197,723,5037338369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5037338371,59,"14, 2, 15, 32, 6, 7, 9, 21, 23, 10, 19, 1, 11, 12, 26, 27, 29, 40, 59, 62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688759707,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-05-18T13:20:37.040Z,2024-05-18T13:59:52Z,5037338705,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5037338703,30,"el8c138wsa0bnop68caop5uxh, dld1dfaxrkcje24pmw72odzpw, 8lf62k2iwmb23gywex08s6m09, 5t9mthxv6kthq6tnntv5q4fdh, 18f6a50q9okw7dcii40i8vd91, 589yqifloa5j7qwp2gnemyml1, 5ye5h1o9ndhfeqdi8mh4f9une, 8iu9bdow1xgzswzl78cbioyxh, brs6i21j86k1w7cpgzorrxxwp, 5zscs0qkg39k01a2n0qu9tvkk, 1yyfd17df158m5eymkechszpx, 6kitz3oodxt3ejj5u0fwzhhat, 7b1gryih37fohrff85f13o4ph, af3x1ptiil8vti00lxf1x8ewa, af52uy5fmw1y9o4eq1sststex, 7oxif0j9hg9lpvrmqj8ocdnmd, 4uest450f12ikgunglu92j0tl, eq2jik3786ugqy6nfqtm0u0ic, 9a9duwov05qk8frerrpxm3hn8",5037338707,59,"32, 14, 3, 6, 5, 2, 22, 10, 11, 21, 9, 7, 16, 18, 20, 26, 28, 44, 45",5037338715,197,12383,5037338709,130,4,5037338717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5037338713,194,5t9mthxv6kthq6tnntv5q4fdh,5037338711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688798867,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-05-18T14:00:31.692Z,2024-05-18T14:00:31Z,5037514541,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688798879,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2024-05-18T14:00:31.692Z,2024-05-18T14:00:33Z,5037514593,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688798887,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50,2024-05-18T14:00:31.750Z,2024-05-18T14:00:35Z,5037514621,141,53.0,5037514619,140,25.5,5037514617,56,Back,5037514625,213,3.06,5037514627,279,S,5037514623,212,25.8,,,,,,,5zscs0qkg39k01a2n0qu9tvkk,M. Haley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688798955,4,1,1,0,3,dcdnoyf6kzhj46iyfm7xq43fy,0,25.6,51.5,2024-05-18T14:00:35.073Z,2024-05-18T14:00:37Z,5037514951,212,54.3,5037514949,141,13.4,5037514939,157,,5037514953,213,5.79,5037514955,1,,5037514943,56,Right,5037514947,140,71.0,,,,8iu9bdow1xgzswzl78cbioyxh,J. Zigiotti Olme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799031,3,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,27.4,84.7,2024-05-18T14:00:37.661Z,2024-05-18T14:00:40Z,5037515187,56,Back,5037515193,212,12.5,5037515195,213,0.24,5037515185,3,,5037515189,140,39.0,5037515191,141,89.0,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799043,4,61,1,0,8,5rurqie3qt1qav9ir5mkqinn,0,39,89,2024-05-18T14:00:40.172Z,2024-05-18T14:00:40Z,5037515223,56,Back,,,,,,,,,,,,,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799061,5,49,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,46,61.5,2024-05-18T14:00:42.380Z,2024-05-18T14:00:51Z,,,,,,,,,,,,,,,,,,,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688799183,6,1,1,0,14,5rurqie3qt1qav9ir5mkqinn,1,48.2,51,2024-05-18T14:00:45.876Z,2024-05-18T14:00:51Z,5037515861,213,5.17,5037515859,212,35.9,5037515855,140,63.3,5037515857,141,3.7,5037515853,56,Right,5037515863,1,,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
