id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2617378025,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-11-12T17:51:41.165Z,2023-11-12T18:48:53Z,4654246845,59,"1, 15, 7, 32, 28, 3, 24, 21, 23, 12, 19, 9, 11, 14, 16, 17, 22, 25, 40, 53",4654246853,197,723,4654246847,130,8,4654246843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4654246855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4654246851,194,6679bfd6bjylogbe4ebese85x,4654246839,30,"dib5a7vebmtxqcksi1tuteklx, 6679bfd6bjylogbe4ebese85x, e3fa1ou90dirp8yjjterhrs9h, 30z4o4w3iw0frztn9isqwx2ei, dz2s92nqmnrw691jia8e6phw5, bd1752qgxbodnsgdus42fc99l, 5duflqiee345rp4s7uqkhcq95, 6ywketcafnc6x3tncvohzesx5, 5qxvej7pcqqr989sba7k0jv85, 1o0o6thivoulnmsklkpbwpiad, ddagc0khq0zh1ywynyci8nzrp, 3sn815dsm0i0rnw9nigjyb0et, wupxscyf4x7rsjidpmp0wnv9, e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 3i4ljm3hqc6wg8s6l4onlagut, 24qwx85sfxy0r8pld85w7tzze, ec1vrqeqni3lmibeazgq62eol, dzcslji43ovtyyvy37dewv2fo, b4r8ao63l9irrbv1y5f6iu39w",4654246849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617381767,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-11-12T17:55:14.616Z,2023-11-12T19:06:14Z,4654266881,130,8,4654266875,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 4r1z04gidueqs684yxeyrq8ve, brdcdz9kn3vsijb2l5rbbgudx, 5mcszf3yuxwxcggl8ds2v1a7d, d3qtg5xhiwe3zamb4mh50whjp, 3322apmmg9crui9646d4cbm5l, 3km1u2mw1tkioh2mucow7d1pl, 9gk2t1276n9yt0nvgakzr82c5, 15ueea8j21zale5d23rifkct1, 7f7tbbjqhhyydjj4wurm28xcl, 9hg49yzetkhd28qq5lvya91bd, 7m31qpkmuh3amb6navttdlvpx, 9mfotw533oa5qs1muu2z8t8lx, 2xphfksgb05a8z4e9328mywvd, 1ct6g590mpcg14jw94v4g2tm2, bxrfg32lc9sspg2ewx160yqxh, 32qdycwtlahk754bdqjsowduc, cxn46t7y57p1u243wp7dy8ydw, e9d84gt62onfgxr33f0t8g178",4654266877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4654266889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4654266885,194,3km1u2mw1tkioh2mucow7d1pl,4654266879,59,"1, 4, 2, 8, 17, 5, 7, 3, 9, 11, 21, 6, 10, 14, 19, 20, 23, 32, 13, 41",4654266883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4654266887,197,9086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425491,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-11-12T18:46:16.620Z,2023-11-13T15:46:17Z,4654499587,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425497,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-11-12T18:46:16.620Z,2023-11-12T18:46:18Z,4654499621,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425527,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,50,50,2023-11-12T18:46:16.621Z,2023-11-12T18:46:19Z,4654499771,56,Back,4654499781,279,S,4654499779,213,3.56,4654499775,141,39.7,4654499777,212,17.2,4654499773,140,35.0,,,,,,,9gk2t1276n9yt0nvgakzr82c5,L. Petermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425611,4,1,1,0,6,28u3q82ip96ahymkup01vfxli,1,36.3,41,2023-11-12T18:46:23.135Z,2023-11-12T18:46:24Z,4654500223,212,16.8,4654500217,141,38.8,4654500225,213,3.23,4654500209,56,Back,4654500213,140,20.4,,,,,,,,,,3km1u2mw1tkioh2mucow7d1pl,S. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425665,5,1,1,0,7,28u3q82ip96ahymkup01vfxli,1,22,53.1,2023-11-12T18:46:24.312Z,2023-11-12T18:46:27Z,4654500485,140,19.6,4654500483,56,Back,4654500487,141,76.0,4654500489,212,15.8,4654500491,213,1.73,,,,,,,,,,5mcszf3yuxwxcggl8ds2v1a7d,J. Thibaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425717,6,1,1,0,10,28u3q82ip96ahymkup01vfxli,1,20.4,78.8,2023-11-12T18:46:27.256Z,2023-11-12T18:46:30Z,4654500775,141,96.9,4654500773,140,32.9,4654500777,212,18.0,4654500779,213,0.75,4654500771,56,Back,,,,,,,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425795,7,2,1,0,13,28u3q82ip96ahymkup01vfxli,1,37,97.7,2023-11-12T18:46:30.344Z,2023-11-12T18:47:03Z,4654501347,56,Center,4654501271,140,56.7,4654501345,7,9gk2t1276n9yt0nvgakzr82c5,4654501273,141,74.1,,,,,,,,,,,,,4r1z04gidueqs684yxeyrq8ve,C. Nevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617425797,3,55,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,46.2,25.2,2023-11-12T18:46:30.345Z,2023-11-13T16:01:16Z,4656594101,189,,,,,,,,,,,,,,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
