id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2600653229,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-10-06T17:38:49.078Z,2023-10-06T20:32:58Z,4564975491,197,17445,4564975481,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4564975487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4564975493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4564975479,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, 3kfxvwa38a7oq0d126jm4o9ka, d9zt8e8lnk9a22we6o6wqyndh, dz2s92nqmnrw691jia8e6phw5, 6ywketcafnc6x3tncvohzesx5, e8ivbfq0irn8f2p8krhkikzx1, ec1vrqeqni3lmibeazgq62eol, 5qxvej7pcqqr989sba7k0jv85, 5m2ilglr6tlmgs2d4qzk5wno5, dib5a7vebmtxqcksi1tuteklx, bd1752qgxbodnsgdus42fc99l, 1o0o6thivoulnmsklkpbwpiad, 6679bfd6bjylogbe4ebese85x, 3i4ljm3hqc6wg8s6l4onlagut, ddagc0khq0zh1ywynyci8nzrp, 24qwx85sfxy0r8pld85w7tzze, 5duflqiee345rp4s7uqkhcq95, 30z4o4w3iw0frztn9isqwx2ei",4564975483,59,"14, 16, 7, 27, 5, 28, 21, 13, 25, 23, 10, 1, 3, 12, 15, 17, 19, 22, 24, 32",4564975485,130,13,4564975489,194,5m2ilglr6tlmgs2d4qzk5wno5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600658663,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-10-06T17:46:07.399Z,2023-10-06T20:32:59Z,4565003703,130,8,4565003707,194,9ijnmgmapjcnctich86692tw5,4565003705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4565003709,197,8474,4565003711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4565003697,30,"eofeaerj2f8tm1xldw18e2o5x, 2s15k44faiinj3gz5tswtv4d1, 8e7wbpcbwxvdz0fojwuyov3rp, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 440p9vyf2bnhoivrea2biq9k9, 1haq2mkmbebj3jbt0z2jom4lx, dzhvgrdkl4nuj8z4fd9to0ag9, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 83pm1s4c5h4epnnyw9xep3w2c, ct4fyrkcvk3i01xiz1wpsyuw9, 13up673x1kzlwwi22awilagvd, 9parlijxpxnfis96jwy9p37bp, 5c00ea33ei5ie1iauirtge505, enh0z58rrftq2m6hybzhgf65l, c705ailfiov40xwoysz0ggct1, 1234a1tb7y6trj9xsoqvx0x5h, 8btgs1e799s3xyjfqloeg2iju",4565003701,59,"27, 6, 3, 10, 4, 21, 17, 12, 23, 7, 11, 25, 9, 14, 15, 16, 20, 22, 28, 91",4565003699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600699777,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-10-06T18:30:01.271Z,2023-10-06T23:38:21Z,4565217515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600699771,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-10-06T18:30:01.271Z,2023-10-06T18:30:01Z,4565217477,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600699835,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50.1,50.3,2023-10-06T18:30:01.272Z,2023-10-06T18:30:04Z,4565217793,140,33.0,4565217797,141,43.3,4565217813,279,S,4565217791,56,Back,4565217807,213,3.40,4565217803,212,18.6,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600699867,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,32.2,44.3,2023-10-06T18:30:04.771Z,2023-10-06T18:30:06Z,4565217953,141,70.3,4565217957,213,1.52,4565217955,212,17.7,4565217951,140,33.0,4565217949,56,Back,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600699939,5,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,32.3,70,2023-10-06T18:30:06.659Z,2023-10-06T18:30:11Z,4565218299,213,4.77,4565218293,140,34.3,4565218297,212,37.9,4565218295,141,14.3,4565218291,56,Back,4565218301,1,,,,,,,,3kfxvwa38a7oq0d126jm4o9ka,Laia Codina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600700063,6,2,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,37.6,7,2023-10-06T18:30:11.026Z,2023-10-06T18:30:18Z,4565218891,140,82.3,4565219035,1,,4565219037,56,Right,4565219033,7,ec1vrqeqni3lmibeazgq62eol,4565218893,141,12.2,,,,,,,,,,dz2s92nqmnrw691jia8e6phw5,A. Ilestedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600700035,3,55,1,0,9,axwnneoekq2f2yq6r1l704y96,1,36.5,70.3,2023-10-06T18:30:11.027Z,2023-10-06T23:40:33Z,,,,,,,,,,,,,,,,,,,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600700261,4,1,1,0,25,axwnneoekq2f2yq6r1l704y96,1,35.3,96.2,2023-10-06T18:30:26.824Z,2023-10-06T18:30:29Z,4565219901,141,83.2,4565219891,241,,4565219895,56,Back,4565219903,212,14.7,4565219889,5,,4565219905,213,3.79,4565219899,140,24.1,,,,8e7wbpcbwxvdz0fojwuyov3rp,G. George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
