id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2607163961,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-10-22T16:50:11.269Z,2023-10-22T17:47:12Z,4599600823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4599600831,194,5m2ilglr6tlmgs2d4qzk5wno5,4599600825,59,"1, 16, 7, 13, 3, 27, 15, 21, 23, 10, 19, 5, 9, 11, 12, 14, 22, 24, 25, 32",4599600827,130,8,4599600821,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, e8ivbfq0irn8f2p8krhkikzx1, bd1752qgxbodnsgdus42fc99l, 3kfxvwa38a7oq0d126jm4o9ka, 6679bfd6bjylogbe4ebese85x, 6ywketcafnc6x3tncvohzesx5, 5qxvej7pcqqr989sba7k0jv85, 5m2ilglr6tlmgs2d4qzk5wno5, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, 3sn815dsm0i0rnw9nigjyb0et, wupxscyf4x7rsjidpmp0wnv9, 1o0o6thivoulnmsklkpbwpiad, e0gysmymetthyhdkn2q54l51x, 24qwx85sfxy0r8pld85w7tzze, 5duflqiee345rp4s7uqkhcq95, ec1vrqeqni3lmibeazgq62eol, 30z4o4w3iw0frztn9isqwx2ei",4599600835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4599600829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4599600833,197,17445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607166723,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2023-10-22T16:52:59.107Z,2023-10-22T17:54:41Z,4599616449,197,733,4599616441,59,"13, 2, 11, 4, 6, 5, 24, 10, 17, 8, 23, 31, 3, 9, 12, 15, 16, 28, 29, 44",4599616433,30,"59pvotzjierh8rs68s99honl6, cytn6o3qnh30ljakz2dfj2k15, d87s67fgowict7935vnwaovs9, 4iweh8975rkssez3r9vlk1wfe, 7julfat1nytmjyt6ylz8xkh5h, f204o8gildjfs87uhezqphul0, dtadpzl4ocembhsgou8zjsjjd, 87ann5tlunyp4nzahpl5wqoyd, 29r8ofc6v5wms17o8vq6myw2d, e39rl5n2uybgh0pmftd01e1nt, c7giuh90mnvajsobobcbx4ley, 72qe4dytae51w1qu3mwfg2904, 52mkbnt2oveh76tfrlojocgyd, 79ecym8dg7y8fcz3ght0zaj56, 65orx23r778zp8p3ogo9k5ot1, d663cfexrp3v2apn3lezq893o, eb7we8p5gqqiplruf94dhr6x, ajtzhe77u5rz8jdadqgybuaz8, 7zzysegxmpit8sz9hcm4ysqac, 7gslai7b2mkllvzelqo0rknvt",4599616447,194,7julfat1nytmjyt6ylz8xkh5h,4599616445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4599616451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4599616437,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4599616443,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209237,2,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2023-10-22T17:45:33.043Z,2023-10-23T14:16:09Z,4599854013,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209235,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-10-22T17:45:33.043Z,2023-10-22T17:45:33Z,4599854009,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209265,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.6,49.6,2023-10-22T17:45:33.044Z,2023-10-22T17:45:35Z,4599854169,213,2.96,4599854171,279,S,4599854167,212,10.7,4599854165,141,52.4,4599854163,140,39.6,4599854159,56,Back,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209311,4,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,38.2,53.9,2023-10-22T17:45:35.023Z,2023-10-22T17:45:37Z,4599854389,212,12.3,4599854387,141,63.7,4599854385,140,28.4,4599854391,213,2.57,4599854383,56,Back,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209401,5,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,34.2,61.2,2023-10-22T17:45:37.895Z,2023-10-22T17:47:44Z,4599855007,141,36.1,4599855009,212,17.1,4599855005,140,34.1,4599855011,213,4.71,4599855003,56,Back,,,,,,,,,,3kfxvwa38a7oq0d126jm4o9ka,Laia Codina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209431,6,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,37.2,40,2023-10-22T17:45:43.231Z,2023-10-23T14:17:49Z,4599855193,213,1.68,4599855177,56,Back,4599855189,212,12.9,4599855185,141,58.8,4599855181,140,35.9,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607211553,42,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,35,55.9,2023-10-22T17:45:45.977Z,2023-10-22T17:48:37Z,4599869123,212,19.8,4599869121,141,27.0,4599869113,56,Back,4599869125,213,4.81,4599869117,140,36.9,,,,,,,,,,3kfxvwa38a7oq0d126jm4o9ka,Laia Codina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607209473,7,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,36.8,34.6,2023-10-22T17:45:48.199Z,2023-10-22T17:45:51Z,4599855451,212,27.8,4599855453,213,5.62,4599855449,141,9.4,4599855447,140,57.7,4599855445,56,Right,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
