id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,assist,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,keyPass
2627252403,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-12-10T11:35:33.266Z,2023-12-10T11:35:33Z,4706894691,194,66f0rjs4c2yih8phn6meyj74l,4706894681,30,"6fi5hacjc8lj8zej0d2lfq66t, 6ypmyozp8zmq4tk36n49oz5xx, c0my4y3kjf7jbbfujj5l8e8yx, cij18xj0bx2zyx3mi9xwykn9x, daqovjw2z3rsq6rs1vq38980l, 9ohn9m84cy89huz745lirkted, 2m6wew2746q1xsoio3703t8t1, agdmqurwrf5k6izewj4voxcdl, 66f0rjs4c2yih8phn6meyj74l, ek8x7y3jt0xcebttt75qi5exh, 9n2d2dv38kp2exb7z3xh2ykiy, 6xrzl8rljlz8zmlaj69qqktlh, drui01747q8utggzizrs6n2i2, amox5xqwe8gybft16wa7qbufp, 1cfhmihovl78l8osqbo1w9nth, ehmzgi988h8g6rgekp3qivkr9, 8m3okb64mh1m7dfmp0km4wct1, 6bejfvxorcqyawi2fmk2kbco9, 4wxqckb43bkeobwanys62zvmd, 69nz7p1izpw4i8tle2c8hls2y",4706894689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4706894683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4706894693,197,735,4706894687,130,8,4706894685,59,"30, 15, 21, 22, 18, 7, 19, 6, 20, 17, 10, 1, 2, 5, 11, 12, 14, 24, 26, 33",4706894695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627253533,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-12-10T11:37:19.359Z,2023-12-10T14:09:38Z,4706900189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4706900199,197,14089,4706900195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4706900193,130,8,4706900197,194,5m2ilglr6tlmgs2d4qzk5wno5,4706900187,30,"dib5a7vebmtxqcksi1tuteklx, 6679bfd6bjylogbe4ebese85x, e3fa1ou90dirp8yjjterhrs9h, e8ivbfq0irn8f2p8krhkikzx1, dz2s92nqmnrw691jia8e6phw5, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, 6ywketcafnc6x3tncvohzesx5, 5qxvej7pcqqr989sba7k0jv85, 5m2ilglr6tlmgs2d4qzk5wno5, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, wupxscyf4x7rsjidpmp0wnv9, 1o0o6thivoulnmsklkpbwpiad, e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 5duflqiee345rp4s7uqkhcq95, ec1vrqeqni3lmibeazgq62eol, 3kfxvwa38a7oq0d126jm4o9ka, 30z4o4w3iw0frztn9isqwx2ei",4706900191,59,"1, 15, 7, 13, 28, 3, 9, 21, 23, 10, 19, 5, 11, 12, 14, 16, 24, 25, 27, 32",4706900201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285071,3,43,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-12-10T12:30:11.834Z,2023-12-10T12:30:36Z,4707065573,279,S,4707065569,212,17.5,4707065571,213,2.61,4707065563,56,Back,4707067271,144,1,4707065567,141,63.1,4707065565,140,35.8,,,,ek8x7y3jt0xcebttt75qi5exh,J. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285053,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-12-10T12:30:23.137Z,2023-12-10T17:39:51Z,4707065497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285063,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-12-10T12:30:23.137Z,2023-12-10T12:30:24Z,4707065533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285303,4,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,49.7,50.1,2023-12-10T12:30:23.138Z,2023-12-10T12:30:27Z,4707066747,213,2.68,4707066743,141,60.6,4707066745,212,16.0,4707066749,279,S,4707066739,56,Back,4707066741,140,36.1,,,,,,,ek8x7y3jt0xcebttt75qi5exh,J. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285351,5,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,1,37.3,61.2,2023-12-10T12:30:27.861Z,2023-12-10T12:30:31Z,4707066951,212,41.8,4707066949,141,69.7,4707066955,1,,4707066943,157,,4707066947,140,76.7,4707066953,213,0.14,4707066945,56,Center,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285357,6,44,1,0,6,spi3g782q7m4evjxn1sv6cfa,1,73.2,71.4,2023-12-10T12:30:29.431Z,2023-12-10T12:30:31Z,4707066977,286,,4707066975,56,Center,4707066993,233,3,,,,,,,,,,,,,,,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285329,3,44,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,26.8,28.6,2023-12-10T12:30:29.432Z,2023-12-10T12:30:31Z,4707066849,56,Back,4707066851,285,,4707067003,233,6,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285373,7,1,1,0,6,spi3g782q7m4evjxn1sv6cfa,0,76.7,69.4,2023-12-10T12:30:30.101Z,2023-12-10T22:06:08Z,4707067061,56,Left,4707067059,168,,4707067069,213,1.37,4707067065,141,100.0,4707067067,212,22.2,4707067063,140,81.0,4707067057,3,,,,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285487,4,5,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,15.6,-1,2023-12-10T12:30:32.028Z,2023-12-10T12:30:42Z,4707067649,56,Back,4707067651,347,,4707067665,233,8,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285377,8,5,1,0,8,spi3g782q7m4evjxn1sv6cfa,0,84.4,101,2023-12-10T12:30:32.028Z,2023-12-10T13:03:46Z,4707067091,56,Left,4707067093,347,,4707067677,233,4,,,,,,,,,,,,,,,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627285505,5,1,1,0,18,5rurqie3qt1qav9ir5mkqinn,0,15.6,0,2023-12-10T12:30:41.992Z,2023-12-10T12:30:43Z,4707067735,1,,4707067729,212,22.3,4707067721,107,,4707067725,140,36.5,4707067731,213,0.17,4707067723,56,Back,4707067727,141,4.3,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
