id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2619095041,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-11-19T13:07:32.043Z,2023-11-19T15:45:23Z,4663376129,59,"1, 16, 15, 21, 28, 3, 9, 32, 25, 23, 19, 7, 12, 13, 17, 22, 24, 27, 40",4663376125,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, 6ywketcafnc6x3tncvohzesx5, dz2s92nqmnrw691jia8e6phw5, bd1752qgxbodnsgdus42fc99l, 3sn815dsm0i0rnw9nigjyb0et, 30z4o4w3iw0frztn9isqwx2ei, ec1vrqeqni3lmibeazgq62eol, 5qxvej7pcqqr989sba7k0jv85, ddagc0khq0zh1ywynyci8nzrp, e3fa1ou90dirp8yjjterhrs9h, 1o0o6thivoulnmsklkpbwpiad, e8ivbfq0irn8f2p8krhkikzx1, 3i4ljm3hqc6wg8s6l4onlagut, 24qwx85sfxy0r8pld85w7tzze, 5duflqiee345rp4s7uqkhcq95, 3kfxvwa38a7oq0d126jm4o9ka, dzcslji43ovtyyvy37dewv2fo",4663376131,130,8,4663376127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4663376135,194,6679bfd6bjylogbe4ebese85x,4663376137,197,14089,4663376133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4663376139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619096263,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-11-19T13:11:55.866Z,2023-11-20T11:48:46Z,4663383419,59,"32, 26, 16, 14, 5, 2, 22, 10, 11, 6, 8, 1, 3, 7, 9, 15, 17, 18, 33, 40",4663383415,30,"el8c138wsa0bnop68caop5uxh, 7oxif0j9hg9lpvrmqj8ocdnmd, 7b1gryih37fohrff85f13o4ph, dld1dfaxrkcje24pmw72odzpw, 18f6a50q9okw7dcii40i8vd91, 589yqifloa5j7qwp2gnemyml1, 5ye5h1o9ndhfeqdi8mh4f9une, 8iu9bdow1xgzswzl78cbioyxh, brs6i21j86k1w7cpgzorrxxwp, 5t9mthxv6kthq6tnntv5q4fdh, 52w10pe7mkfv4twb2p2c5ugnp, 3nk1zf254vq0uqes1p44gm5ed, 8lf62k2iwmb23gywex08s6m09, 6kitz3oodxt3ejj5u0fwzhhat, 1yyfd17df158m5eymkechszpx, e92dhtbmplze1f1wdgpr1crca, 25u358p365rnbnt0cptnyt3h1, af3x1ptiil8vti00lxf1x8ewa, 2f4hcj6hiibvouvzcthpwbeju, 6r271sec7c84p1vqi2b1p5td5",4663383427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4663383423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4663383425,197,5135,4663383417,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4663383421,130,11,4663440797,194,5t9mthxv6kthq6tnntv5q4fdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107369,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-11-19T14:00:05.970Z,2023-11-19T14:00:07Z,4663441057,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107365,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-11-19T14:00:05.970Z,2023-11-20T07:18:57Z,4663441043,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107377,3,1,1,0,1,dcdnoyf6kzhj46iyfm7xq43fy,1,49.8,49.6,2023-11-19T14:00:06.971Z,2023-11-20T07:18:59Z,4663441101,212,5.8,4663441095,56,Back,4663441097,140,44.4,4663441105,279,S,4663441099,141,51.2,4663441103,213,2.95,,,,,,,brs6i21j86k1w7cpgzorrxxwp,E. Terland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107379,4,1,1,0,2,dcdnoyf6kzhj46iyfm7xq43fy,1,46.2,53.2,2023-11-19T14:00:08.036Z,2023-11-20T07:19:38Z,4663441135,212,11.9,4663441133,141,39.6,4663441137,213,5.39,4663441129,56,Center,4663441131,140,53.3,,,,,,,,,,8iu9bdow1xgzswzl78cbioyxh,J. Zigiotti Olme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107381,5,1,1,0,4,dcdnoyf6kzhj46iyfm7xq43fy,0,54.8,41.5,2023-11-19T14:00:10.053Z,2023-11-20T07:19:47Z,4663441145,141,38.6,4663441147,212,8.9,4663441143,140,63.1,4663441149,213,6.06,4663441141,56,Center,,,,,,,,,,5ye5h1o9ndhfeqdi8mh4f9une,K. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107383,3,8,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,34.5,61.2,2023-11-19T14:00:10.959Z,2023-11-20T07:19:51Z,4663441151,56,Back,4664391473,383,,,,,,,,,,,,,,,,,,,,30z4o4w3iw0frztn9isqwx2ei,K. Cooney-Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107387,4,49,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,35.3,67.9,2023-11-19T14:00:11.548Z,2023-11-19T14:00:11Z,,,,,,,,,,,,,,,,,,,,,,,,,30z4o4w3iw0frztn9isqwx2ei,K. Cooney-Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619107389,5,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,34.7,68.4,2023-11-19T14:00:12.077Z,2023-11-20T07:19:52Z,4663441161,141,88.1,4663441159,140,26.7,4663441165,213,2.13,4663441157,56,Back,4663441163,212,15.8,,,,,,,,,,30z4o4w3iw0frztn9isqwx2ei,K. Cooney-Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
