id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2254841679,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-01-17T13:24:12.943Z,2021-01-17T14:30:56Z,2700776945,194,b4q51nzxmgax7on17s1wpx5ud,2700776947,197,5141,2700776935,30,"5op3c93qca8mh67vkwrb3tvpx, 9aqd23yr1m4z50iv96k04apqt, 16gnoas9x34hm887omkmeee39, 93d5k82qrmjr894k2hp5aril1, 4lshrw6i3uk9kx4kiutn06iuh, elelvar8kyxwpfqzwr1v00b85, 9aqn77y0knb58698qj46eee39, z8vdz64bgqus4c85451nsrf9, 7grp6mb5milt6wp91mdoti7rp, b4q51nzxmgax7on17s1wpx5ud, ce4cgftejsd46a0rahih0divp, 8lhwl2mbtvfxbd8gmp33twq1h, bm0sk7z0mcywoax9eh1ud8out, da8ymxqy00lunda8tq9oltuj9, dzt32qmjdypjrjy924x76a6p6, 4jp1chw4qvlt7gntuvuci77ys, exbkdykziyadboreu8q2uf6y, cannlc91eqjjy24i7keyvyaui, 697f94lwz4x5pxljm2qsrakq2",2700776943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2700776939,59,"1, 2, 3, 8, 14, 5, 9, 6, 10, 11, 23, 4, 16, 18, 29, 31, 32, 36, 72",2700776937,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",2700776941,130,2,2700776949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254842971,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-01-17T13:27:32.021Z,2021-01-17T14:14:22Z,2700782921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2700782913,59,"1, 21, 13, 15, 3, 4, 10, 14, 11, 17, 7, 5, 6, 9, 16, 18, 19, 20, 24, 30",2700782919,197,725,2700782915,130,24,2700810031,194,5m2ilglr6tlmgs2d4qzk5wno5,2700782909,30,"dib5a7vebmtxqcksi1tuteklx, 4167ohgdcac1u3iqaygye52ax, e8ivbfq0irn8f2p8krhkikzx1, 6679bfd6bjylogbe4ebese85x, bd1752qgxbodnsgdus42fc99l, 9cjjs4piq3t12iltsfon52h91, 5m2ilglr6tlmgs2d4qzk5wno5, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 19npqca9guxs7p2yl5sbjmbx1, 28yvc8jmyyfavb0hetafjdadx, d9zt8e8lnk9a22we6o6wqyndh, 6zaowm8oua2nzpobekogff1lh, 3sn815dsm0i0rnw9nigjyb0et, 8jooatan3cxd38v2jyf23pot1, 88k3tmpcg5ov13cd8b9rxyggl, ddagc0khq0zh1ywynyci8nzrp, c4ptt043q3lm4npuwpyviprdh, 57evg5do7x9gpg9dn17p1tu22, 60q198d41n3y887jeiezr850q",2700782911,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",2700782917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868519,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-01-17T14:01:01.646Z,2021-01-17T14:01:01Z,2700895581,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868535,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-01-17T14:01:01.646Z,2021-01-17T14:01:02Z,2700895621,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868613,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,49.9,50,2021-01-17T14:01:03.316Z,2021-01-17T14:01:05Z,2700895939,140,37.4,2700895947,279,S,2700895941,141,48.8,2700895943,212,13.2,2700895945,213,3.2,2700895937,56,Back,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868667,4,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,41.1,43.1,2021-01-17T14:01:05.766Z,2021-01-17T14:01:09Z,2700896169,212,26.7,2700896163,56,Back,2700896165,140,46.3,2700896171,213,4.9,2700896167,141,4.6,,,,,,,,,,4167ohgdcac1u3iqaygye52ax,M. Gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868721,5,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,0,54,7.4,2021-01-17T14:01:09.040Z,2021-01-17T14:01:12Z,2700896443,213,6.2,2700896439,141,5.0,2700896445,1,,2700896437,140,100.0,2700896441,212,49.1,2700896433,155,,2700896435,56,Right,,,,9cjjs4piq3t12iltsfon52h91,A. Patten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868767,4,5,1,0,10,bsbugp9qfasrrtg55bf7evvwv,1,-0.9,92,2021-01-17T14:01:12.575Z,2021-01-17T14:26:39Z,2700896681,56,Back,2700896701,233,6,2700896683,346,,,,,,,,,,,,,,,,,9aqd23yr1m4z50iv96k04apqt,K. Leine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868723,6,5,1,0,10,5rurqie3qt1qav9ir5mkqinn,0,100.9,8,2021-01-17T14:01:12.575Z,2021-01-17T14:01:17Z,2700896451,346,,2700896735,233,4,2700896449,56,Right,,,,,,,,,,,,,,,,9cjjs4piq3t12iltsfon52h91,A. Patten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254868761,3,43,1,0,11,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2021-01-17T14:01:13.279Z,2021-01-17T14:01:19Z,2700896649,285,0,2700896647,56,Back,2700896941,144,44,,,,,,,,,,,,,,,,9aqd23yr1m4z50iv96k04apqt,K. Leine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869137,5,1,1,0,34,bsbugp9qfasrrtg55bf7evvwv,1,4.2,54.2,2021-01-17T14:01:35.653Z,2021-01-17T14:01:38Z,2700898521,212,14.4,2700898519,141,72.9,2700898523,213,1.1,2700898517,140,10.7,2700898515,56,Back,2700898513,124,,2700898527,237,,,,,5op3c93qca8mh67vkwrb3tvpx,G. Moloney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869187,6,1,1,0,36,bsbugp9qfasrrtg55bf7evvwv,1,10.7,72.9,2021-01-17T14:01:38.565Z,2021-01-17T14:01:41Z,2700898763,213,0.7,2700898761,212,22.7,2700898753,56,Back,2700898759,141,94.1,2700898757,140,27.4,,,,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869267,7,1,1,0,39,bsbugp9qfasrrtg55bf7evvwv,1,27.4,94.1,2021-01-17T14:01:41.366Z,2021-01-17T14:01:46Z,2700899167,56,Back,2700899171,141,69.3,2700899169,140,36.6,2700899173,212,19.4,2700899175,213,5.2,,,,,,,,,,elelvar8kyxwpfqzwr1v00b85,M. Bartrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869273,8,61,1,0,42,bsbugp9qfasrrtg55bf7evvwv,0,36.6,69.3,2021-01-17T14:01:43.974Z,2021-01-17T14:27:32Z,2700899195,56,Back,,,,,,,,,,,,,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869259,7,49,1,0,43,5rurqie3qt1qav9ir5mkqinn,1,69,15,2021-01-17T14:01:45.105Z,2021-01-17T14:01:45Z,,,,,,,,,,,,,,,,,,,,,,,,,4167ohgdcac1u3iqaygye52ax,M. Gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869363,8,1,1,0,45,5rurqie3qt1qav9ir5mkqinn,1,60.9,16.1,2021-01-17T14:01:47.574Z,2021-01-17T14:01:51Z,2700899581,140,53.5,2700899601,213,4.0,2700899579,56,Right,2700899593,212,11.5,2700899587,141,3.7,,,,,,,,,,4167ohgdcac1u3iqaygye52ax,M. Gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869439,9,4,1,0,49,5rurqie3qt1qav9ir5mkqinn,1,57.2,9,2021-01-17T14:01:51.129Z,2021-01-17T14:18:52Z,2700899981,286,,2700899973,13,,2700899979,265,,2700899977,152,,2700986819,233,9,2700899975,56,Right,,,,,,,9cjjs4piq3t12iltsfon52h91,A. Patten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869625,9,4,1,0,49,bsbugp9qfasrrtg55bf7evvwv,0,42.8,91,2021-01-17T14:01:51.130Z,2021-01-17T14:18:53Z,2700986835,233,9,2700900875,56,Back,2700900873,13,,2700900877,152,,2700900881,285,,2700900879,265,,,,,,,,9aqn77y0knb58698qj46eee39,A. Eikeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869715,10,1,1,1,7,5rurqie3qt1qav9ir5mkqinn,1,58.5,2,2021-01-17T14:02:08.738Z,2021-01-17T14:02:11Z,2700901283,212,8.9,2700901281,141,14.6,2700901277,140,56.3,2700901271,152,,2700901285,213,1.8,2700901269,5,,2700901273,56,Right,,,,9cjjs4piq3t12iltsfon52h91,A. Patten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869751,11,1,1,1,9,5rurqie3qt1qav9ir5mkqinn,0,57.7,17.1,2021-01-17T14:02:11.179Z,2021-01-17T14:02:12Z,2700901415,140,64.4,2700901411,56,Center,2700901421,213,0.6,2700901419,212,8.4,2700901417,141,23.9,,,,,,,,,,4167ohgdcac1u3iqaygye52ax,M. Gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869877,10,3,1,1,14,bsbugp9qfasrrtg55bf7evvwv,1,39.9,68.2,2021-01-17T14:02:16.137Z,2021-01-17T14:02:21Z,2700902063,233,12,2700902015,56,Back,2700902017,286,,,,,,,,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869807,12,45,1,1,14,5rurqie3qt1qav9ir5mkqinn,0,60.1,31.8,2021-01-17T14:02:16.137Z,2021-01-17T14:50:50Z,2700901705,285,,2700902115,233,10,2700901703,56,Center,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869883,11,1,1,1,17,bsbugp9qfasrrtg55bf7evvwv,0,38.9,75,2021-01-17T14:02:18.880Z,2021-01-17T14:02:23Z,2700902041,56,Back,2700902099,233,13,2700902047,212,3.4,2700902045,141,74.2,2700902043,140,42.1,2700902097,236,,2700902103,286,,2700902049,213,6.1,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869841,13,74,1,1,17,5rurqie3qt1qav9ir5mkqinn,1,53.5,46,2021-01-17T14:02:18.881Z,2021-01-17T14:50:49Z,2700902147,233,11,2700901869,285,,2700901867,56,Center,,,,,,,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869889,14,49,1,1,19,5rurqie3qt1qav9ir5mkqinn,1,30.9,60,2021-01-17T14:02:21.149Z,2021-01-17T14:02:21Z,,,,,,,,,,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254869925,15,1,1,1,19,5rurqie3qt1qav9ir5mkqinn,0,46.3,55.9,2021-01-17T14:02:21.306Z,2021-01-17T14:50:19Z,2700902241,140,48.1,2700902239,56,Back,2700902247,213,6.1,2700902245,212,1.9,2700902243,141,55.3,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
