id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2244244401,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2020-12-13T13:51:40.573Z,2020-12-13T14:31:43Z,2645844383,194,5vuw3lywsh90t394m8h6g5ihh,2645844385,197,1154,2645844375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",2645844373,30,"20ccu2ngcfo3cvczhzk682ju1, 1dg7whnmk3nb1adw7n8a7nnbp, 1cyzpbgl74lage7toh7f1tgb9, 8h7r4d4z2gjne58xwu3koiok5, 5vuw3lywsh90t394m8h6g5ihh, c6k1w8sothxmc08dbhqjzp1w5, 4tcmt910n2lj88n5m0aqoddcl, dgkmt7f5k9oqruxzsi3x9em6t, c4tkrrhs6o8ii0wnmi5y66cwl, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, 2sqm0kt94mwo34oru6o16ydw5, 5wjfxb57gtzmp7m29wotyafv9, 7gmh6g5c39asg7gnthx1jxp79, aozm5rtnqkoutfk1mijjx7f11, 9e65qlc7dfjkajyhzhak8sc7p, bo5e35lsptja0pnlvk1y38dex, bmw6mvkeropjorm2rxzw2fzai, 5wob73qv36q7d73zzzu57x8lx, jnfo5n6yvloyqcpt5g1x5yvp",2645844387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2645844379,130,4,2645844381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",2645844377,59,"26, 20, 3, 24, 6, 27, 22, 19, 10, 9, 15, 1, 4, 7, 8, 11, 14, 16, 18, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244246259,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-12-13T13:54:51.716Z,2020-12-13T14:29:17Z,2645853533,59,"18, 20, 15, 21, 6, 5, 10, 14, 11, 9, 19, 1, 7, 8, 12, 17, 24",2645853535,130,4,2646027521,194,5m2ilglr6tlmgs2d4qzk5wno5,2645853531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",2645853529,30,"88k3tmpcg5ov13cd8b9rxyggl, c4ptt043q3lm4npuwpyviprdh, 6679bfd6bjylogbe4ebese85x, 4167ohgdcac1u3iqaygye52ax, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, 5m2ilglr6tlmgs2d4qzk5wno5, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, 28yvc8jmyyfavb0hetafjdadx, 1dbhha29epjmo8g4xfm5taaj9, e3fa1ou90dirp8yjjterhrs9h, 19npqca9guxs7p2yl5sbjmbx1, 57evg5do7x9gpg9dn17p1tu22",2645853541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2645853537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2645853539,197,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281375,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2020-12-13T14:30:16.813Z,2020-12-13T14:30:17Z,2646032151,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281363,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-12-13T14:30:16.813Z,2020-12-13T14:30:16Z,2646032117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281405,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50.3,49.9,2020-12-13T14:30:17.569Z,2020-12-13T15:19:03Z,2646032301,56,Center,2646032311,212,1.6,2646032315,279,S,2646032305,140,50.4,2646032313,213,4.8,2646032307,141,47.5,2646032317,278,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281447,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,50.4,47.5,2020-12-13T14:30:19.329Z,2020-12-13T15:19:08Z,2646032503,140,36.3,2646032505,141,40.4,2646032501,56,Back,2646032507,212,15.6,2646032509,213,3.5,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281495,5,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,36.3,40.4,2020-12-13T14:30:21.906Z,2020-12-13T14:30:23Z,2646032745,212,14.6,2646032743,141,23.7,2646032741,140,27.5,2646032747,213,4.0,2646032739,56,Back,,,,,,,,,,4167ohgdcac1u3iqaygye52ax,M. Gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281527,6,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,27.5,23.7,2020-12-13T14:30:23.697Z,2020-12-13T14:30:26Z,2646032905,56,Back,2646032913,213,1.5,2646032907,140,28.6,2646032909,141,59.9,2646032911,212,24.6,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281577,7,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,30.5,70.6,2020-12-13T14:30:26.162Z,2020-12-13T14:30:28Z,2646033177,141,92.7,2646033179,212,22.0,2646033181,213,0.8,2646033175,140,45.8,2646033173,56,Back,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244281609,8,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,39.7,90.5,2020-12-13T14:30:28.737Z,2020-12-13T14:30:31Z,2646033361,213,3.8,2646033359,212,16.8,2646033351,56,Back,2646033353,140,27.2,2646033355,141,75.0,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
