id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2273072643,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-03-07T13:16:26.026Z,2021-03-07T14:33:52Z,2795515057,194,1dbhha29epjmo8g4xfm5taaj9,2795515053,130,4,2795515049,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",2795515061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2795515047,30,"88k3tmpcg5ov13cd8b9rxyggl, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, 1dbhha29epjmo8g4xfm5taaj9, dib5a7vebmtxqcksi1tuteklx, 9cjjs4piq3t12iltsfon52h91, 5m2ilglr6tlmgs2d4qzk5wno5, 23kah59nbx1m7ro3imaaevoph, 19npqca9guxs7p2yl5sbjmbx1, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax, 57evg5do7x9gpg9dn17p1tu22",2795515055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2795515059,197,725,2795515051,59,"18, 16, 15, 13, 6, 3, 7, 11, 9, 19, 8, 1, 4, 10, 14, 17, 20, 21, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273074735,1,34,16,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2021-03-07T13:19:17.232Z,2021-03-07T14:48:38Z,2795526087,130,5,2795526083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",2795526085,59,"1, 3, 25, 12, 16, 4, 2, 7, 35, 8, 14, 10, 18, 19, 20, 24, 30, 37",2795526089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2795526091,194,7im4tbityqzp0jc19ds4s2f2t,2795526093,197,729,2795526095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2795526081,30,"6bejfvxorcqyawi2fmk2kbco9, 7im4tbityqzp0jc19ds4s2f2t, amls5kykb1h1c9b1mpiue3i6t, 72urf7pms7afj0t3u8ipk08ut, 9bluldps4u93urd4x9p0xk4id, 60q198d41n3y887jeiezr850q, 3tz0jq7tbg6u1dm6qlx53u6s5, 3rcfzycj03dewsl9vul79dyhh, cjnts0di96627z3iqhwy3kl0q, 3vbfpe1xg369v4jmvad7poel1, 3tq6pmoghg0tz0potz2h8v1ed, 9i7w9e580arjgwi09oard5byt, enjtkmi8hjldw767n70b6mxg5, 9j0citqjkkntkivtosr84c15h, d87s67fgowict7935vnwaovs9, 87ixl0yqgckn127ovpk4mqihg, 6ksf4xtzfcm8wr6j4twsr6gwk, 5tgsck5a96gotwyrjlv03xafo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273113827,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-03-07T14:05:21.782Z,2021-03-07T14:05:22Z,2795727013,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273113809,2,32,1,0,0,4s6f6ktui5q36clvqisqr6lvo,1,0,0,2021-03-07T14:05:21.784Z,2021-03-07T14:05:21Z,2795726933,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273113915,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50.3,49.7,2021-03-07T14:05:22.852Z,2021-03-07T14:05:25Z,2795727405,279,S,2795727403,213,4.2,2795727407,278,,2795727401,212,2.3,2795727395,56,Back,2795727399,141,46.7,2795727397,140,49.3,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273113945,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,49.3,46.7,2021-03-07T14:05:25.187Z,2021-03-07T14:05:26Z,2795727541,56,Back,2795727545,141,50.7,2795727549,213,2.8,2795727547,212,9.3,2795727543,140,40.8,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273114525,5,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,40.8,50.7,2021-03-07T14:05:26.707Z,2021-03-07T14:05:52Z,2795730483,140,41.5,2795730487,212,20.8,2795730481,56,Back,2795730485,141,81.2,2795730489,213,1.5,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273114539,6,1,1,0,28,5rurqie3qt1qav9ir5mkqinn,0,26.6,81.4,2021-03-07T14:05:50.755Z,2021-03-07T14:07:59Z,2795730529,56,Back,2795730533,141,100.0,2795730537,213,1.7,2795730527,155,,2795730535,212,14.1,2795730531,140,25.1,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273114577,3,5,1,0,29,4s6f6ktui5q36clvqisqr6lvo,1,74.5,-1.2,2021-03-07T14:05:51.749Z,2021-03-07T14:05:55Z,2795730759,233,7,2795730713,347,,2795730709,56,Right,,,,,,,,,,,,,,,,3tz0jq7tbg6u1dm6qlx53u6s5,S. Mayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273114557,7,5,1,0,29,5rurqie3qt1qav9ir5mkqinn,0,25.5,101.2,2021-03-07T14:05:51.749Z,2021-03-07T16:06:17Z,2795730633,347,,2795730803,233,3,2795730631,56,Back,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
