id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/13/value
2262465803,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-02-07T13:44:17.502Z,2021-02-07T14:30:31Z,2740105367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2740105361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",2740105369,197,723,2740105359,30,"dib5a7vebmtxqcksi1tuteklx, 19npqca9guxs7p2yl5sbjmbx1, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 28yvc8jmyyfavb0hetafjdadx, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, 9cjjs4piq3t12iltsfon52h91, 8jooatan3cxd38v2jyf23pot1, 88k3tmpcg5ov13cd8b9rxyggl, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax, 57evg5do7x9gpg9dn17p1tu22",2740105365,130,4,2740151669,194,6zaowm8oua2nzpobekogff1lh,2740105371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2740105363,59,"1, 17, 15, 13, 6, 3, 7, 14, 11, 9, 19, 4, 16, 18, 20, 21, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262465925,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2021-02-07T13:44:24.844Z,2021-02-07T16:20:25Z,2740105977,197,4268,2740105979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2740105965,30,"20ccu2ngcfo3cvczhzk682ju1, 1dg7whnmk3nb1adw7n8a7nnbp, c6k1w8sothxmc08dbhqjzp1w5, 8h7r4d4z2gjne58xwu3koiok5, 5vuw3lywsh90t394m8h6g5ihh, 6fl1ruianufxk3wj1cx8rrphx, c4tkrrhs6o8ii0wnmi5y66cwl, dgkmt7f5k9oqruxzsi3x9em6t, 5wob73qv36q7d73zzzu57x8lx, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, 2sqm0kt94mwo34oru6o16ydw5, 3u2e56fhs12qok7truspt65zp, 7gmh6g5c39asg7gnthx1jxp79, 9e65qlc7dfjkajyhzhak8sc7p, bo5e35lsptja0pnlvk1y38dex, bmw6mvkeropjorm2rxzw2fzai, 4j3kopvvd3iej6p4h9z36giqd, jnfo5n6yvloyqcpt5g1x5yvp, anvh5ekf9e0x3va4gldmmt6vo",2740105971,130,4,2740105969,59,"26, 20, 27, 24, 6, 13, 10, 19, 18, 9, 15, 1, 2, 7, 11, 14, 16, 21, 34, 39",2740105975,194,5vuw3lywsh90t394m8h6g5ihh,2740105973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",2740105967,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500827,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2021-02-07T14:31:42.661Z,2021-02-07T14:31:43Z,2740286725,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500815,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-02-07T14:31:42.661Z,2021-02-07T14:31:42Z,2740286685,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500907,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50.2,49.7,2021-02-07T14:31:43.528Z,2021-02-07T14:31:48Z,2740287131,212,27.0,2740287135,279,S,2740287133,213,3.5,2740287127,140,26.1,2740287125,56,Back,2740287129,141,36.0,,,,,,,5wob73qv36q7d73zzzu57x8lx,E. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500937,4,1,1,0,6,36tr17foeaf9ejjmt2txuoy3y,1,28.6,35.8,2021-02-07T14:31:48.872Z,2021-02-07T14:31:51Z,2740287345,213,1.7,2740287343,212,20.4,2740287337,56,Back,2740287341,141,65.7,2740287339,140,26.6,,,,,,,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262500973,5,1,1,0,8,36tr17foeaf9ejjmt2txuoy3y,1,31.6,57.9,2021-02-07T14:31:51.519Z,2021-02-07T14:31:55Z,2740287565,56,Back,2740287567,140,45.0,2740287569,141,86.6,2740287571,212,24.1,2740287573,213,0.9,,,,,,,,,,6fl1ruianufxk3wj1cx8rrphx,A. Dahlkemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501007,6,1,1,0,13,36tr17foeaf9ejjmt2txuoy3y,0,46.1,89.9,2021-02-07T14:31:55.719Z,2021-02-07T14:31:58Z,2740287781,140,88.4,2740287785,212,45.8,2740287789,1,,2740287787,213,6.0,2740287783,141,73.3,2740287779,56,Center,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501027,3,52,1,0,17,5rurqie3qt1qav9ir5mkqinn,1,11.2,33,2021-02-07T14:32:00.385Z,2021-02-07T14:32:00Z,,,,,,,,,,,,,,,,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501127,4,1,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,8,46.1,2021-02-07T14:32:03.776Z,2021-02-07T14:32:07Z,2740288393,140,11.6,2740288389,123,,2740288395,141,30.3,2740288391,56,Back,2740288399,213,5.1,2740288397,212,11.4,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501167,5,1,1,0,24,5rurqie3qt1qav9ir5mkqinn,1,10.9,28.5,2021-02-07T14:32:07.415Z,2021-02-07T14:32:09Z,2740288623,140,22.2,2740288629,213,5.4,2740288627,212,19.1,2740288625,141,6.4,2740288621,56,Back,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501197,6,1,1,0,26,5rurqie3qt1qav9ir5mkqinn,1,22.5,6.7,2021-02-07T14:32:09.439Z,2021-02-07T14:32:12Z,2740288795,141,10.9,2740288797,212,19.7,2740288791,56,Back,2740288799,213,0.1,2740288793,140,41.1,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501207,7,50,1,0,29,5rurqie3qt1qav9ir5mkqinn,1,35.2,5.7,2021-02-07T14:32:12.071Z,2021-02-07T14:32:14Z,2740289043,233,7,2740288861,56,Back,2740288863,286,,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501225,7,7,1,0,29,36tr17foeaf9ejjmt2txuoy3y,1,64.8,94.3,2021-02-07T14:32:12.072Z,2021-02-07T14:32:14Z,2740288929,56,Left,2740288999,233,7,2740289003,285,,2740288927,167,,,,,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501233,8,5,1,0,30,36tr17foeaf9ejjmt2txuoy3y,0,63,100.7,2021-02-07T14:32:12.708Z,2021-02-07T14:50:11Z,2740288969,347,,2740288967,56,Left,2740289731,233,8,,,,,,,,,,,,,,,,8h7r4d4z2gjne58xwu3koiok5,K. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501357,8,5,1,0,30,5rurqie3qt1qav9ir5mkqinn,1,37,-0.7,2021-02-07T14:32:12.708Z,2021-02-07T14:32:22Z,2740289711,233,8,2740289669,347,,2740289667,56,Back,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501431,9,1,1,0,39,5rurqie3qt1qav9ir5mkqinn,1,45.4,0,2021-02-07T14:32:21.663Z,2021-02-07T14:32:25Z,2740290063,107,,2740290067,140,59.0,2740290075,1,,2740290069,141,22.4,2740290071,212,21.7,2740290065,56,Center,2740290073,213,0.9,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501445,10,1,1,0,42,5rurqie3qt1qav9ir5mkqinn,1,59,16.1,2021-02-07T14:32:25.367Z,2021-02-07T14:32:26Z,2740290159,56,Back,2740290165,212,19.3,2740290163,141,10.9,2740290161,140,40.9,2740290167,213,3.3,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501483,11,1,1,0,43,5rurqie3qt1qav9ir5mkqinn,1,40.9,10.9,2021-02-07T14:32:26.287Z,2021-02-07T14:32:29Z,2740290403,213,1.2,2740290401,212,15.7,2740290399,141,32.1,2740290397,140,46.8,2740290395,56,Back,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501513,12,1,1,0,46,5rurqie3qt1qav9ir5mkqinn,1,46.2,31.5,2021-02-07T14:32:29.286Z,2021-02-07T14:32:31Z,2740290527,212,18.2,2740290521,56,Center,2740290523,140,53.9,2740290525,141,55.4,2740290529,213,1.1,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501587,13,1,1,0,48,5rurqie3qt1qav9ir5mkqinn,1,53.7,57.3,2021-02-07T14:32:31.311Z,2021-02-07T14:32:36Z,2740290889,141,77.6,2740290885,56,Center,2740290893,213,1.5,2740290891,212,13.9,2740290887,140,55.2,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501631,14,1,1,0,53,5rurqie3qt1qav9ir5mkqinn,1,66.4,81.4,2021-02-07T14:32:36.143Z,2021-02-07T14:32:40Z,2740291113,141,93.0,2740291115,212,19.6,2740291117,213,0.4,2740291111,140,83.5,2740291109,56,Left,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501663,15,1,1,0,57,5rurqie3qt1qav9ir5mkqinn,1,84,92.7,2021-02-07T14:32:40.158Z,2021-02-07T14:32:41Z,2740291259,141,92.9,2740291263,212,11.2,2740291265,213,3.1,2740291257,140,73.3,2740291255,56,Left,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501693,16,1,1,0,59,5rurqie3qt1qav9ir5mkqinn,0,73.3,92.9,2021-02-07T14:32:41.759Z,2021-02-07T14:32:44Z,2740291479,212,23.5,2740291481,213,5.6,2740291477,141,70.0,2740291469,56,Center,2740291473,140,90.0,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501735,9,1,1,1,2,36tr17foeaf9ejjmt2txuoy3y,0,9,28.6,2021-02-07T14:32:44.703Z,2021-02-07T14:32:47Z,2740291697,1,,2740291691,141,6.5,2740291685,157,,2740291687,56,Back,2740291693,212,41.7,2740291689,140,46.0,2740291695,213,5.9,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262501775,17,1,1,1,5,5rurqie3qt1qav9ir5mkqinn,1,53.4,88.6,2021-02-07T14:32:48.398Z,2021-02-07T14:32:49Z,2740291909,213,0.4,2740291903,140,64.7,2740291907,212,12.8,2740291901,56,Left,2740291905,141,95.6,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
