id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2233328507,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-11-15T13:46:49.833Z,2020-11-15T13:47:05Z,2588742713,194,5m2ilglr6tlmgs2d4qzk5wno5,2588742715,197,723,2588742693,30,"dib5a7vebmtxqcksi1tuteklx, c4ptt043q3lm4npuwpyviprdh, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 5m2ilglr6tlmgs2d4qzk5wno5, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, 28yvc8jmyyfavb0hetafjdadx, 19npqca9guxs7p2yl5sbjmbx1, 88k3tmpcg5ov13cd8b9rxyggl, 4167ohgdcac1u3iqaygye52ax, 60q198d41n3y887jeiezr850q, 8up2ey86u6cx49ujaanwuwokq, 9du3zb5gng6x95zc2yt2z08ic",2588742701,59,"1, 20, 15, 13, 6, 3, 10, 14, 11, 9, 19, 7, 17, 18, 21, 30, 32, 33",2588742697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",2588742705,130,4,2588742709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2588742717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233328553,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2020-11-15T13:46:57.957Z,2020-11-15T14:32:26Z,2588742917,30,"6fi5hacjc8lj8zej0d2lfq66t, daqovjw2z3rsq6rs1vq38980l, tjj9bi5fxsbn2xtdprqsaswl, 1tbavyz1q1hq1fqcoc3gijutx, anghujtc4achyb9mflowgg9n9, eincxi6xa1nrhr9qldtxboyqd, 7im1atd7ziav111a9o6mh9gid, amox5xqwe8gybft16wa7qbufp, ctzcuzproy4kwpa5wweruw3px, dz9ye5g98flhuscti7l8nillh, cij18xj0bx2zyx3mi9xwykn9x, 589yqifloa5j7qwp2gnemyml1, 9ohn9m84cy89huz745lirkted, 1cfhmihovl78l8osqbo1w9nth, ek8x7y3jt0xcebttt75qi5exh, 66f0rjs4c2yih8phn6meyj74l, c0my4y3kjf7jbbfujj5l8e8yx, apnae1pkhwjx0hwhg6x0rwst1, eag67jur5mjdc1wuwx63upi7e",2588742925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2588742923,130,4,2588742919,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",2588742929,197,735,2588742931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2588742921,59,"30, 18, 25, 8, 4, 16, 10, 5, 9, 23, 22, 2, 7, 11, 17, 20, 21, 28, 31",2588742927,194,eincxi6xa1nrhr9qldtxboyqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344881,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-11-15T14:32:26.209Z,2020-11-15T14:32:27Z,2588831145,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344883,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2020-11-15T14:32:26.209Z,2020-11-15T14:32:27Z,2588831149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344887,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,50.1,49.9,2020-11-15T14:32:27.530Z,2020-11-15T14:32:29Z,2588831173,212,2.5,2588831169,141,53.3,2588831171,213,1.1,2588831165,56,Center,2588831175,279,S,2588831179,278,,2588831167,140,51.1,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344901,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,51.1,53.3,2020-11-15T14:32:28.993Z,2020-11-15T14:32:31Z,2588831259,213,3.2,2588831257,141,51.9,2588831261,212,12.3,2588831255,140,39.4,2588831253,56,Back,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344923,5,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,38.8,52.2,2020-11-15T14:32:31.178Z,2020-11-15T14:32:34Z,2588831389,212,26.3,2588831383,140,60.7,2588831381,56,Center,2588831385,141,71.0,2588831387,213,0.5,2588831379,155,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344927,6,61,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,60.8,70.5,2020-11-15T14:32:32.609Z,2020-11-15T15:32:55Z,2588831401,56,Center,,,,,,,,,,,,,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344921,3,1,1,0,8,spi3g782q7m4evjxn1sv6cfa,0,38.9,34.6,2020-11-15T14:32:34.907Z,2020-11-15T15:32:56Z,2588831373,141,40.4,2588831371,140,27.3,2588831369,56,Back,2588831375,213,2.8,2588831377,212,12.8,,,,,,,,,,1tbavyz1q1hq1fqcoc3gijutx,M. Leupolz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344957,7,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,0,69.8,61.4,2020-11-15T14:32:35.521Z,2020-11-15T15:34:42Z,2588831549,213,5.9,2588831543,56,Center,2588831551,212,29.9,2588831547,141,44.3,2588831545,140,96.0,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233359951,418,61,1,0,10,spi3g782q7m4evjxn1sv6cfa,1,8.1,63.7,2020-11-15T14:32:36.209Z,2020-11-15T15:20:58Z,2588913119,56,Back,,,,,,,,,,,,,,,,,,,,,,tjj9bi5fxsbn2xtdprqsaswl,J. Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233344985,4,12,1,0,11,spi3g782q7m4evjxn1sv6cfa,1,4.2,58.2,2020-11-15T14:32:38.034Z,2020-11-15T15:21:10Z,2588831691,213,0.7,2588831685,140,15.0,2588831687,141,73.0,2588831693,212,15.2,2588831683,56,Back,,,,,,,,,,6fi5hacjc8lj8zej0d2lfq66t,A. Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345001,8,1,1,0,19,5rurqie3qt1qav9ir5mkqinn,1,90.4,31.3,2020-11-15T14:32:45.233Z,2020-11-15T14:32:46Z,2588831807,56,Center,2588831809,140,79.2,2588831813,213,3.4,2588831811,141,27.1,2588831815,212,12.1,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345007,9,50,1,0,20,5rurqie3qt1qav9ir5mkqinn,1,78,29,2020-11-15T14:32:46.265Z,2020-11-15T14:32:47Z,2588831875,233,5,2588831833,286,,2588831831,56,Center,,,,,,,,,,,,,,,,c4ptt043q3lm4npuwpyviprdh,L. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345011,5,7,1,0,20,spi3g782q7m4evjxn1sv6cfa,1,22,71,2020-11-15T14:32:46.266Z,2020-11-15T15:21:30Z,2588831839,56,Back,2588831841,285,,2588831865,233,9,,,,,,,,,,,,,,,,ctzcuzproy4kwpa5wweruw3px,B. England,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345025,6,1,1,0,21,spi3g782q7m4evjxn1sv6cfa,0,23.9,68.4,2020-11-15T14:32:47.272Z,2020-11-15T15:21:34Z,2588832589,213,2.0,2588831905,56,Back,2588832591,212,2.7,2588832587,141,72.1,2588832585,140,22.9,2588832671,233,10,2588832675,286,,2588832669,236,,cij18xj0bx2zyx3mi9xwykn9x,E. Cuthbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345013,10,74,1,0,21,5rurqie3qt1qav9ir5mkqinn,1,79.1,26.8,2020-11-15T14:32:47.273Z,2020-11-15T14:33:06Z,2588831843,56,Center,2588831845,285,,2588832701,233,6,,,,,,,,,,,,,,,,c4ptt043q3lm4npuwpyviprdh,L. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233360229,470,50,1,0,24,5rurqie3qt1qav9ir5mkqinn,1,92.2,29.2,2020-11-15T14:32:50.209Z,2020-11-15T15:32:19Z,2588914761,286,,2588914759,56,Center,2588914773,233,7,,,,,,,,,,,,,,,,c4ptt043q3lm4npuwpyviprdh,L. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345091,7,7,1,0,24,spi3g782q7m4evjxn1sv6cfa,0,7.8,70.8,2020-11-15T14:32:50.210Z,2020-11-15T15:32:19Z,2588832277,233,470,2588832265,285,,2588832263,56,Back,,,,,,,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345071,11,50,1,0,24,5rurqie3qt1qav9ir5mkqinn,1,91.2,27.6,2020-11-15T14:32:51.208Z,2020-11-15T15:32:19Z,2588832149,56,Center,2588832151,286,,2588832293,233,419,,,,,,,,,,,,,,,,c4ptt043q3lm4npuwpyviprdh,L. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233360277,419,7,1,0,25,spi3g782q7m4evjxn1sv6cfa,1,8.8,72.4,2020-11-15T14:32:51.209Z,2020-11-15T15:22:21Z,2588914999,233,11,2588914985,56,Back,2588914987,285,,,,,,,,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345095,8,49,1,0,28,spi3g782q7m4evjxn1sv6cfa,1,10.1,87.2,2020-11-15T14:32:54.771Z,2020-11-15T14:32:55Z,,,,,,,,,,,,,,,,,,,,,,,,,tjj9bi5fxsbn2xtdprqsaswl,J. Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233345101,9,1,1,0,28,spi3g782q7m4evjxn1sv6cfa,0,10.1,87.2,2020-11-15T14:32:55.138Z,2020-11-15T14:32:56Z,2588832307,141,100.0,2588832305,140,37.5,2588832301,157,,2588832311,213,0.3,2588832313,212,30.3,2588832303,56,Back,2588832309,1,,,,,tjj9bi5fxsbn2xtdprqsaswl,J. Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
