id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2282467583,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-04-04T12:08:07.744Z,2021-04-04T12:37:04Z,2844872719,59,"18, 16, 20, 10, 3, 13, 7, 14, 11, 8, 19, 1, 4, 6, 9, 15, 21, 29",2844872727,197,10246,2844872729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2844872717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",2844872721,130,4,2844872725,194,5m2ilglr6tlmgs2d4qzk5wno5,2844872723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2844872715,30,"88k3tmpcg5ov13cd8b9rxyggl, 8jooatan3cxd38v2jyf23pot1, c4ptt043q3lm4npuwpyviprdh, 5m2ilglr6tlmgs2d4qzk5wno5, bd1752qgxbodnsgdus42fc99l, e8ivbfq0irn8f2p8krhkikzx1, 28yvc8jmyyfavb0hetafjdadx, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 1dbhha29epjmo8g4xfm5taaj9, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, 9cjjs4piq3t12iltsfon52h91, 6zaowm8oua2nzpobekogff1lh, 3sn815dsm0i0rnw9nigjyb0et, 6679bfd6bjylogbe4ebese85x, 4167ohgdcac1u3iqaygye52ax, f0afav75l1iz383ozx84b7i3u",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282475055,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2021-04-04T12:16:35.448Z,2021-04-04T13:05:00Z,2844906757,194,9parlijxpxnfis96jwy9p37bp,2844906761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2844906759,197,733,2844906751,59,"1, 2, 23, 14, 29, 3, 11, 8, 21, 7, 10, 5, 13, 17, 18, 19, 25, 26, 28",2844906755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2844906753,130,7,2844906749,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",2844906747,30,"el8c138wsa0bnop68caop5uxh, 6sq9uor68fca8nz7tes0vfdgp, 3upyu7hn2q7voapvgtlnl1yad, 9hg49yzetkhd28qq5lvya91bd, dzt32qmjdypjrjy924x76a6p6, 9parlijxpxnfis96jwy9p37bp, 3rh7yurfuhun7zvoymgjb7g7p, en5gss0im4eenrtt3zctkpm8l, 3awdf1korplhzqtibwkezarit, 2hoa4v8810rmsbi85pfanyfl6, 153m45p2fkc2q8x9zq105g45, bynole76t7uwm9ursyey7zl5h, 3jcsj93v8hc2srx8jpbwoqwvd, 2hbrb48fqcvv05srmzclbyp2i, d364h3l2zsfr1gfsqq5gvl36y, 6pbjiwuzsi3dmb6u2crypg9p0, 4iweh8975rkssez3r9vlk1wfe, e4cb90yjrwps6ibes9ye48h5h, 8xlmd18k335ypz59olrdjhcve",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506429,2,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2021-04-04T13:01:29.104Z,2021-04-04T13:01:29Z,2845051669,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506437,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-04-04T13:01:29.104Z,2021-04-04T13:01:29Z,2845051709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506491,3,1,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,50.3,49.9,2021-04-04T13:01:29.878Z,2021-04-04T13:01:33Z,2845051937,279,S,2845051929,140,32.0,2845051927,56,Back,2845051935,213,2.6,2845051931,141,67.6,2845051933,212,22.7,,,,,,,3awdf1korplhzqtibwkezarit,A. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506533,4,1,1,0,4,9m7z1upwp3svfn611ejq7d36v,1,32,67.6,2021-04-04T13:01:33.213Z,2021-04-04T13:01:36Z,2845052169,56,Back,2845052177,213,4.3,2845052173,141,37.0,2845052171,140,22.2,2845052175,212,23.2,,,,,,,,,,2hoa4v8810rmsbi85pfanyfl6,M. Pike,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506569,5,1,1,0,7,9m7z1upwp3svfn611ejq7d36v,1,27.2,40.6,2021-04-04T13:01:36.278Z,2021-04-04T13:01:38Z,2845052299,213,1.7,2845052295,141,69.3,2845052291,56,Back,2845052297,212,19.7,2845052293,140,24.9,,,,,,,,,,dzt32qmjdypjrjy924x76a6p6,K. Skeels,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506649,6,1,1,0,9,9m7z1upwp3svfn611ejq7d36v,1,27.4,71.4,2021-04-04T13:01:38.294Z,2021-04-04T13:01:42Z,2845052619,213,1.3,2845052615,141,94.5,2845052611,56,Back,2845052617,212,16.5,2845052613,140,32.2,,,,,,,,,,9parlijxpxnfis96jwy9p37bp,G. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506709,7,1,1,0,13,9m7z1upwp3svfn611ejq7d36v,0,34,94.8,2021-04-04T13:01:42.181Z,2021-04-04T13:14:29Z,2845052883,195,,2845052859,213,6.1,2845052857,212,31.8,2845052853,140,63.9,2845052851,56,Left,2845052855,141,87.8,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,
2282506727,3,49,1,0,16,5rurqie3qt1qav9ir5mkqinn,1,43.1,27.1,2021-04-04T13:01:45.972Z,2021-04-04T13:01:46Z,,,,,,,,,,,,,,,,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
