id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/14/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2223097795,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-10-18T12:53:24.037Z,2020-10-18T12:58:39Z,2534196689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2534196675,30,"dib5a7vebmtxqcksi1tuteklx, 8z3ceakcqfvv039p2fbm4rvmd, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, 4167ohgdcac1u3iqaygye52ax, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, bd1752qgxbodnsgdus42fc99l, 88k3tmpcg5ov13cd8b9rxyggl, 60q198d41n3y887jeiezr850q, f1xb9y38jfjmrhgv22svv9sa2",2534196687,197,723,2534196681,130,4,2534196683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",2534196679,59,"1, 22, 15, 13, 6, 5, 21, 7, 11, 9, 19, 3, 18, 30, 31",2534196677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5",2534196685,194,e8ivbfq0irn8f2p8krhkikzx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223100451,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2020-10-18T12:57:18.025Z,2020-10-18T13:48:29Z,2534208817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2534208811,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",2534208821,197,6733,2534208809,30,"4vgx21i9mmnoud5h6px197f11, tzc4bqcf2wkz1k7d96l8g3my, 2zdgbwd6y5u4pd08upf1sda6t, 5rj3vthrtst79mu39t2d7axud, d2p1tysnc81sr0q6qeo7l5m95, 30pcgn07mnn0sk4jp0t7bx9ed, 9suedxn974tkwr7tfp05fcnh1, 6bcvcloym3tzxss5hgsw4h1at, ab5tn3b6cz73mmhmokmikqz8p, 48h95xp99lczilib8dvoq2hux, 9b466g9nb282o8ozwq2hr8j8q, 31mhclmjwpn7zik6nphr4pwtm, 9mfotw533oa5qs1muu2z8t8lx, 1234a1tb7y6trj9xsoqvx0x5h, 2rgi9p67p1vf384rkqvspum6t, enqn8azrcz6vks9d21ze9w2c5, 87ixl0yqgckn127ovpk4mqihg, f4e8tsa9b9fgcce44jkk6i8oa",2534208813,59,"22, 29, 5, 12, 6, 3, 7, 18, 9, 19, 14, 2, 4, 10, 15, 23, 24, 33",2534208815,130,8,2534208823,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2534208819,194,4vgx21i9mmnoud5h6px197f11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223134877,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2020-10-18T13:31:56.024Z,2020-10-18T13:31:56Z,2534388905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223134883,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-10-18T13:31:56.024Z,2020-10-18T13:31:56Z,2534388925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223134937,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,49.8,50.1,2020-10-18T13:31:56.901Z,2020-10-18T13:32:00Z,2534389245,279,S,2534389241,213,2.8,2534389235,56,Back,2534389239,141,57.0,2534389243,212,14.1,2534389237,140,37.1,,,,,,,9b466g9nb282o8ozwq2hr8j8q,A. Addison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223134971,4,1,1,0,4,9ijyncrxsejz505dbadwr1dir,0,40.4,59.6,2020-10-18T13:32:00.502Z,2020-10-18T15:38:15Z,2534389411,56,Center,2534389413,140,79.2,2534389417,141,24.1,2534389423,213,5.7,2534389427,212,47.4,2534389421,1,,2534389409,157,,,,,d2p1tysnc81sr0q6qeo7l5m95,A. Filbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223135003,3,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,0,24.2,75,2020-10-18T13:32:04.049Z,2020-10-18T13:32:04Z,2534389553,56,Back,2534389551,3,,2534389555,140,41.4,2534389561,212,18.7,2534389559,213,0.3,2534389557,141,82.0,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223135073,5,1,1,0,10,9ijyncrxsejz505dbadwr1dir,1,68.9,20.2,2020-10-18T13:32:06.885Z,2020-10-18T15:38:17Z,2534389913,141,18.2,2534389911,140,76.5,2534389917,212,8.1,2534389909,56,Right,2534389915,213,6.1,,,,,,,,,,5rj3vthrtst79mu39t2d7axud,R. Percival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223135083,6,49,1,0,12,9ijyncrxsejz505dbadwr1dir,1,76.5,18.2,2020-10-18T13:32:08.465Z,2020-10-18T13:32:08Z,,,,,,,,,,,,,,,,,,,,,,,,,9suedxn974tkwr7tfp05fcnh1,G. Davison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223135133,7,1,1,0,12,9ijyncrxsejz505dbadwr1dir,1,76.5,18.2,2020-10-18T13:32:08.853Z,2020-10-18T13:32:11Z,2534390231,141,21.5,2534390227,56,Center,2534390235,212,23.3,2534390233,213,3.0,2534390229,140,54.4,,,,,,,,,,9suedxn974tkwr7tfp05fcnh1,G. Davison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
