id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2263440341,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-02-10T18:21:43.668Z,2021-02-10T18:27:15Z,2745240017,30,"88k3tmpcg5ov13cd8b9rxyggl, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 28yvc8jmyyfavb0hetafjdadx, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 19npqca9guxs7p2yl5sbjmbx1, 3sn815dsm0i0rnw9nigjyb0et, dib5a7vebmtxqcksi1tuteklx, 9cjjs4piq3t12iltsfon52h91, 1dbhha29epjmo8g4xfm5taaj9, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax, 57evg5do7x9gpg9dn17p1tu22",2745240019,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",2745240027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2745240021,59,"18, 16, 15, 13, 6, 3, 7, 14, 11, 17, 9, 1, 4, 8, 20, 21, 24",2745240025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2745250211,194,e8ivbfq0irn8f2p8krhkikzx1,2745240023,130,4,2745240469,197,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263441771,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2021-02-10T18:26:08.216Z,2021-02-10T19:34:00Z,2745248131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",2745248137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",2745248141,197,735,2745248135,130,8,2745248129,30,"6fi5hacjc8lj8zej0d2lfq66t, daqovjw2z3rsq6rs1vq38980l, tjj9bi5fxsbn2xtdprqsaswl, amox5xqwe8gybft16wa7qbufp, anghujtc4achyb9mflowgg9n9, eincxi6xa1nrhr9qldtxboyqd, 8m3okb64mh1m7dfmp0km4wct1, 1tbavyz1q1hq1fqcoc3gijutx, 66f0rjs4c2yih8phn6meyj74l, dz9ye5g98flhuscti7l8nillh, 7im1atd7ziav111a9o6mh9gid, 2s15k44faiinj3gz5tswtv4d1, 9ohn9m84cy89huz745lirkted, ctzcuzproy4kwpa5wweruw3px, 1cfhmihovl78l8osqbo1w9nth, ek8x7y3jt0xcebttt75qi5exh, c0my4y3kjf7jbbfujj5l8e8yx, cij18xj0bx2zyx3mi9xwykn9x, drwlmmiguqz2mfzsh6gjmklx, apnae1pkhwjx0hwhg6x0rwst1",2745248139,194,eincxi6xa1nrhr9qldtxboyqd,2745248143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2745248133,59,"30, 18, 25, 5, 4, 16, 14, 8, 20, 23, 10, 3, 7, 9, 11, 17, 21, 22, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263454535,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2021-02-10T19:02:54.611Z,2021-02-10T19:02:54Z,2745317945,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263454543,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-02-10T19:02:54.611Z,2021-02-10T19:02:55Z,2745317987,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263455581,13,79,1,0,0,5rurqie3qt1qav9ir5mkqinn,0,0,0,2021-02-10T19:02:54.907Z,2021-02-10T19:53:13Z,2745323581,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263454567,3,1,1,0,1,spi3g782q7m4evjxn1sv6cfa,1,49.8,49.9,2021-02-10T19:02:55.681Z,2021-02-10T19:02:59Z,2745318129,140,29.0,2745318133,212,24.8,2745318137,279,S,2745318135,213,2.6,2745318127,56,Back,2745318131,141,67.2,,,,,,,7im1atd7ziav111a9o6mh9gid,Ji So-Yun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263454633,4,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,1,32.7,66.3,2021-02-10T19:02:58.993Z,2021-02-10T21:24:03Z,2745318507,1,,2745318499,140,93.4,2745318501,141,75.7,2745318495,157,,2745318503,212,64.1,2745318505,213,0.1,2745318497,56,Center,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263454649,5,1,1,0,11,spi3g782q7m4evjxn1sv6cfa,0,96.5,76.1,2021-02-10T19:03:06.062Z,2021-02-10T19:03:08Z,2745318625,286,,2745318619,236,,2745318571,2,,2745318583,140,96.8,2745318621,233,3,2745318593,213,4.8,2745318587,141,71.7,2745318575,155,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,2745318579,56,Center,2745318591,212,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2263454629,3,12,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,7.4,27.3,2021-02-10T19:03:06.162Z,2021-02-10T19:03:08Z,2745318477,140,7.4,2745318475,56,Back,2745318631,233,5,2745318487,213,3.1,2745318483,212,0,2745318479,141,27.3,2745318473,185,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263454659,4,6,1,0,12,5rurqie3qt1qav9ir5mkqinn,0,0,25.9,2021-02-10T19:03:07.265Z,2021-02-10T19:03:13Z,2745318795,233,6,2745318627,56,Back,2745318629,73,,,,,,,,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
