id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value
2219069027,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-10-04T12:26:47.009Z,2020-10-04T13:09:31Z,2512650909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2512650913,197,723,2512650903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",2512650905,59,"1, 22, 15, 13, 6, 5, 7, 8, 11, 9, 19, 3, 16, 20, 21, 24, 30",2512650901,30,"dib5a7vebmtxqcksi1tuteklx, 8z3ceakcqfvv039p2fbm4rvmd, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, d9zt8e8lnk9a22we6o6wqyndh, 28yvc8jmyyfavb0hetafjdadx, 1dbhha29epjmo8g4xfm5taaj9, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, bd1752qgxbodnsgdus42fc99l, 8jooatan3cxd38v2jyf23pot1, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax, 57evg5do7x9gpg9dn17p1tu22, 60q198d41n3y887jeiezr850q",2512650907,130,4,2512650911,194,1dbhha29epjmo8g4xfm5taaj9,2512650915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219069209,1,34,16,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2020-10-04T12:27:15.204Z,2020-10-04T13:12:57Z,2512652063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",2512652073,197,734,2512652071,194,871cll4se1mtci0na61o632dx,2512652065,59,"1, 14, 23, 8, 4, 3, 10, 26, 21, 11, 17, 5, 6, 9, 13, 18, 20, 25, 28",2512652069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2512652075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2512652067,130,2,2512652061,30,"el8c138wsa0bnop68caop5uxh, 9hg49yzetkhd28qq5lvya91bd, 3upyu7hn2q7voapvgtlnl1yad, en5gss0im4eenrtt3zctkpm8l, 871cll4se1mtci0na61o632dx, 9parlijxpxnfis96jwy9p37bp, 153m45p2fkc2q8x9zq105g45, e4cb90yjrwps6ibes9ye48h5h, 3awdf1korplhzqtibwkezarit, 3rh7yurfuhun7zvoymgjb7g7p, 2hbrb48fqcvv05srmzclbyp2i, bynole76t7uwm9ursyey7zl5h, 50atlyy40e4sv5d0lbefss5w5, 9jitxfwaeix5fn1n3dhartbhm, 3jcsj93v8hc2srx8jpbwoqwvd, d364h3l2zsfr1gfsqq5gvl36y, br6bf6mwaepk2sz4rdif27hii, 4iweh8975rkssez3r9vlk1wfe, 8xlmd18k335ypz59olrdjhcve",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092393,2,32,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,0,0,2020-10-04T13:01:36.846Z,2020-10-04T13:01:37Z,2512777475,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092395,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-10-04T13:01:36.846Z,2020-10-04T13:01:37Z,2512777481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092433,3,1,1,0,0,9m7z1upwp3svfn611ejq7d36v,1,50.1,50,2020-10-04T13:01:37.789Z,2020-10-04T13:01:40Z,2512777687,279,S,2512777679,140,23.9,2512777685,212,27.6,2512777683,213,3.2,2512777681,141,47.3,2512777677,56,Back,,,,,,,3awdf1korplhzqtibwkezarit,A. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092461,4,1,1,0,3,9m7z1upwp3svfn611ejq7d36v,1,24.7,44.2,2020-10-04T13:01:40.505Z,2020-10-04T13:01:43Z,2512777821,141,3.2,2512777823,213,4.8,2512777825,212,28.0,2512777817,56,Back,2512777819,140,27.1,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092465,5,1,1,0,6,9m7z1upwp3svfn611ejq7d36v,1,27.1,3.2,2020-10-04T13:01:43.546Z,2020-10-04T13:01:44Z,2512777855,141,22.5,2512777853,140,23.6,2512777857,213,1.8,2512777851,56,Back,2512777859,212,13.6,,,,,,,,,,en5gss0im4eenrtt3zctkpm8l,C. Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092475,6,1,1,0,7,9m7z1upwp3svfn611ejq7d36v,0,23.6,22.5,2020-10-04T13:01:44.378Z,2020-10-04T13:01:45Z,2512777911,140,34.1,2512777915,213,6.1,2512777913,141,20.0,2512777917,212,11.2,2512777909,56,Back,,,,,,,,,,9hg49yzetkhd28qq5lvya91bd,A. Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092487,3,49,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,59.8,83.8,2020-10-04T13:01:46.717Z,2020-10-04T13:01:46Z,,,,,,,,,,,,,,,,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092503,4,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,0,59.8,83.8,2020-10-04T13:01:46.973Z,2020-10-04T13:01:47Z,2512778027,141,63.1,2512778021,155,,2512778023,56,Center,2512778031,212,19.6,2512778025,140,72.8,2512778029,213,5.5,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092541,7,49,1,0,11,9m7z1upwp3svfn611ejq7d36v,1,30.4,46,2020-10-04T13:01:48.714Z,2020-10-04T13:01:53Z,,,,,,,,,,,,,,,,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092549,8,1,1,0,11,9m7z1upwp3svfn611ejq7d36v,0,30.4,46,2020-10-04T13:01:48.794Z,2020-10-04T13:54:29Z,2512778235,213,0.1,2512778237,212,6.2,2512778233,141,47.0,2512778229,56,Back,2512778231,140,36.3,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092535,5,49,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,64.9,61.5,2020-10-04T13:01:50.380Z,2020-10-04T13:01:50Z,,,,,,,,,,,,,,,,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092591,6,1,1,0,14,5rurqie3qt1qav9ir5mkqinn,1,63.6,60.2,2020-10-04T13:01:51.260Z,2020-10-04T13:01:54Z,2512778505,212,3.8,2512778497,141,59.7,2512778501,213,3.2,2512778493,140,60.0,2512778489,56,Center,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092615,7,1,1,0,17,5rurqie3qt1qav9ir5mkqinn,1,58.1,63.7,2020-10-04T13:01:54.092Z,2020-10-04T13:01:56Z,2512778591,56,Left,2512778593,140,56.5,2512778595,141,82.9,2512778597,213,1.7,2512778599,212,13.2,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092673,8,1,1,0,19,5rurqie3qt1qav9ir5mkqinn,1,58.3,89,2020-10-04T13:01:56.253Z,2020-10-04T13:01:59Z,2512778949,141,70.2,2512778953,212,21.9,2512778945,56,Back,2512778951,213,3.8,2512778947,140,41.4,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092707,9,1,1,0,23,5rurqie3qt1qav9ir5mkqinn,1,39.8,67.9,2020-10-04T13:01:59.869Z,2020-10-04T13:02:03Z,2512779133,212,18.0,2512779129,141,43.4,2512779127,140,46.3,2512779125,56,Back,2512779131,213,5.1,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092751,10,1,1,0,26,5rurqie3qt1qav9ir5mkqinn,1,57,39.1,2020-10-04T13:02:03.292Z,2020-10-04T13:02:07Z,2512779351,56,Right,2512779353,140,72.6,2512779359,212,28.8,2512779357,213,5.3,2512779355,141,4.3,,,,,,,,,,d9zt8e8lnk9a22we6o6wqyndh,J. Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092867,11,1,1,0,30,5rurqie3qt1qav9ir5mkqinn,1,75.5,3.2,2020-10-04T13:02:06.892Z,2020-10-04T13:02:14Z,2512779969,212,16.5,2512779965,141,10.4,2512779961,56,Right,2512779967,213,0.3,2512779963,140,90.5,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092875,12,1,1,0,37,5rurqie3qt1qav9ir5mkqinn,0,94.7,2.5,2020-10-04T13:02:14.188Z,2020-10-04T13:02:16Z,2512780175,233,9,2512780017,213,1.6,2512780171,236,,2512780011,56,Right,2512780179,286,,2512780015,141,3.7,2512780019,212,0.8,2512780013,140,94.7,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092893,9,74,1,0,37,9m7z1upwp3svfn611ejq7d36v,1,3.4,92.7,2020-10-04T13:02:14.189Z,2020-10-04T13:18:46Z,2512780123,285,,2512780197,233,12,2512780121,56,Back,,,,,,,,,,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,
2219092907,10,5,1,0,38,9m7z1upwp3svfn611ejq7d36v,0,3.4,101.4,2020-10-04T13:02:15.548Z,2020-10-04T13:53:49Z,2512780207,347,,2512780205,56,Back,2512780749,233,13,,,,,,,,,,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093001,13,5,1,0,38,5rurqie3qt1qav9ir5mkqinn,1,96.6,-1.4,2020-10-04T13:02:15.548Z,2020-10-04T13:02:24Z,2512780725,347,,2512780723,56,Right,2512780733,233,10,,,,,,,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093043,14,1,1,0,47,5rurqie3qt1qav9ir5mkqinn,1,96.6,0,2020-10-04T13:02:24.316Z,2020-10-04T13:02:26Z,2512780885,107,,2512780887,56,Right,2512780895,212,10.7,2512780893,213,1.6,2512780891,141,14.3,2512780889,140,96.4,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093053,15,1,1,0,49,5rurqie3qt1qav9ir5mkqinn,1,96.2,14.7,2020-10-04T13:02:26.700Z,2020-10-04T13:02:28Z,2512780961,212,5.4,2512780951,140,95.8,2512780959,213,4.6,2512780955,141,6.8,2512780945,56,Right,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093069,16,1,1,0,51,5rurqie3qt1qav9ir5mkqinn,0,96.5,5.3,2020-10-04T13:02:28.139Z,2020-10-04T13:02:29Z,2512781193,286,,2512781037,140,97.0,2512781045,212,1.5,2512781029,155,,2512781033,56,Right,2512781041,141,7.4,2512781043,213,1.2,2512781025,2,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,2512781189,236,2512781195,233,11,,,,,,,,,,,,,,,,,,,,,
2219093087,11,12,1,0,51,9m7z1upwp3svfn611ejq7d36v,1,3.5,88.9,2020-10-04T13:02:28.239Z,2020-10-04T13:02:30Z,2512781211,233,16,2512781137,185,,2512781147,212,0,2512781141,140,3.5,2512781143,141,88.9,2512781139,56,Back,2512781145,213,1.6,,,,2hbrb48fqcvv05srmzclbyp2i,E. Bissell,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093147,12,6,1,0,52,9m7z1upwp3svfn611ejq7d36v,0,1,90.3,2020-10-04T13:02:29.820Z,2020-10-04T13:18:41Z,2512781421,56,Back,2512781471,233,17,2512781423,73,,,,,,,,,,,,,,,,,2hbrb48fqcvv05srmzclbyp2i,E. Bissell,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093123,17,6,1,0,52,5rurqie3qt1qav9ir5mkqinn,1,99,9.7,2020-10-04T13:02:29.820Z,2020-10-04T13:02:32Z,2512781327,56,Right,2512781443,233,12,2512781329,75,,,,,,,,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093389,18,1,1,1,6,5rurqie3qt1qav9ir5mkqinn,1,99.5,0.5,2020-10-04T13:02:43.500Z,2020-10-04T13:02:46Z,2512782629,140,87.2,2512782627,56,Right,2512782625,6,,2512782631,141,4.0,2512782633,213,3.0,2512782635,212,13.1,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093405,19,1,1,1,9,5rurqie3qt1qav9ir5mkqinn,0,84.7,4,2020-10-04T13:02:46.075Z,2020-10-04T13:02:46Z,2512782703,140,86.9,2512782701,56,Center,2512782699,155,,2512782709,212,23.4,2512782697,2,,2512782705,141,38.3,2512782707,213,1.5,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093489,20,50,1,1,13,5rurqie3qt1qav9ir5mkqinn,1,79,45,2020-10-04T13:02:50.845Z,2020-10-04T15:14:15Z,2512783191,286,,2512783189,56,Center,2513066251,233,270,,,,,,,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,
2219145125,270,7,1,1,14,9m7z1upwp3svfn611ejq7d36v,1,21,55,2020-10-04T13:02:50.846Z,2020-10-04T15:14:17Z,2513066199,233,20,2513066137,285,,2513066135,56,Back,,,,,,,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093517,13,1,1,1,15,9m7z1upwp3svfn611ejq7d36v,1,22.1,55.8,2020-10-04T13:02:52.604Z,2020-10-04T13:02:54Z,2512783331,56,Back,2512783337,141,32.2,2512783339,213,4.7,2512783341,212,16.1,2512783335,140,21.2,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093557,15,49,1,1,16,9m7z1upwp3svfn611ejq7d36v,1,39.4,9.8,2020-10-04T13:02:53.812Z,2020-10-04T13:03:07Z,,,,,,,,,,,,,,,,,,,,,,,,,en5gss0im4eenrtt3zctkpm8l,C. Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093551,14,1,1,1,17,9m7z1upwp3svfn611ejq7d36v,1,38,20,2020-10-04T13:02:54.332Z,2020-10-04T13:03:13Z,2512783533,213,2.8,2512783535,212,17.1,2512783527,56,Back,2512783531,141,27.9,2512783529,140,22.5,,,,,,,,,,en5gss0im4eenrtt3zctkpm8l,C. Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093659,16,1,1,1,22,9m7z1upwp3svfn611ejq7d36v,0,26.6,10.9,2020-10-04T13:02:58.973Z,2020-10-04T13:55:51Z,2512784103,212,42.7,2512784093,56,Center,2512784091,157,,2512784099,1,,2512784101,213,0.2,2512784097,141,23.9,2512784095,140,66.4,,,,153m45p2fkc2q8x9zq105g45,Y. Daniëls,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093635,21,49,1,1,24,5rurqie3qt1qav9ir5mkqinn,1,38.3,70,2020-10-04T13:03:01.083Z,2020-10-04T13:03:01Z,,,,,,,,,,,,,,,,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093735,22,1,1,1,26,5rurqie3qt1qav9ir5mkqinn,1,30.6,66.7,2020-10-04T13:03:03.227Z,2020-10-04T13:03:05Z,2512784479,140,13.3,2512784473,56,Back,2512784491,212,20.6,2512784483,141,52.4,2512784489,213,3.6,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093783,23,1,1,1,29,5rurqie3qt1qav9ir5mkqinn,1,13,50,2020-10-04T13:03:05.868Z,2020-10-04T13:03:08Z,2512784711,141,57.3,2512784707,56,Back,2512784713,213,0.9,2512784715,212,6.3,2512784709,140,16.7,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093905,24,1,1,1,31,5rurqie3qt1qav9ir5mkqinn,1,19.4,60.2,2020-10-04T13:03:08.619Z,2020-10-04T13:03:14Z,2512785379,212,23.2,2512785377,213,1.2,2512785367,56,Back,2512785369,140,27.8,2512785373,141,91.8,,,,,,,,,,28yvc8jmyyfavb0hetafjdadx,D. van de Donk,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093921,25,1,1,1,37,5rurqie3qt1qav9ir5mkqinn,1,30.8,77.6,2020-10-04T13:03:14.396Z,2020-10-04T13:03:15Z,2512785461,213,5.2,2512785455,56,Back,2512785457,140,33.4,2512785459,141,70.0,2512785463,212,5.8,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2219093989,26,1,1,1,38,5rurqie3qt1qav9ir5mkqinn,1,36.9,67.2,2020-10-04T13:03:15.547Z,2020-10-04T13:03:19Z,2512785807,140,32.0,2512785813,212,8.9,2512785811,213,2.2,2512785805,56,Back,2512785809,141,77.9,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,
2219094069,27,1,1,1,42,5rurqie3qt1qav9ir5mkqinn,1,36.5,79.9,2020-10-04T13:03:18.988Z,2020-10-04T13:03:23Z,2512786241,212,12.1,2512786235,141,95.1,2512786237,213,1.0,2512786233,140,42.4,2512786231,56,Back,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2219094095,28,1,1,1,46,5rurqie3qt1qav9ir5mkqinn,1,43.3,92,2020-10-04T13:03:23.099Z,2020-10-04T13:03:24Z,2512786359,140,40.7,2512786365,212,10.6,2512786363,213,4.5,2512786357,56,Back,2512786361,141,76.9,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,
2219094137,29,1,1,1,47,5rurqie3qt1qav9ir5mkqinn,0,40.8,76.3,2020-10-04T13:03:24.507Z,2020-10-04T13:03:26Z,2512786565,140,66.1,2512786567,141,66.7,2512786571,212,27.4,2512786569,213,6.0,2512786563,56,Center,2512786561,155,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,
2219094153,17,49,1,1,50,9m7z1upwp3svfn611ejq7d36v,1,26.1,40.6,2020-10-04T13:03:27.374Z,2020-10-04T13:03:27Z,,,,,,,,,,,,,,,,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219094197,18,1,1,1,51,9m7z1upwp3svfn611ejq7d36v,1,26.8,36.1,2020-10-04T13:03:27.949Z,2020-10-04T13:03:30Z,2512786911,213,5.0,2512786909,141,4.0,2512786905,56,Back,2512786913,212,22.6,2512786907,140,32.4,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,
2219094267,19,1,1,1,53,9m7z1upwp3svfn611ejq7d36v,1,32.4,4,2020-10-04T13:03:30.574Z,2020-10-04T13:56:24Z,2512787321,212,35.1,2512787317,1,,2512787313,140,65.8,2512787311,56,Right,2512787309,155,,2512787319,213,0.0,2512787315,141,4.4,,,,9hg49yzetkhd28qq5lvya91bd,A. Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,
