id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2280096391,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2021-03-27T14:40:56.662Z,2021-03-27T16:56:16Z,2832460871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2832460857,30,"4vgx21i9mmnoud5h6px197f11, 66fneusn1mkiumgjfsyn0huui, 2rgi9p67p1vf384rkqvspum6t, 6bcvcloym3tzxss5hgsw4h1at, 8evgc5zhtfnqatt15vr3ttwwl, 30pcgn07mnn0sk4jp0t7bx9ed, 9suedxn974tkwr7tfp05fcnh1, 9mfotw533oa5qs1muu2z8t8lx, beeqbcwweng7zflrap12ph7qi, ab5tn3b6cz73mmhmokmikqz8p, enqn8azrcz6vks9d21ze9w2c5, a4p5r8sktj0v98libc2blerpx, 2zdgbwd6y5u4pd08upf1sda6t, 49tbu841s20wivafeostkffmd, 1234a1tb7y6trj9xsoqvx0x5h, 7kx86ostcp0tfo53g9cpqn7px, 9b466g9nb282o8ozwq2hr8j8q, a1v4wcs80zp79nq6u2efnzgfd, 48h95xp99lczilib8dvoq2hux, 27p8qc64x7plz62xfu9p6ow2y",2832460863,130,2,2832460867,194,30pcgn07mnn0sk4jp0t7bx9ed,2832460869,197,6732,2832460859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",2832460865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",2832460861,59,"22, 35, 15, 18, 20, 3, 7, 4, 16, 9, 23, 1, 5, 8, 10, 11, 14, 17, 19, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280096889,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-03-27T14:43:19.645Z,2021-03-27T15:41:39Z,2832463701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",2832463705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2832463703,197,723,2832560251,194,5m2ilglr6tlmgs2d4qzk5wno5,2832463699,130,4,2832463693,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, bd1752qgxbodnsgdus42fc99l, e8ivbfq0irn8f2p8krhkikzx1, 28yvc8jmyyfavb0hetafjdadx, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, ddagc0khq0zh1ywynyci8nzrp, 1dbhha29epjmo8g4xfm5taaj9, f0afav75l1iz383ozx84b7i3u, 9cjjs4piq3t12iltsfon52h91, 6zaowm8oua2nzpobekogff1lh, 88k3tmpcg5ov13cd8b9rxyggl, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax",2832463697,59,"1, 16, 15, 10, 3, 13, 7, 14, 11, 19, 8, 29, 4, 6, 18, 20, 21",2832463695,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126707,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2021-03-27T15:32:27.625Z,2021-03-27T15:32:28Z,2832619337,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126703,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2021-03-27T15:32:27.625Z,2021-03-27T15:32:27Z,2832619311,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126727,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,49.9,49.9,2021-03-27T15:32:28.550Z,2021-03-27T15:32:29Z,2832619433,212,2.2,2832619437,279,S,2832619427,56,Back,2832619429,140,49.7,2832619439,278,,2832619431,141,53.1,2832619435,213,1.7,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126763,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,49.7,53.1,2021-03-27T15:32:29.766Z,2021-03-27T15:32:31Z,2832619611,212,14.4,2832619605,56,Back,2832619607,140,36.0,2832619613,213,3.1,2832619609,141,53.0,,,,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126833,5,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,34.2,56,2021-03-27T15:32:31.669Z,2021-03-27T15:32:36Z,2832619917,56,Back,2832619923,212,14.4,2832619919,140,22.2,2832619925,213,2.6,2832619921,141,66.3,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126849,6,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,23.3,58.7,2021-03-27T15:32:36.293Z,2021-03-27T15:32:38Z,2832620013,212,15.5,2832620009,140,25.9,2832620007,56,Back,2832620011,141,36.2,2832620015,213,4.9,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126905,7,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,28.1,33.7,2021-03-27T15:32:38.534Z,2021-03-27T15:32:43Z,2832620337,56,Back,2832620343,212,20.6,2832620339,140,25.6,2832620341,141,63.8,2832620345,213,1.7,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280126955,8,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,26.3,60.2,2021-03-27T15:32:43.238Z,2021-03-27T15:32:47Z,2832620615,141,34.7,2832620611,140,26.6,2832620607,56,Back,2832620619,212,17.3,2832620621,213,4.7,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
