id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2210438549,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2020-09-12T15:28:50.647Z,2020-09-12T15:28:49Z,2467511413,197,5223,2467511415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2467511405,59,"1, 22, 3, 10, 5, 26, 14, 21, 29, 7, 19, 2, 8, 11, 12, 17, 18, 25, 28, 30",2467511403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",2467511409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",2467511401,30,"68a0jc6cin6hxx0bkdch9hc5x, 230r9tcwg89z5b9kxdqwi336d, b3i5okqaspq6w7w456ab4cxjp, 9gquu0c64ha2dtrwt5jv2vdn9, 4vjejwvr5b6lphpjmuc0wlsr9, 7vpze6ixacfe1b96s9a93k6hh, 7kx86ostcp0tfo53g9cpqn7px, dzfr9ktjmxqj2eh2xibt7konp, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, 321yjdo3gio1l33hc1pdps4wl, a51uz6926nu7t4jlummhrv3yt, 7k5or8x3fqo7qkzii18kwpaeh, 45mx5l1akv572eezakkhw38mi, cvuaoz9c41od4r0j3sajszsut, 1bgf6fem5s6mvhmi3tyb4x756, ds8eeciyv1vk6nwh26qgy1lg5, 3vnw015vllv7vzi79h7bplolx, 1n2pbnshc6y7ln2d482uw8utw, 2hcef56icxr8y3egwcut2tawa",2467511407,130,4,2467511411,194,4vjejwvr5b6lphpjmuc0wlsr9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210442387,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-09-12T15:31:22.354Z,2020-09-12T15:31:21Z,2467533043,59,"1, 16, 12, 10, 6, 22, 13, 14, 11, 9, 8, 7, 15, 17, 19, 20, 21, 24, 30",2467533039,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, 8z3ceakcqfvv039p2fbm4rvmd, e8ivbfq0irn8f2p8krhkikzx1, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, 6679bfd6bjylogbe4ebese85x, 19npqca9guxs7p2yl5sbjmbx1, ddagc0khq0zh1ywynyci8nzrp, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax, 57evg5do7x9gpg9dn17p1tu22, 60q198d41n3y887jeiezr850q",2467533047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2467533045,130,4,2467533041,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",2467533051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2467533049,197,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487849,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2020-09-12T16:21:16.396Z,2020-09-12T16:21:17Z,2467782977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487839,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-09-12T16:21:16.396Z,2020-09-12T16:21:16Z,2467782937,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487879,3,1,1,0,1,cz26xwowfjp8ei14n9z2ac135,1,49.8,50.1,2020-09-12T16:21:17.794Z,2020-09-12T16:21:19Z,2467783097,140,39.0,2467783105,279,S,2467783103,212,11.4,2467783099,141,48.7,2467783101,213,3.2,2467783095,56,Back,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487899,4,1,1,0,3,cz26xwowfjp8ei14n9z2ac135,0,38.1,46,2020-09-12T16:21:19.777Z,2020-09-12T16:21:22Z,2467783203,140,79.8,2467783205,141,23.7,2467783209,213,5.9,2467783199,155,,2467783211,212,46.3,2467783207,1,,2467783201,56,Center,,,,9gquu0c64ha2dtrwt5jv2vdn9,K. Svitková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487917,3,49,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,18.7,71.7,2020-09-12T16:21:25.129Z,2020-09-12T16:21:25Z,,,,,,,,,,,,,,,,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487977,4,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,0,21.9,68.4,2020-09-12T16:21:26.089Z,2020-09-12T18:40:39Z,2467783569,56,Back,2467783571,140,32.9,2467783573,141,53.7,2467783577,212,15.3,2467783575,213,5.6,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487941,5,8,1,0,11,cz26xwowfjp8ei14n9z2ac135,1,61.8,37.4,2020-09-12T16:21:28.034Z,2020-09-12T16:21:27Z,2467783395,56,Center,,,,,,,,,,,,,,,,,,,,,,7kx86ostcp0tfo53g9cpqn7px,Cho So-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210487955,6,49,1,0,13,cz26xwowfjp8ei14n9z2ac135,1,65.5,39.7,2020-09-12T16:21:29.665Z,2020-09-12T16:21:29Z,,,,,,,,,,,,,,,,,,,,,,,,,9gquu0c64ha2dtrwt5jv2vdn9,K. Svitková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
