id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2231191951,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2020-11-08T13:43:31.552Z,2020-11-08T15:25:42Z,2577330433,194,eoc724h5j6mnvvu1nbumezmxh,2577330435,197,8474,2577330427,59,"27, 17, 11, 14, 4, 21, 18, 12, 24, 7, 77, 1, 3, 9, 10, 16, 19, 37",2577330425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",2577330429,130,8,2577330423,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, d29d4xtq3ib0nim6keirgdx3p, dl1znxod6ohbi1zwq4iiu4qfp, eoc724h5j6mnvvu1nbumezmxh, bl6mkergo04815vpi73fgtwb9, cpvbitkove7bavl96lkgs1vc9, 1haq2mkmbebj3jbt0z2jom4lx, bnxnrws4yintb6s76erzl9xw5, 2a45d0hq84uxfi5t9c65dw7vt, cxl4bxs35ifb8o5cq9jxi1ec5, 8zpj2ov0kc2d7a2b14ys2y8dl, ciypa5m82rc64nd2pxqxbjlxx, 9idtgzdbxfmiguf2slmvla47p, 9ijnmgmapjcnctich86692tw5, 9n2d2dv38kp2exb7z3xh2ykiy, evby1gm2puzpuzrj54oel4iqd, cs8bo5xvtd2bq7kd91flepwwl",2577330437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2577330431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231201853,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-11-08T13:54:19.714Z,2020-11-08T14:34:18Z,2577379033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",2577379035,59,"1, 3, 15, 13, 6, 22, 21, 7, 11, 9, 19, 33, 32, 10, 14, 18, 20, 24, 30",2577379049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2577379031,30,"dib5a7vebmtxqcksi1tuteklx, bd1752qgxbodnsgdus42fc99l, 6679bfd6bjylogbe4ebese85x, e8ivbfq0irn8f2p8krhkikzx1, 6zaowm8oua2nzpobekogff1lh, 8z3ceakcqfvv039p2fbm4rvmd, 4167ohgdcac1u3iqaygye52ax, 28yvc8jmyyfavb0hetafjdadx, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, 9du3zb5gng6x95zc2yt2z08ic, 8up2ey86u6cx49ujaanwuwokq, 5m2ilglr6tlmgs2d4qzk5wno5, 23kah59nbx1m7ro3imaaevoph, 88k3tmpcg5ov13cd8b9rxyggl, c4ptt043q3lm4npuwpyviprdh, 57evg5do7x9gpg9dn17p1tu22, 60q198d41n3y887jeiezr850q",2577379037,130,4,2577379039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",2577379043,194,e8ivbfq0irn8f2p8krhkikzx1,2577379047,197,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247125,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-11-08T14:33:09.828Z,2020-11-08T14:33:09Z,2577612705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247131,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2020-11-08T14:33:09.828Z,2020-11-08T14:33:10Z,2577612735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247173,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50.1,50.1,2020-11-08T14:33:10.529Z,2020-11-08T14:33:13Z,2577612999,279,S,2577612997,212,15.2,2577612991,140,35.6,2577612989,56,Back,2577612995,213,3.1,2577612993,141,51.0,,,,,,,wupxscyf4x7rsjidpmp0wnv9,V. Miedema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247223,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,35.4,48.4,2020-11-08T14:33:13.184Z,2020-11-08T14:33:15Z,2577613259,141,15.6,2577613263,212,23.9,2577613255,56,Back,2577613261,213,4.3,2577613257,140,27.1,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247291,5,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,27.2,14,2020-11-08T14:33:15.585Z,2020-11-08T14:33:34Z,2577613591,213,2.2,2577613593,212,10.4,2577613589,141,26.8,2577613587,140,21.7,2577613585,56,Back,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247369,6,1,1,0,8,5rurqie3qt1qav9ir5mkqinn,1,22.7,28.5,2020-11-08T14:33:18.369Z,2020-11-08T14:33:51Z,2577614033,213,1.7,2577614031,141,70.5,2577614027,56,Back,2577614035,212,28.8,2577614029,140,19.0,,,,,,,,,,8z3ceakcqfvv039p2fbm4rvmd,V. Schnaderbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247389,7,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,14.8,71.5,2020-11-08T14:33:22.592Z,2020-11-08T14:33:24Z,2577614163,140,6.1,2577614165,141,60.6,2577614161,56,Back,2577614169,212,11.8,2577614167,213,3.8,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231247463,8,1,1,0,14,5rurqie3qt1qav9ir5mkqinn,0,6.1,60.6,2020-11-08T14:33:24.065Z,2020-11-08T14:33:27Z,2577614633,1,,2577614625,157,,2577614637,212,42.8,2577614635,213,0.5,2577614627,56,Back,2577614631,141,90.6,2577614629,140,41.9,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
