id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/8/value,qualifier/13/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2208925297,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2020-09-06T10:58:43.587Z,2020-09-06T11:49:53Z,2459345027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2459345017,59,"1, 11, 3, 6, 2, 14, 5, 4, 9, 18, 8, 7, 10, 16, 23, 28, 29, 31, 35, 36",2459345021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",2459345013,30,"5op3c93qca8mh67vkwrb3tvpx, b4q51nzxmgax7on17s1wpx5ud, 16gnoas9x34hm887omkmeee39, z8vdz64bgqus4c85451nsrf9, 9aqd23yr1m4z50iv96k04apqt, 4lshrw6i3uk9kx4kiutn06iuh, elelvar8kyxwpfqzwr1v00b85, 8lhwl2mbtvfxbd8gmp33twq1h, 9aqn77y0knb58698qj46eee39, da8ymxqy00lunda8tq9oltuj9, 93d5k82qrmjr894k2hp5aril1, 7ie26l50x4io29v38qy6b7qhh, 7grp6mb5milt6wp91mdoti7rp, bm0sk7z0mcywoax9eh1ud8out, ce4cgftejsd46a0rahih0divp, 2jwojltrp06sa8qloordtohrd, dzt32qmjdypjrjy924x76a6p6, 4jp1chw4qvlt7gntuvuci77ys, e0epay6v42oy50mv96gn5fq0a, cannlc91eqjjy24i7keyvyaui",2459345025,197,5141,2459345019,130,3,2459345015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",2459345023,194,b4q51nzxmgax7on17s1wpx5ud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208925305,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-09-06T10:58:47.774Z,2020-09-06T12:59:46Z,2459345075,59,"1, 6, 13, 12, 22, 16, 10, 14, 11, 9, 8, 7, 17, 19, 20, 21, 24, 30",2459345077,130,24,2459345081,197,723,2459345071,30,"dib5a7vebmtxqcksi1tuteklx, 6zaowm8oua2nzpobekogff1lh, e8ivbfq0irn8f2p8krhkikzx1, e3fa1ou90dirp8yjjterhrs9h, 8z3ceakcqfvv039p2fbm4rvmd, 8jooatan3cxd38v2jyf23pot1, 5m2ilglr6tlmgs2d4qzk5wno5, 23kah59nbx1m7ro3imaaevoph, wupxscyf4x7rsjidpmp0wnv9, 3sn815dsm0i0rnw9nigjyb0et, 1dbhha29epjmo8g4xfm5taaj9, 28yvc8jmyyfavb0hetafjdadx, 19npqca9guxs7p2yl5sbjmbx1, ddagc0khq0zh1ywynyci8nzrp, c4ptt043q3lm4npuwpyviprdh, 4167ohgdcac1u3iqaygye52ax, 57evg5do7x9gpg9dn17p1tu22, 60q198d41n3y887jeiezr850q",2459345079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",2459345083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2459351119,194,5m2ilglr6tlmgs2d4qzk5wno5,2459345073,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931475,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2020-09-06T11:32:34.525Z,2020-09-06T11:32:34Z,2459385027,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931477,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2020-09-06T11:32:34.525Z,2020-09-06T11:32:35Z,2459385029,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931485,3,1,1,0,1,bsbugp9qfasrrtg55bf7evvwv,1,49.9,50,2020-09-06T11:32:36.354Z,2020-09-06T11:57:39Z,2459385079,279,S,2459385071,140,30.1,2459385077,212,22.0,2459385069,56,Back,2459385075,213,2.8,2459385073,141,60.5,,,,,,,8lhwl2mbtvfxbd8gmp33twq1h,F. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931491,4,1,1,0,4,bsbugp9qfasrrtg55bf7evvwv,1,24.7,64.5,2020-09-06T11:32:38.841Z,2020-09-06T11:32:44Z,2459385131,140,24.2,2459385135,213,4.7,2459385137,212,21.8,2459385129,56,Back,2459385133,141,32.5,,,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931495,5,1,1,0,9,bsbugp9qfasrrtg55bf7evvwv,1,25.1,31,2020-09-06T11:32:44.424Z,2020-09-06T12:24:30Z,2459385165,140,18.2,2459385163,56,Back,2459385169,213,2.0,2459385171,212,15.9,2459385167,141,51.8,,,,,,,,,,9aqd23yr1m4z50iv96k04apqt,K. Leine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931513,6,1,1,0,11,bsbugp9qfasrrtg55bf7evvwv,1,18.2,51.8,2020-09-06T11:32:46.409Z,2020-09-06T11:33:00Z,2459385293,212,14.0,2459385291,213,1.4,2459385289,141,72.0,2459385285,56,Back,2459385287,140,20.7,,,,,,,,,,5op3c93qca8mh67vkwrb3tvpx,G. Moloney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931515,7,1,1,0,16,bsbugp9qfasrrtg55bf7evvwv,1,30.5,92.4,2020-09-06T11:32:50.728Z,2020-09-06T11:32:52Z,2459385311,141,96.8,2459385309,140,47.9,2459385313,213,0.2,2459385315,212,18.5,2459385307,56,Back,,,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931525,8,1,1,0,18,bsbugp9qfasrrtg55bf7evvwv,0,53.1,96.6,2020-09-06T11:32:52.681Z,2020-09-06T11:32:55Z,2459385397,213,5.3,2459385395,141,71.0,2459385391,56,Center,2459385399,212,21.3,2459385393,140,64.8,,,,,,,,,,16gnoas9x34hm887omkmeee39,E. Mukandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931531,3,49,1,0,22,5rurqie3qt1qav9ir5mkqinn,1,34.5,39.1,2020-09-06T11:32:56.769Z,2020-09-06T11:32:56Z,,,,,,,,,,,,,,,,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931543,4,1,1,0,22,5rurqie3qt1qav9ir5mkqinn,1,34.5,39.1,2020-09-06T11:32:57.135Z,2020-09-06T11:33:00Z,2459385509,212,30.1,2459385501,56,Back,2459385507,213,2.8,2459385505,141,53.6,2459385503,140,7.4,,,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931557,5,1,1,0,25,5rurqie3qt1qav9ir5mkqinn,1,13.8,57.8,2020-09-06T11:32:59.983Z,2020-09-06T11:33:03Z,2459385597,141,87.3,2459385593,56,Back,2459385601,212,25.2,2459385599,213,0.9,2459385595,140,28.4,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931575,6,1,1,0,28,5rurqie3qt1qav9ir5mkqinn,1,33.5,92.1,2020-09-06T11:33:03.519Z,2020-09-06T11:33:06Z,2459385699,213,0.2,2459385695,140,48.4,2459385693,56,Back,2459385701,212,15.9,2459385697,141,96.3,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931579,7,61,1,0,31,5rurqie3qt1qav9ir5mkqinn,0,54.2,94.4,2020-09-06T11:33:06.510Z,2020-09-06T11:33:19Z,2459385721,56,Left,,,,,,,,,,,,,,,,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931587,9,43,1,0,31,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2020-09-06T11:33:06.511Z,2020-09-06T11:33:21Z,2459385803,56,Back,2459386069,144,7,2459385805,285,0,2459385811,233,7,,,,,,,,,,,,,elelvar8kyxwpfqzwr1v00b85,M. Bartrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931591,10,49,1,0,35,bsbugp9qfasrrtg55bf7evvwv,1,39.3,11.3,2020-09-06T11:33:09.673Z,2020-09-06T12:24:46Z,,,,,,,,,,,,,,,,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931599,11,1,1,0,35,bsbugp9qfasrrtg55bf7evvwv,1,39.3,11.3,2020-09-06T11:33:09.977Z,2020-09-06T11:33:12Z,2459385897,212,27.0,2459385889,56,Back,2459385895,213,2.8,2459385891,140,15.5,2459385893,141,26.3,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931601,12,1,1,0,39,bsbugp9qfasrrtg55bf7evvwv,1,13.8,26.8,2020-09-06T11:33:13.688Z,2020-09-06T11:33:15Z,2459385923,212,19.3,2459385915,56,Back,2459385921,213,5.3,2459385917,140,24.2,2459385919,141,3.4,,,,,,,,,,5op3c93qca8mh67vkwrb3tvpx,G. Moloney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931611,13,1,1,0,41,bsbugp9qfasrrtg55bf7evvwv,1,27.3,5,2020-09-06T11:33:15.849Z,2020-09-06T12:25:19Z,2459385969,140,29.0,2459385967,56,Back,2459385973,213,1.5,2459385971,141,32.5,2459385975,212,18.8,,,,,,,,,,9aqd23yr1m4z50iv96k04apqt,K. Leine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931625,14,1,1,0,42,bsbugp9qfasrrtg55bf7evvwv,1,31.6,32.5,2020-09-06T11:33:17.352Z,2020-09-06T12:25:29Z,2459386103,212,25.6,2459386101,213,1.7,2459386099,141,69.8,2459386097,140,28.6,2459386095,56,Back,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931635,15,1,1,0,47,bsbugp9qfasrrtg55bf7evvwv,1,30.2,70.2,2020-09-06T11:33:22.360Z,2020-09-06T11:33:25Z,2459386145,213,4.0,2459386143,141,46.3,2459386139,56,Back,2459386141,140,15.6,2459386147,212,22.3,,,,,,,,,,4lshrw6i3uk9kx4kiutn06iuh,D. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931645,16,1,1,0,51,bsbugp9qfasrrtg55bf7evvwv,1,18.2,46.9,2020-09-06T11:33:25.688Z,2020-09-06T12:23:40Z,2459386189,140,23.3,2459386203,212,6.9,2459386199,213,5.6,2459386195,141,40.4,2459386185,56,Back,,,,,,,,,,5op3c93qca8mh67vkwrb3tvpx,G. Moloney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931671,17,1,1,0,53,bsbugp9qfasrrtg55bf7evvwv,1,22.4,34.4,2020-09-06T11:33:27.993Z,2020-09-06T11:33:32Z,2459386365,212,21.5,2459386357,56,Back,2459386363,213,4.9,2459386361,141,3.1,2459386359,140,25.6,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208931675,18,1,1,0,57,bsbugp9qfasrrtg55bf7evvwv,0,26.7,6.4,2020-09-06T11:33:31.912Z,2020-09-06T12:25:54Z,2459386389,56,Back,2459386397,212,31.0,2459386393,141,40.9,2459386395,213,0.9,2459386387,155,,2459386391,140,46.0,,,,,,,9aqd23yr1m4z50iv96k04apqt,K. Leine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
