id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2554905735,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-05-27T12:38:03.721Z,2023-05-27T13:01:24Z,4310495223,194,6679bfd6bjylogbe4ebese85x,4310495213,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, bilgoekg6gqwr3qbp6dp0j1zp, d9zt8e8lnk9a22we6o6wqyndh, bd1752qgxbodnsgdus42fc99l, 6ywketcafnc6x3tncvohzesx5, 1o0o6thivoulnmsklkpbwpiad, ec1vrqeqni3lmibeazgq62eol, 6679bfd6bjylogbe4ebese85x, 92k3ea1daqrl2ri1jn49v0vyt, dib5a7vebmtxqcksi1tuteklx, 8wvdn1f18jaxmjg4zkizons6i, cl94qe8su9mdjcijafr4gst4a, 24qwx85sfxy0r8pld85w7tzze, f0afav75l1iz383ozx84b7i3u, 8oodn5j37l323zriztyypkx78, 5utqxprl108x404hqwul42plg, 4payujvwgv750r4y1eeprn1g4, 70axdagp6dkm3fvv79ofsxfro",4310495225,197,723,4310495215,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4310495221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4310495219,130,17,4310495227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4310495217,59,"14, 16, 7, 2, 5, 3, 21, 12, 25, 15, 27, 1, 18, 20, 22, 29, 50, 56, 59, 62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554906323,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-05-27T12:39:35.244Z,2023-05-27T13:33:54Z,4310498533,30,"6bejfvxorcqyawi2fmk2kbco9, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, cs8bo5xvtd2bq7kd91flepwwl, dw2a5y50m5vbzpy53w2e7n179, 6f8lpm5ckuv4z0tbur533qpxx, amnb211255557h5z7snm33h79, cpvbitkove7bavl96lkgs1vc9, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, 3f6hkia6zu8xuwasqdz3w759m, dle50mcyb7xfk7eop3d0qs2c5, 76tytt386zxh1tuqk6kko1gbt, 5677k11mj3dmsnqse80eumk0l",4310498547,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4310498535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5",4310498545,197,12928,4310498537,59,"1, 2, 33, 12, 6, 14, 4, 20, 8, 7, 19, 11, 21, 22",4310498543,194,amnb211255557h5z7snm33h79,4310498541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0",4310498539,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931351,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-05-27T13:30:30.042Z,2023-05-30T12:57:22Z,4310635251,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931345,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-05-27T13:30:30.042Z,2023-05-27T13:30:30Z,4310635245,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931359,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50,50,2023-05-27T13:30:30.384Z,2023-05-27T13:33:34Z,4310635297,279,S,4310635289,140,37.4,4310635287,56,Back,4310635291,141,59.1,4310635293,212,14.6,4310635295,213,2.7,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931413,4,1,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,35.1,58.2,2023-05-27T13:30:32.969Z,2023-05-27T13:33:34Z,4310635599,212,26.2,4310635603,213,4.2,4310635593,56,Back,4310635595,140,22.8,4310635597,141,24.6,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931463,5,1,1,0,5,5rurqie3qt1qav9ir5mkqinn,1,22.8,24.6,2023-05-27T13:30:35.281Z,2023-05-27T13:33:33Z,4310635885,56,Back,4310635893,141,8.0,4310635897,212,23.1,4310635889,140,42.0,4310635899,213,5.8,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931531,6,1,1,0,7,5rurqie3qt1qav9ir5mkqinn,1,44.2,7.6,2023-05-27T13:30:37.777Z,2023-05-27T13:33:33Z,4310636167,212,11.8,4310636169,213,0.9,4310636161,56,Center,4310636165,141,21.5,4310636163,140,51.0,,,,,,,,,,8jooatan3cxd38v2jyf23pot1,N. Maritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931537,7,3,1,0,12,5rurqie3qt1qav9ir5mkqinn,0,62.2,28.3,2023-05-27T13:30:42.697Z,2023-05-27T13:33:33Z,4310636187,56,Center,4310636189,286,,4310638987,233,3,,,,,,,,,,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554931533,3,7,1,0,12,8l30dsub3sutr6j3ruvk650xc,1,37.8,71.7,2023-05-27T13:30:42.698Z,2023-05-27T13:31:18Z,4310638941,285,,4310638963,233,7,4310636177,56,Center,,,,,,,,,,,,,,,,cs8bo5xvtd2bq7kd91flepwwl,L. Staniforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
